id,sort_id,type_id,equip_job_group_id,parts_group_id,defense,ability_defense,weight,evasion_rate,ability_evasion_rate,ability_disturbed_rate,destroy_rate,magnetic_force,invalid_reflection,trigger_ability_id,wear_function_group_id,wear_condition_group_id,resistance_attribute,resistance_condition,resistance_species,strength,vitality,agility,intelligence,spirit,magic,max_hp_up,max_mp_up,battle_effect_asset_id,guard_icon,se_asset_id,buy,sell,sales_not_possible,process_prog
35,218,1,12,4,11,7,2,0,4,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
36,219,1,5,4,12,8,2,0,5,0,0,0,0,0,0,0,48,0,4,0,0,0,0,3,0,0,0,0,0,0,50000,25000,0,None
37,220,1,4,4,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,None
39,401,1,20,3,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,None
40,402,1,4,3,1,1,2,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,70,35,0,None
41,404,1,20,3,2,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,0,None
42,403,1,20,3,2,1,2,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,700,350,0,None
43,405,1,9,3,3,3,2,10,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,500,250,0,None
44,406,1,12,3,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,300,0,None
45,407,1,1,3,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,550,0,None
46,408,1,9,3,5,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1200,600,0,None
47,409,1,20,3,5,2,2,20,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4000,2000,0,None
48,410,1,1,3,7,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1000,0,None
49,411,1,30,3,8,7,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10000,5000,0,None
50,412,1,1,3,9,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1500,0,None
51,413,1,4,3,10,3,2,30,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,14000,7000,0,None
52,414,1,5,3,11,3,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,8000,4000,0,None
53,415,1,9,3,12,9,2,10,9,0,0,0,0,0,0,0,44,0,4,0,0,0,5,5,0,0,0,0,0,0,30000,15000,0,None
54,416,1,12,3,13,4,2,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17000,8500,0,None
55,418,1,12,3,15,4,2,0,2,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,None
56,417,1,4,3,15,0,2,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4000,2000,0,None
57,419,1,12,3,17,4,2,0,2,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,17500,0,None
58,420,1,7,3,18,10,2,10,6,0,0,0,0,0,0,0,0,9,17,0,0,0,0,15,0,0,0,0,0,0,40000,20000,0,None
59,421,1,12,3,19,4,2,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
60,422,1,25,3,20,5,2,40,5,0,0,0,0,0,0,0,0,8,0,15,15,15,-15,-15,0,0,0,0,0,0,40000,20000,0,None
61,423,1,14,3,21,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
62,424,1,12,3,23,8,2,0,5,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,50000,25000,0,None
63,425,1,36,3,24,15,2,70,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,64000,32000,0,None
64,426,1,5,3,25,10,2,0,6,0,0,0,0,0,0,0,0,84,4,0,0,0,0,3,0,0,0,0,0,0,60000,30000,0,None
65,499,1,4,3,100,20,2,10,12,0,0,0,0,0,0,0,84,54,0,15,15,15,15,15,0,0,0,0,0,0,200000,100000,0,None
67,302,1,20,5,0,3,2,10,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,None
68,301,1,4,5,0,0,2,0,0,0,0,0,0,0,0,104,0,0,0,-15,-15,-15,-15,-15,0,0,0,0,0,0,10000,5000,0,None
69,303,1,14,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,65,0,None
70,304,1,1,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,130,0,None
71,305,1,27,5,2,2,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,None
72,306,1,15,5,2,2,2,10,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,760,380,0,None
73,307,1,1,5,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,260,0,None
74,308,1,1,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,400,0,None
75,309,1,27,5,4,4,2,10,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,650,325,0,None
76,310,1,5,5,5,1,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3000,1500,0,None
77,311,1,27,5,5,8,2,10,8,0,0,0,0,0,0,0,0,6,1,0,0,0,3,3,0,0,0,0,0,0,2000,1000,0,None
78,312,1,14,5,6,2,2,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2000,1000,0,None
79,313,1,29,5,6,8,2,10,6,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2000,0,None
80,314,1,12,5,7,3,2,0,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,2500,0,None
81,315,1,14,5,8,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,15000,0,None
82,316,1,12,5,9,6,2,0,3,0,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
83,317,1,16,5,10,0,2,0,0,0,0,0,0,0,0,0,0,13,5,10,10,0,0,0,0,0,0,0,0,0,50000,25000,0,None
84,318,1,5,5,10,7,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,50000,25000,0,None
85,319,1,4,5,10,12,2,15,10,0,0,0,0,0,0,0,48,0,0,0,15,0,0,0,0,0,0,0,0,0,30000,15000,0,None
86,320,1,4,5,20,12,2,15,10,0,0,0,0,0,0,0,0,85,6,0,0,5,0,0,0,0,0,0,0,0,20000,10000,0,None
87,428,1,35,3,28,10,2,0,8,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,30000,0,None
88,429,1,21,3,31,15,2,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,60000,30000,0,None
89,430,1,5,3,32,14,2,0,9,0,0,1,0,0,0,0,108,0,0,0,0,0,0,10,0,0,0,0,0,0,80000,40000,0,None
90,431,1,35,3,35,12,2,0,8,0,0,1,0,0,0,0,0,82,8,0,10,0,10,10,0,0,0,0,0,0,80000,40000,0,None
91,432,1,33,3,21,12,2,30,4,0,0,0,0,0,0,0,42,0,0,15,15,0,0,0,0,0,0,0,0,0,40000,20000,0,None
92,433,1,49,3,22,8,2,65,2,0,0,0,0,0,0,0,0,137,0,10,10,10,0,0,0,0,0,0,0,0,40000,20000,0,None
93,434,1,48,3,28,30,2,35,15,0,0,0,0,0,0,0,0,138,0,0,0,15,0,0,0,0,0,0,0,0,50000,25000,0,None
94,435,1,47,3,28,30,2,40,15,0,0,0,0,0,0,0,0,138,0,0,10,10,0,0,0,0,0,0,0,0,50000,25000,0,None
95,436,1,49,3,29,12,2,40,5,0,0,0,0,0,0,0,0,139,0,10,10,0,0,0,0,0,0,0,0,0,60000,30000,0,None
96,437,1,36,3,29,20,2,90,12,0,0,0,0,0,0,0,0,140,0,5,0,5,0,0,0,0,0,0,0,0,60000,30000,0,None
97,438,1,33,3,30,15,2,50,6,0,0,1,0,0,0,0,109,0,0,10,10,10,0,0,0,0,0,0,0,0,60000,30000,0,None
98,439,1,48,3,19,15,2,15,18,0,0,0,0,0,0,0,0,141,1,0,0,10,10,0,0,0,0,0,0,0,30000,15000,0,None
99,440,1,47,3,19,18,2,25,15,0,0,0,0,0,0,0,84,0,0,0,10,0,0,10,0,0,0,0,0,0,35000,17500,0,None
100,441,1,32,3,25,15,2,20,10,0,0,0,0,0,0,0,110,0,0,0,0,0,10,0,0,0,0,0,0,0,40000,20000,0,None
101,442,1,45,3,26,20,2,28,18,0,0,0,0,0,0,0,0,142,17,0,0,0,0,10,0,0,0,0,0,0,40000,20000,0,None
102,115,1,52,2,20,20,2,65,15,0,0,1,0,0,0,0,84,0,0,15,15,15,15,15,0,0,0,0,0,0,150000,75000,0,None
103,113,1,19,2,4,4,2,60,10,0,0,0,0,0,0,0,0,143,0,0,0,5,0,0,0,0,0,0,0,0,30000,15000,0,None
104,221,1,48,4,7,16,2,18,18,0,0,0,0,0,0,0,0,144,0,0,0,0,5,0,0,0,0,0,0,0,20000,10000,0,None
105,222,1,47,4,7,18,2,18,16,0,0,0,0,0,0,0,111,0,0,0,0,5,0,0,0,0,0,0,0,0,15000,7500,0,None
106,223,1,49,4,8,3,2,16,3,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,20000,10000,0,None
107,224,1,33,4,10,12,2,20,12,0,0,0,0,0,0,0,112,0,0,0,10,0,0,0,0,0,0,0,0,0,20000,10000,0,None
108,225,1,4,4,15,15,2,15,15,0,0,0,0,0,0,0,0,145,0,0,0,5,3,0,0,0,0,0,0,0,35000,17500,0,None
109,226,1,45,4,12,18,2,15,16,0,0,0,0,0,0,0,0,146,0,0,0,0,0,10,0,0,0,0,0,0,25000,12500,0,None
110,227,1,32,4,12,18,2,15,16,0,0,0,0,0,0,0,0,147,0,0,3,0,0,5,0,0,0,0,0,0,25000,12500,0,None
111,228,1,33,4,13,15,2,20,19,0,0,0,0,0,0,0,0,148,0,5,5,5,5,5,0,0,0,0,0,0,30000,15000,0,None
112,229,1,49,4,12,0,2,22,0,0,0,0,0,0,0,0,0,7,0,5,5,5,0,0,0,0,0,0,0,0,20000,10000,0,None
113,230,1,48,4,10,20,2,21,21,0,0,0,0,0,0,0,0,149,0,0,0,0,10,0,0,0,0,0,0,0,25000,12500,0,None
114,231,1,47,4,10,21,2,21,20,0,0,0,0,0,0,0,0,149,0,0,0,0,0,10,0,0,0,0,0,0,25000,12500,0,None
115,232,1,35,4,14,10,2,0,7,0,0,0,0,0,0,0,44,0,0,0,0,5,0,5,0,0,0,0,0,0,25000,12500,0,None
116,233,1,5,4,17,12,2,0,8,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,25000,12500,0,None
117,234,1,6,4,15,11,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,25000,12500,0,None
118,235,1,36,4,17,10,2,0,5,0,0,0,0,0,0,0,0,12,0,5,5,0,0,0,0,0,0,0,0,0,25000,12500,0,None
119,236,1,35,4,22,13,2,0,9,0,0,0,0,0,0,0,0,11,0,3,3,3,0,0,0,0,0,0,0,0,30000,15000,0,None
120,427,1,4,3,28,14,2,10,10,0,0,0,0,0,0,150,112,6,0,0,10,0,0,0,0,0,0,0,0,0,37500,18750,0,None
121,114,1,4,2,20,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,20000,0,None
122,299,1,4,5,4,8,2,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,12000,0,None
123,442,1,46,3,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100000,50000,0,None
124,237,1,46,4,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,40000,20000,0,None
125,116,1,46,2,0,30,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,70000,35000,0,None
126,321,1,46,5,10,10,2,10,10,0,0,1,0,0,0,151,0,0,0,10,10,10,10,10,0,0,0,0,0,0,60000,30000,0,None
