SPEAKER_01	¿?
E0001_01_342_a_04	¿Qué esperas? Yo tampoco estoy contento. <P>\nSé que un buen soldado debe seguir órdenes, ¡pero no es justo atacar a inocentes para robarles los Cristales!
E0001_03_342_a_01	¡Las Alas Rojas se crearon para proteger a los débiles, no masacrarlos!
E0001_03_342_a_02	¡Ya basta!
E0001_03_342_a_03	¡Ca... capitán!
E0001_03_342_a_04	¿No me diga que aprueba nuestras acciones?
E0001_03_342_a_05	¡Prestad atención! La incursión contra Mysidia era imprescindible para la prosperidad de nuestro reino. <P>\nSu majestad y el Consejo Real decideron que Mysidia suponía una amenaza directa contra Baronia debido a la poderosa magia de los Cristales.<P>\nPara que Baronia pueda prosperar, necesitamos los Cristales. Como soldados, nuestro deber es proteger Baronia a toda costa...
E0001_03_342_a_06	Mi capitán...
E0001_03_342_a_07	¡Capitán! ¡Hemos detectado un grupo de monstruos!
E0001_03_342_a_08	¡Preparaos para la batalla!
E0001_04_342_a_01	Argh...
E0001_04_342_a_02	¿Te encuentras bien?
E0001_04_342_a_03	¡Aquí viene otra oleada!
E0001_04_342_a_04	¡Rayos!
E0001_05_342_a_01	¡Quiero un informe de situación!
E0001_05_342_a_02	No hemos sufrido bajas, mi capitán.
E0001_05_342_a_03	Pero últimamente están apareciendo más monstruos de lo normal...
E0001_05_342_a_04	Son ya demasiados.
E0001_05_342_a_05	Quizá sea algún tipo de presagio...
E0001_05_342_a_06	Estamos sobrevolando Baronia, mi capitán.
E0001_05_342_a_07	Entendido. Preparaos para aterrizar.
E0001_07_004_a_01	¡Enhorabuena, capitán! Otro Cristal más.
E0001_07_004_a_02	Los mysidianos no ofrecieron ninguna resistencia... Estaban totalmente indefensos.
E0001_07_004_a_03	¿No me diga que se apiada de los enemigos de Baronia? Vamos, el rey espera.
E0001_10_007_a_01	Perdóneme, capitán, pero debo hablar con el rey en privado. Por favor, espere aquí.
E0001_11_008_a_01	Su alteza, temo informarle que (CECIL) es un traidor. Es obvio que repudia su autoridad real.
E0001_11_008_a_02	¡¿Cómo dices?! Gracias por informarme, mi fiel consejero.<P>\nPero no importa con tal de que pueda recuperarme los Cristales. Dile que pase.
E0001_11_008_a_03	Sí, su alteza.
E0001_11_008_a_04	¡Capitán! El rey le llama a su presencia.
E0001_11_008_a_05	El reino de Baronia aclama entero tu triunfante regreso. Ahora, entrégame el Cristal.
E0001_11_008_a_06	Aquí está, su alteza.
E0001_11_008_a_07	Has entregado el Cristal del Agua.
E0001_11_008_a_08	Parece auténtico, debo decir.
E0001_11_008_a_09	Así que este es el Cristal del Agua... Qué resplandor... Puedes irte, (CECIL).
E0001_11_008_a_10	¡Pero... su alteza...!
E0001_11_008_a_11	¿Sí...?
E0001_11_008_a_12	¿Qué quiere, capitán?
E0001_11_008_a_13	Disculpe mi atrevimiento, su alteza, pero desearía saber cuáles son sus intenciones con los Cristales.<P>\nEstamos perdiendo la confianza de nuestros hombres.
E0001_11_008_a_14	Dime, ¿acaso compartes la desazón de tus subordinados?
E0001_11_008_a_15	¡No! Yo solo quería...
E0001_11_008_a_16	¡Silencio! El descontento en tus filas conduce a la alta traición, y eso no lo toleraré.<P>\n¡Te relevo de tu puesto al mando de las Alas Rojas con efecto inmediato!
E0001_11_008_a_24	¡Pero, su alteza...!
E0001_11_008_a_17	No obstante, te encomendaré otra tarea. <P>\nDerrota a la bestia fantasmal que acosa el valle de Mist y entrega este anillo de bom a sus habitantes.<P>\nPartirás mañana al amanecer, de modo que procura descansar bien.
E0001_11_008_a_18	Le ruego recapacite, su alteza.
E0001_11_008_a_19	(CECIL) jamás le traicionaría.
E0001_11_008_a_20	¡No toleraré más insolencias, (CAIN)! Si tanto te preocupas por él, mejor será que le acompañes.
E0001_11_008_a_25	¡Pero, su alteza...!
E0001_11_008_a_21	¡Tomad el anillo y marchaos de una vez!
E0001_11_008_a_22	Has recibido el anillo de bom.
E0001_11_008_a_23	¡Mi rey...!
E0001_12_006_a_01	Lo siento, (CAIN).
E0001_12_006_a_02	Tranquilo, seguro que cuando completemos esta misión, recuperaremos la confianza del rey. <P>\nPronto estarás de vuelta en las Alas Rojas, protegiendo Baronia una vez más.
E0001_12_006_a_03	...
E0001_12_006_a_04	Tú descansa, que ya preparo yo todo para mañana.
E0101_00_006_a_01	¿Qué te ocurre?
E0101_00_006_a_02	Siento haberte metido en este lío...
E0101_00_006_a_03	No te disculpes, esto es cosa mía. Me hago cargo de mis propias acciones.
E0101_00_006_a_04	Me entrené en las artes oscuras a petición del rey, pero…<P>\nse suponía que protegería Baronia con ellas, no que saquearía en su nombre.
E0101_00_006_a_05	No te martirices. El rey debe de tener sus razones.
E0101_00_006_a_06	Cómo te envidio, (CAIN)...
E0101_00_006_a_07	Si yo también hubiese elegido el camino de las artes oscuras, seguro que hubiera medrado...<P>\nPero al igual que mi padre, ser draconarius va más conmigo.<P>\nSiempre pensé que de seguir sus pasos le sentiría más cerca de mí. Perderle siendo tan niño fue un mazazo.
E0101_00_006_a_08	(CAIN)...
E0101_00_006_a_09	Basta ya de mis tonterías, no vaya a ser que te pienses que soy un sensiblero... <P>\nLo único de lo que te tienes que preocupar es de sobrevivir mañana.<P>\nNo me gustaría tener que volver y explicar cómo perdí al preeminente caballero de Baronia.
E0101_00_006_a_10	No dejaré que hagas todo el trabajo sucio.
E0101_00_006_a_11	¡Así me gusta!<P>\nAhora intenta descansar un poco, que mañana va a ser un día muy duro.
E0002_00_009_a_01	¡(CECIL)!
E0002_00_009_a_02	Qué alivio verte sano y salvo. No sabes cuánto me preocupé por ti, fue todo tan precipitado...
E0002_00_009_a_03	Tranquila, estoy bien. Me gustaría poder decir lo mismo de aquellos pobres mysidianos...
E0002_00_009_a_06	¡(CECIL)!
E0002_00_009_a_04	Te iré a ver más tarde, ¿vale?
E0002_00_009_a_05	Muy bien...
E0003_00_004_a_01	Vaya, mira a quién tenemos por aquí. Tenías a (ROZA) muerta de preocupación.
E0003_00_004_a_02	¡Como se te ocurra hacerla llorar otra vez, te pongo en órbita! ¿Entendido? <P>\nDime, ¿cómo están mis barcos voladores? Seguro que los zoquetes que tienes por subalternos me los han destrozado... <P>\nOye, ¿te pasa algo, chaval? Menuda cara me llevas.
E0003_00_004_a_03	Verás...
E0003_00_004_a_04	¡¿Pero qué me dices?! ¡¿Cómo es que te han encargado esa misión?! <P>\nLas Alas Rojas van a estar perdidas sin ti. Pero ¿en qué demonios estará pensando el rey? <P>\n¿Sabías que me ha pedido que le construya un nuevo barco volador? Seguro que es para atacar a más inocentes.<P>\nLa gente empieza a sentirse incómoda... En fin, ten cuidado y asegúrate de volver sano y salvo.<P>\n¡Mira la hora! La que me va a caer cuando llegue a casa... ¡Vaya genio tiene mi hija!
E0004_00_014_a_01	He cambiado sus sábanas, señor. Me han contado que parte mañana al amanecer. Descanse bien.
E0005_00_015_a_01	¿Qué le ocurre al rey? Su afán de poseer los Cristales lo ha convertido en un tirano que no duda en usar cualquier medio para conseguirlos. <P>\nPero no puedo desafiarlo. <P>\n¿Cómo podría hacerle eso al hombre que nos crió a (CAIN) y a mí como si fuésemos sus propios hijos? <P>\nMe es imposible traicionarle. Siempre fue un honrado caballero que cuidó de mí... Pero ¡esto es demasiado!
E0005_00_015_a_14	¡(CECIL)!
E0005_00_015_a_02	¿Qué ocurre? Acabas de volver de Mysidia y ahora tienes que viajar a no sé dónde para luchar contra un monstruo.<P>\nAdemás, estás actuando de una manera muy extraña.
E0005_00_015_a_03	Todo saldrá bien...
E0005_00_015_a_04	(CECIL), mírame cuando me hables.
E0005_00_015_a_05	En Mysidia tuvimos que mancharnos las manos de sangre inocente para robarles el Cristal. <P>\nFue horroroso, pero supongo que este es el destino de un caballero oscuro.<P>\nMi alma se está volviendo del mismo color que mi armadura.
E0005_00_015_a_06	Eso no ocurrirá jamás.
E0005_00_015_a_07	Aun así, no puedo desafiar a mi rey. Soy un miserable cobarde...
E0005_00_015_a_08	El (CECIL) que yo conozco nunca hablaría de esta manera. <P>\nEl (CECIL) que amo no es así...
E0005_00_015_a_09	Mañana partes para Mist, ¿verdad? Prométeme que llevarás cuidado.
E0005_00_015_a_10	Sí, no te preocupes. Además, me acompaña (CAIN).
E0005_00_015_a_11	No me va a pasar nada. Confía en mí.
E0005_00_015_a_12	Rezaré por ti. Si te ocurriera algo, yo...
E0005_00_015_a_13	Gracias, (ROZA)...<P>\nPero recuerda... que soy un caballero oscuro y eso me impide estar a tu lado...
E0006_00_005_a_01	¿Preparado para la acción?
E0006_00_005_a_02	Claro que sí.
E0006_00_005_a_03	¿Pues a qué esperas?
E0033_00_005_a_01	¡Señor (CECIL)!
E0033_00_005_a_02	Bienvenido de vuelta, capitán...
E0033_00_005_a_03	¿Tú también, Baigan...?
E0033_00_005_a_04	¿Ocurre algo, capitán?
E0033_00_005_a_05	¿Tú también sirves a este Golbez?
E0033_00_005_a_06	¡Nunca! Como capitán de la Guardia real, he jurado mi lealtad tan solo a Baronia.
E0033_00_005_a_07	¿Dónde está (CID)? He oído que lo han apresado en el castillo.
E0033_00_005_a_08	Yo también intenté rescatarlo con mis hombres, pero fuimos atacados... <P>\nSolo me he salvado yo.
E0033_00_005_a_09	No me digas...\n¡Entonces debes unirte a nosotros!
E0033_00_005_a_10	Sería un honor.
E0033_00_005_a_11	El capitán Baigan de la Guardia real se ha unido al grupo.
E0033_00_005_a_12	¿Qué os pasa?
E0033_00_005_a_13	Aquí hay gato encerrado.
E0033_00_005_a_14	Sí. Esto me huele mal.
E0033_00_005_a_15	¡¿Cómo?! ¿Es que detectáis algún monstruo?
E0033_00_005_a_16	Venga ya, se te ve a la legua...
E0033_00_005_a_17	No se dedique al teatro, porque no iría nadie a verle.
E0033_00_005_a_18	¡Baigan! ¿Cómo pudiste traicionar a Baronia?
E0033_00_005_a_19	Los deseos de Golbez son los deseos de Baronia ¡Temblad ante mi nuevo poder!
E0033_01_005_a_01	¡Ja! ¡Pan comido!
E0033_01_005_a_02	Hasta Baigan nos ha traicionado...
E0034_00_008_a_01	¡(CECIL)! Me alegro de que hayas podido volver sano y salvo...
E0034_00_008_a_02	Gracias.
E0034_00_008_a_03	Pero veo que te has convertido en paladín. Nos eras mucho más útil como caballero oscuro.<P>\n¿Qué se supone que debo hacer contigo ahora?
E0034_00_008_a_04	Pero ¿su alteza...?
E0034_00_008_a_05	¿Su alteza...? ¡Ah, claro! El viejales que se negó a entregarnos su reino... <P>\nJa, ja, ja. Si soy sincero, me he divertido haciéndome pasar por él.
E0034_00_008_a_06	¡¿Qué has hecho con nuestro rey?!
E0034_00_008_a_07	Pronto lo sabrás. Y de paso, podrás darle mis recuerdos a Scarmiglione en el inframundo. <P>\nEse esmirriado nunca se mereció ser uno de los cuatro Señores Elementales. <P>\nSu poder no tiene ni punto de comparación con nuestra grandeza.
E0034_00_008_a_08	Entonces, tú eres...
E0034_00_008_a_09	¡Observad al Señor del Agua! ¡Cagnazzo!
E0034_00_008_b_01	¡Ha invocado torrentes de agua!
E0034_00_008_b_02	¡Defensa quelonia!
E0034_00_008_b_03	¡Electro rompe la barrera!
E0034_01_008_a_01	¡Maldito impostor!
E0034_01_008_a_02	¡Alguien se va a llevar una tunda por haberme encerrado en esa pocilga!<P>\n¿Eh...? Pero si...
E0034_01_008_a_03	¡(CID)!
E0034_01_008_a_04	¿(CECIL)? ¡Estás vivo! ¡Ya empezaba a preocuparme!
E0034_01_008_a_05	Lo siento...
E0034_01_008_a_06	¿Dónde está (ROZA)?<P>\nSalió en tu busca, convencida de que seguías vivo...
E0034_01_008_a_07	Golbez la ha raptado...
E0034_01_008_a_08	¡¿Qué?! Pero ¿cómo has dejado que ocurra algo así? <P>\nPrimero mis barcos voladores, ahora (ROZA)...
E0034_01_008_a_09	Ponerse a echar voces no servirá de nada.<P>\nQuizá sería mejor si nos dirigieras hacia tu barco volador en vez de darle al pico. La chica corre peligro.
E0034_01_008_a_10	¿Quién rayos es el viejales socarrón este?
E0034_01_008_a_11	Mira quién fue a hablar.
E0034_01_008_a_12	Pero ¿qué dices? ¡Si podría ser tu hijo, abuelo!
E0034_01_008_a_13	Cálmense, por favor. No es momento de pelear. (CID), le presento al gran sabio, (TELLA).
E0034_01_008_a_14	Este es el maestro (YANG), sumo sacerdote de Fabul. <P>\nYo soy (POLOM), una maga aprendiz de Mysidia.
E0034_01_008_a_15	Ahora tenemos a dos vejestorios en el grupo... Estupendo...
E0034_01_008_a_16	Ese malhablado es mi hermano gemelo, (PALOM).
E0034_01_008_a_17	¡Como si tú fueras la educada!
E0034_01_008_a_18	Es un placer poder conocerle.
E0034_01_008_a_19	Vaya, al fin alguien formal.
E0034_01_008_a_20	(CID), ¿dónde tienes el barco volador nuevo?
E0034_01_008_a_21	Je, je, je.
E0034_01_008_a_22	Donde a nadie se le ocurriría mirar. ¡Le he dado un toque de los míos!
E0034_01_008_a_23	¡Debemos darnos prisa! ¡La vida de (ROZA) está en peligro!
E0034_01_008_a_24	¡No hace falta que me grites! Yo no me he quedado sordo con la edad como tú.<P>\n¡Seguidme!
E0034_02_007_a_01	Ja, ja, ja, ja... <P>\n¡Puede que hayáis ganado la batalla, pero no la guerra! <P>\nUníos a Cagnazzo en el inframundo. No me gusta la soledad, después de todo. Ja, ja, ja...
E0034_02_007_a_02	¡Las paredes!
E0034_02_007_a_03	¡No se abre!
E0034_02_007_a_04	¡Este lado también está cerrado!
E0034_02_007_a_05	¡(PALOM)! ¡(POLOM)!
E0034_02_007_a_06	¡Solo hay una manera!
E0034_02_007_a_07	¡(CECIL), gracias por hacernos vivir tantas aventuras!
E0034_02_007_a_08	Pero ¿qué pensáis hacer? Ni se os ocurra...
E0034_02_007_a_09	¡No vamos a permitir que muráis aquí!
E0034_02_007_a_10	¡Gracias por todo, maestro (TELLA)! ¡Cuida de (CECIL)!
E0034_02_007_a_11	¿Preparada, hermana?
E0034_02_007_a_12	¡Sí, hermano!
E0034_02_007_a_13	¡No!
E0034_02_007_a_14	¡Petra!
E0034_02_007_a_15	¡(PALOM)!
E0034_02_007_a_16	¡(POLOM)!
E0034_02_007_a_17	¡Esperad! ¡Puedo revertir su estado!<P>\n¡Esna!
E0034_02_007_a_18	El hechizo no surte ningún efecto porque los gemelos decidieron petrificarse por voluntad propia.
E0034_02_007_a_19	¡Insensatos! Yo estoy ya viejo, era mi deber... ¡Debería haber sido yo!
E0034_02_007_a_20	Oh, no... Tan jóvenes y...
E0034_02_007_a_21	Os vengaré... Lo juro por todo lo sagrado... ¡Os vengaré!
E0034_02_007_a_22	¡Es hora de ajustar las cuentas con Golbez! ¡Al Enterprise!
E0034_02_007_a_23	Voy a acabar contigo Golbez, ¿me oyes?
E0034_02_007_a_24	¡¡¡Voy a por ti, miserable!!!
E0034_04_006_a_01	¿Aquí? Si no hay nada.
E0034_04_006_a_02	¡Hay que saber dónde mirar!
E0034_06_327_a_01	Asombroso...
E0034_06_327_a_02	¡Vaya, vaya!
E0034_06_327_a_03	Menuda belleza, ¿no os parece? ¡Pongámosla en marcha!
E0034_08_323_a_01	¡A los puestos de combate! ¡Es hora de desatar todo el poder del Enterprise!
E0034_08_323_a_02	¡Espera!
E0034_08_323_a_03	¿Qué es eso?
E0034_08_323_a_04	Parece una bandera blanca...
E0034_10_324_a_01	¡(CAIN)!
E0034_10_324_a_02	¡Je! Así que sigues vivo.
E0034_10_324_a_03	¡(CAIN)! ¡Eres una sabandija!
E0034_10_324_a_04	¿Dónde está (ROZA)?
E0034_10_324_a_05	Sabía que preguntarías por ella. Si quieres volver a verla, tráeme el Cristal de la Tierra.
E0034_10_324_a_06	¡¿Qué dices?!
E0034_10_324_a_07	¡Sinvergüenza!
E0034_10_324_a_08	Una vez hayáis recuperado el Cristal, ya os vendré a buscar. <P>\nSi queréis volver a ver a (ROZA), os sugiero que os deis prisa.
E0034_10_324_a_09	¡Pagarás por esto, bellaco!
E0034_10_324_a_10	¡Abre los ojos, (CAIN)!
E0034_10_324_a_11	Eso es todo por ahora.
E0034_12_323_a_01	Déjalo, (CECIL).
E0034_12_323_a_02	Cuando pille a esa sucia sabandija...
E0034_12_323_a_03	(CID), pon rumbo hacia el noroeste. Nos vamos a Troia.
E0044_02_015_a_01	Pero si esto es...
E0044_02_015_a_02	Tu viejo cuarto en Baronia.
E0044_02_015_a_03	Desde que nos deshicimos del rey falso, ya no corremos peligro aquí.
E0044_02_015_a_04	(CECIL), debo decirte algo...
E0044_02_015_a_05	¿Qué ocurre?
E0044_02_015_a_06	Es acerca de los Cristales.
E0044_02_015_a_07	Ahora que hemos perdido el Cristal de la Tierra, Golbez posee ahora todos los Cristales.
E0044_02_015_a_08	No es cierto, solo posee cuatro Cristales.
E0044_02_015_a_09	¿Hay más de cuatro?
E0044_02_015_a_10	¡No me digas que las leyendas eran ciertas!
E0044_02_015_a_11	No puede ser...
E0044_02_015_a_12	No me lo invento. Los cuatro Cristales de la Oscuridad existen.
E0044_02_015_a_13	Ya veo... Entonces los Cristales de este mundo son los Cristales de la Luz...
E0044_02_015_a_14	¿Entonces existe otro tipo de Cristales?
E0044_02_015_a_15	¿Y están en otro mundo, puede ser?
E0044_02_015_a_16	Exacto. Lo cual significa que Golbez solo tiene la mitad de los Cristales.
E0044_02_015_a_17	Pero aunque existan, ¿cómo los encontramos?
E0044_02_015_a_18	Si Golbez pudo, nosotros también.
E0044_02_015_a_19	¡No hay tiempo que perder!
E0044_02_015_a_20	Se encuentran bajo la superficie terrestre... en el inframundo.
E0044_02_015_a_21	¿Cómo?
E0044_02_015_a_22	¿En el inframundo? ¿Estás seguro?
E0044_02_015_a_23	Se lo oí comentar a Golbez de pasada. <P>\nTambién dijo que cuando haya reunido todos los Cristales, el camino lunar se abrirá...
E0044_02_015_a_24	¿Un camino a la luna...?
E0044_02_015_a_25	No estoy seguro de qué hablaba, pero podemos empezar probando esto. <P>\nMejor será que te lo quedes. Nos será de ayuda, seguro.
E0044_02_015_a_26	Has obtenido magma.
E0044_02_015_a_27	Así que esto...
E0044_02_015_a_28	Esto se debe utilizar en algún lugar para abrir el camino al inframundo.
E0044_02_015_a_29	Sí, pero ¿dónde?
E0044_02_015_a_30	A saber dónde podemos utilizarlo.
E0044_02_015_a_31	Ojalá lo supiera...
E0044_02_015_a_32	¡No os preocupéis! Con el Enterprise podremos explorar el mundo hasta encontrar ese sitio.
E0044_02_015_a_33	Pero dejamos el barco volador en la Torre de Zot.
E0044_02_015_a_34	¿Y qué? Mi pequeña está equipada con un sistema de piloto automático. <P>\nSeguro que ya ha vuelto ella solita. ¡Por algo es último modelo!
E0044_02_015_a_35	Solucionado, pues.
E0044_02_015_a_36	(CID), ¿qué haríamos sin ti?
E0044_02_015_a_37	No lo sé, pero seguro que nada bueno. <P>\n¡Hora de irse a la cama! ¡Que mañana partimos pronto hacia el inframundo!
E0044_02_015_a_38	Lo que todavía no entiendo es por qué Golbez no acabó conmigo cuando tuvo su oportunidad en la torre.
E0044_02_015_a_39	¿(CECIL)?
E0044_02_015_a_40	Estaba pensando en voz alta. Vamos, hay que descansar.
E0044_03_015_a_41	¡Hora de moverse!
E0055_00_004_a_01	Hola, (CECIL). El jefe nos pidió que le pusiéramos este gancho al Enterprise.<P>\nNo tardaremos mucho.
E0055_01_004_a_01	¡Acabamos! Ahora ya puedes cargar el aerodeslizador en el barco volador.
E0055_01_004_a_02	Sitúa el Enterprise encima del aerodeslizador y pulsa el botón de aceptar para cargar o descargar el vehículo.
E0055_01_004_a_02_2	Sitúa el Enterprise encima del aerodeslizador y toca (!) para cargar o descargar el vehículo.
E0055_01_004_a_03	Con los dos vehículos podrás explorar cualquier paradero, incluyendo la cueva de Eblan de al lado de la torre de Babel.
E0055_01_004_a_04	Basta con cambiar de vehículo cerca de las aguas menos profundas.
E0055_01_004_a_05	La verdad es que (CID)...
E0055_01_004_a_06	Ya sabemos que no puede estarse quieto, siempre gritando y corriendo de un lado a otro,
E0055_01_004_a_07	pero sabe cuidar de sí mismo.
E0055_01_004_a_08	Bueno, tenemos trabajo para parar un tren. ¡Ánimos y que vaya bien!
E0137_00_021_a_01	(CECIL)...
E0137_00_021_a_02	¡Su alteza!
E0137_00_021_a_03	Debes encontrar la Tierra de invocación. <P>\nRegresa a continuación, quizá sea capaz de ayudarte entonces.
E0137_00_021_a_04	Sí, su alteza.
E0108_00_021_a_01	Veo que has conseguido regresar.
E0108_00_021_a_02	Su alteza...
E0108_00_021_a_03	No te compadezcas de mí. Aunque me hayan asesinado, he conseguido\nun poder eterno. <P>\nLa invocadora que te acompaña podrá llamarme a vuestra presencia siempre que necesitéis mi ayuda. Mi espada es vuestra. <P>\nPero primero debes probar tu coraje y fuerza... ¡Que empiece la batalla!
E0108_00_021_b_01	¡Odín rebosa del poder del Rayo!
E0108_01_021_a_01	Te has hecho fuerte. Debes utilizar tu nueva fuerza para proteger Baronia.<P>\nO más bien, el mundo entero. <P>\nYo lucharé a tu lado como Odín.
E0108_01_021_a_02	Gracias, su alteza.
E0108_01_021_a_03	(RYDIA) ha aprendido a invocar a Odín.
E0135_01_022_a_01	¡Cerdícolis!<P>\n¿Eh...? <P>\nVaya...
E0135_01_022_a_02	Parece que te he lanzado Minimalia. Lo siento.
E0136_01_020_a_01	La ruta está sellada por una fuerza invisible.
N101_C02_004_07_01	Está prohibida la entrada a esta torre.
N101_C02_004_03_01	Todo en orden, mi capitán.
N101_C02_004_03_02	Aún no me puedo creer que el rey fuera un monstruo...
N101_C02_004_04_01	En el castillo se respira un ambiente aciago...
N101_C02_004_04_02	Descuidamos nuestras responsabilidades...
N101_C02_004_01_01	Intente descansar, capitán, que mañana debe partir muy temprano.
N101_C02_004_02_01	Está anocheciendo, mi capitán. Por favor, permanezca dentro del castillo.
N101_C02_004_01_02	El rey ha prohibido su entrada en el castillo hasta que entregue el anillo de bom al pueblo de Mist.
N101_C02_004_01_03	¡¿Qué pretende?! ¡No tiene permiso para estar aquí!
N105_C01_004_06_01	¿Has visto al ingeniero (CID)? Pidió que revisáramos todos los barcos voladores y después desapareció.
N105_C01_004_06_02	¡Jefe! ¡Estás vivo!
N105_C01_004_06_03	Supongo que el jefe está ocupado. ¡Como siempre!
N105_C01_004_05_01	Hoy nos toca trasnochar otra vez. No creo que pueda soportarlo...<P>\n¡Eh! ¡Ni se te ocurra decirle al jefe que me he estado quejando!
N105_C01_004_05_02	¡Jefe...! ¿Es un fantasma o eres tú de verdad? ¡Ah! Estaba a punto de volver al trabajo...
N105_C01_004_05_03	He mejorado hasta tal punto que creo que podría sustituir al jefe... <P>\nEh, pero no vayas a decirle nada...
N101_C02_005_01_01	He oído que consiguió recuperar el Cristal de los mysidianos.
N101_C02_005_01_02	Los soldados que formaban el ejército de Golbez eran todos monstruos. No había ni un humano entre sus secuaces.
N101_C02_005_02_01	¡Estoy de guardia! ¡No me moleste!
N101_C02_005_02_02	Lo que le ocurrió al rey fue una verdadera tragedia...
N101_C02_005_03_01	Asegúrese de proveerse de todos los objetos del almacén que necesite para completar su misión.<P>\nPulse el interruptor de la pared para abrir la puerta.
N101_C02_005_03_02	Puedo oír la voz del rey fallecido resonando desde las profundidades... ¿Estará embrujando el castillo?
N101_C02_006_04_01	Su alteza está actuando de una manera muy extraña últimamente.
N101_C02_006_04_02	¡Larga vida a (CECIL)! ¡El trono ha de ser suyo!
N101_C02_006_03_01	Digan lo que digan, yo confío en el rey.
N101_C02_006_03_02	¡(CECIL), debemos vengar al rey!
N101_C02_006_05_01	El valle de Mist se encuentra al noroeste de Baronia. Siempre está cubierto por una densa niebla.
N101_C02_006_05_02	Juramos sobre nuestro honor de draconarius que protegeremos el castillo.
N101_C02_006_06_01	Ahora que usted y el comandante (CAIN) han unido fuerzas, nada les podrá detener.
N101_C02_006_06_02	Falté al deber de proteger a mi rey. No me atrevo a ver al comandante (CAIN).
P002_C00_006_07_01	¿Qué pasa, no puedes pegar ojo?
N003_C01_006_01_01	Últimamente he oído varios rumores preocupantes acerca del rey.
N003_C01_006_01_02	Daremos nuestras vidas en defensa de Baronia.
N003_C01_006_02_01	Mejor será que suprima cualquier pensamiento traicionero si quiere conservar su vida.
N003_C01_006_02_02	Debería haber intentado parar al rey antes de que las cosas llegaran hasta este punto...
N003_C01_007_01_01	El rey está muy disgustado. No quiere verle hasta que haya entregado el anillo de bom al pueblo de Mist.
N003_C01_008_01_01	Jamás volveremos a permitir que los monstruos tomen el castillo.
N118_C01_022_02_01	Hemos estado trabajando diligentemente para desarrollar nuevos hechizos ofensivos.
N118_C01_022_02_02	¿Cómo no me di cuenta de que el rey había sido suplantado por un monstruo? <P>\nAún me queda mucho por aprender...
N118_C01_022_03_01	Los hechizos básicos, como Piro o Hielo, no surten efecto contra algunos monstruos.<P>\nRecuerdo haber oído hablar de hechizos más poderosos, pero no soy capaz de aprenderlos...
N118_C01_022_03_02	¡Así que el hechizo arcano, Meteo, existía de verdad!
N118_C01_022_01_01	¡Morfeo!<P>\nJe, je, ¡felices sueños!<P>\n¿Eh? ¿Cómo es que no estás roncando?<P>\n¡Caracoles! ¿Qué habré hecho mal?
N117_C01_023_02_01	El rey lleva días rebosando energía y vigor, pese a su edad...
N117_C01_023_02_02	Apoyaremos a los soldados con nuestra magia blanca.
N117_C01_023_03_01	Todavía estoy estudiando los principios básicos de la magia blanca. <P>\nExisten cuatro niveles del hechizo Cura: Cura, Cura+, Cura++ y Cura+++.
N117_C01_023_03_02	No me puedo creer que un monstruo estuviera suplantando al rey.
