SPEAKER_01	？？？？
E0001_01_342_a_04	いくら命令とはいえ…\n罪もない人からクリスタルを…。
E0001_03_342_a_01	我々、赤い翼は誇り高き飛空艇団！\nか弱い者から略奪など！
E0001_03_342_a_02	やめるんだ！
E0001_03_342_a_03	しかし、隊長！
E0001_03_342_a_04	無抵抗な魔道士たちから略奪するなんて！
E0001_03_342_a_05	いいか、みんな！\nクリスタルは、我がバロン国の繁栄のため\nどうしても必要だ。<P>\nミシディアの者たちは\nクリスタルの秘密を知り過ぎているとの\n陛下のご判断だ。<P>\n我々はバロン国、飛空艇団\nバロンの赤い翼だ！\n陛下の命令は絶対なのだ…。
E0001_03_342_a_06	隊長…。
E0001_03_342_a_07	隊長、魔物が！
E0001_03_342_a_08	総員、戦闘配備！
E0001_04_342_a_01	ぐわっ！
E0001_04_342_a_02	大丈夫か？
E0001_04_342_a_03	まだ、きます！
E0001_04_342_a_04	くそッ！
E0001_05_342_a_01	みんな無事か？
E0001_05_342_a_02	はい！
E0001_05_342_a_03	しかし、近頃、魔物の数が…。
E0001_05_342_a_04	たしかに、あまりに多すぎる。
E0001_05_342_a_05	何かが…起ころうとしているのか？
E0001_05_342_a_06	バロンに到着しました！
E0001_05_342_a_07	よし、着陸だ。
E0001_07_004_a_01	おお、クリスタルを手に入れたのですね。
E0001_07_004_a_02	…しかし、ミシディアの人々は\nまるで無抵抗だった…。
E0001_07_004_a_03	何をおっしゃるのです。\nさあ、陛下がお待ちです。
E0001_10_007_a_01	(CECIL)殿。\nしばし、お待ちください。
E0001_11_008_a_01	陛下…。\n恐れながら(CECIL)の奴めが\n陛下に不審を抱いている様子です。
E0001_11_008_a_02	まことか！\nさすがは近衛兵長。\nよく知らせてくれた！<P>\nだが、クリスタルさえ手に入ればよい。\n(CECIL)を呼んでまいれ。
E0001_11_008_a_03	は。
E0001_11_008_a_04	(CECIL)殿、陛下がお呼びです。\nどうぞ。
E0001_11_008_a_05	(CECIL)、ご苦労であった。\nで、クリスタルは？
E0001_11_008_a_06	はっ、こちらに。
E0001_11_008_a_07	『水のクリスタル』を手渡した。
E0001_11_008_a_08	本物のようです。
E0001_11_008_a_09	そうか！\nおお、なんとまばゆい！\n下がってよいぞ(CECIL)！
E0001_11_008_a_10	陛下！
E0001_11_008_a_11	な、なんじゃ！
E0001_11_008_a_12	な、なんです！
E0001_11_008_a_13	陛下は、いったいどういうおつもりです？\nみな、陛下に不審を抱いております！
E0001_11_008_a_14	お前をはじめとしてか？
E0001_11_008_a_15	！\nけしてそのような…。
E0001_11_008_a_16	私が何も知らぬとでも思っているか！\nお前ほどの者が\n私を信頼してくれぬとはな…。<P>\n残念だが、これ以上お前に\n赤い翼をまかせてはおけん！\n今より飛空艇、部隊長の任を解く！
E0001_11_008_a_24	陛下！
E0001_11_008_a_17	代わって、幻獣討伐の任につけい！\nミストの谷付近に幻の魔物、\n幻獣が出没するそうだ。<P>\nその魔物を倒し、ミストの村へ\nこのボムの指輪を届けるのだ。\n出発は、明日の朝だ！
E0001_11_008_a_18	お待ちください！
E0001_11_008_a_19	(CECIL)は、そんな…。
E0001_11_008_a_20	(CAIN)。\nこやつのことが心配なら\nお前も(CECIL)と共に行け！
E0001_11_008_a_25	陛下！
E0001_11_008_a_21	もう、話すことはない！\nその指輪を持ち、下がるがよい！
E0001_11_008_a_22	『ボムの指輪』を手に入れた。
E0001_11_008_a_23	陛下！
E0001_12_006_a_01	すまない(CAIN)、お前まで…。
E0001_12_006_a_02	その幻獣とやらを倒せば\n陛下も許してくださる。\nまた、赤い翼に戻れるさ。
E0001_12_006_a_03	……。
E0001_12_006_a_04	気にするな。\n準備は俺にまかせて今夜はゆっくり休め。
E0101_00_006_a_01	どうした？
E0101_00_006_a_02	すまなかった、(CAIN)…。
E0101_00_006_a_03	まだそんなことを言ってるのか。\nお前らしくもない。
E0101_00_006_a_04	僕は陛下の命令で暗黒剣を究めた。<P>\nでも、それはバロンを守るためで\n罪もない人々から\n略奪をするためではなかったはずだ。
E0101_00_006_a_05	そんなに自分を責めるな。\n陛下にもお考えがあってのことだ。
E0101_00_006_a_06	(CAIN)、お前がうらやましいよ。
E0101_00_006_a_07	俺の父も竜騎士だった。\n暗黒剣を究めれば階級も上がるだろうが、\n俺にはこっちの方が性に合う。<P>\nそれに、竜騎士でいれば\n幼い頃死に別れた父を\nいつでも感じられる気がしてな…。
E0101_00_006_a_08	……。
E0101_00_006_a_09	フッ、らしくない話をしてしまったな。<P>\nともかく、考えすぎるな。\nお前がそんなじゃ張り合いがない。\n幻獣を倒すのは、俺だぞ。
E0101_00_006_a_10	僕も負けはしない！
E0101_00_006_a_11	明日は早い。\n早く休め。
E0002_00_009_a_01	(CECIL)！
E0002_00_009_a_02	よかった、無事だったのね。\nあまり急な任務だったので心配したわ。
E0002_00_009_a_03	無事さ、僕らは…。\n無抵抗な魔道士相手に\n傷など負いはしない…。
E0002_00_009_a_06	(CECIL)！
E0002_00_009_a_04	後であなたの部屋に行くわ…。
E0002_00_009_a_05	ああ…。
E0003_00_004_a_01	戻ったかー、(CECIL)！
E0003_00_004_a_02	(ROZA)が心配しとったぞ！\n(ROZA)を泣かせたら\nこのワシが許さんからな！<P>\nところで、ワシのかわいい飛空艇は無事か？\nお前の部下は、荒っぽくていかん。<P>\nなんじゃ、うかない顔して！
E0003_00_004_a_03	実は、(CID)…。
E0003_00_004_a_04	なんじゃと？幻獣の討伐に？\nお前以外に赤い翼を仕切れるヤツがおるか！<P>\nまったく、陛下はどうされたんじゃ。\n新型の飛空艇を造れとおっしゃるが…。<P>\nワシは、飛空艇を人殺しの道具になぞ\nしたくないんじゃ！\n町の者も不思議がっとる…。<P>\nともかく気をつけてな！\n幻獣なぞ、お前の暗黒剣で一撃じゃ！<P>\nワシは家に帰る。\n最近、帰っとらんので娘がうるさくてな！
E0004_00_014_a_01	ベッドのシーツは取り替えておきました。\n明朝、出発なさるとか…。\n今夜はゆっくりお休みください。
E0005_00_015_a_01	陛下は…どうされたのだ？\n以前はナイトとしても名を馳せ\n優しく強いお方だった。<P>\n身寄りのない僕や(CAIN)を\n自分の子供のように育ててくれた。<P>\nミシディアのクリスタル…。\n無抵抗な村人から奪ってまで\n手に入れねばならぬほどのものなのか…。<P>\n命令とはいえあんなことは！
E0005_00_015_a_14	(CECIL)！
E0005_00_015_a_02	何があったの？\n急にミシディアへ行ったかと思えば\n幻獣討伐に行くなんて…。<P>\nそれに、戻ってきてから変よ。
E0005_00_015_a_03	いや、なんでもない…。
E0005_00_015_a_04	だったら、こっちを向いて。
E0005_00_015_a_05	僕はミシディアで…\n罪もない人々からクリスタルを！<P>\nこの暗黒騎士の姿同様、\n僕の心も…！
E0005_00_015_a_06	…あなたはそんな人じゃないわ。
E0005_00_015_a_07	僕は陛下には逆らえない、\n臆病な暗黒騎士さ…。
E0005_00_015_a_08	赤い翼の(CECIL)は、\nそんな弱音は吐かないはずよ！<P>\n私の好きな(CECIL)は…。
E0005_00_015_a_09	明日はミストへ行くんでしょ。\nあなたにもしものことがあったら、私…。
E0005_00_015_a_10	心配いらないさ。\n(CAIN)も一緒だ…。
E0005_00_015_a_11	もう遅い…\n君も休むんだ。
E0005_00_015_a_12	気をつけてね…！
E0005_00_015_a_13	ありがとう(ROZA)…。\nだが、僕は暗黒騎士。\n君とは…。
E0006_00_005_a_01	いくか(CECIL)。
E0006_00_005_a_02	あてにしてるぜ(CAIN)。
E0006_00_005_a_03	フッ、まかせておけ。
E0033_00_005_a_01	(CECIL)殿！
E0033_00_005_a_02	ご無事でしたか！
E0033_00_005_a_03	ベイガン！\nまさか君も…。
E0033_00_005_a_04	わたくしがどうしました？
E0033_00_005_a_05	ゴルベーザに操られて…。
E0033_00_005_a_06	まさか。\nわたくしとて近衛兵をおさめる身。\nバロンへの忠誠は誰にも曲げられません！
E0033_00_005_a_07	(CID)が捕らえられていると\n聞いたが？
E0033_00_005_a_08	わたくしども残った近衛兵で、\n彼を助けにきたのですが\n生き残ったのは、この私だけ。
E0033_00_005_a_09	そうか。\n一緒に行こう！\n君がいてくれれば、心強い！
E0033_00_005_a_10	はッ！
E0033_00_005_a_11	近衛兵長ベイガンが仲間になった！
E0033_00_005_a_12	どうした？
E0033_00_005_a_13	におうんだ。
E0033_00_005_a_14	魔物のにおいですわ！
E0033_00_005_a_15	なに、どこだ？
E0033_00_005_a_16	くさいんだよ！
E0033_00_005_a_17	おしばいするならもう少し上手く\nやっていただきたいものね。
E0033_00_005_a_18	君もゴルベーザに！
E0033_00_005_a_19	やめていただきたいですな\nそんな言い方は…。<P>\nあの方は、素晴らしいものを\n私にくださったのですよ。<P>\nこんなに素敵な力をねッ！
E0033_01_005_a_01	あまいぜあんちゃん！
E0033_01_005_a_02	ベイガンまでも…！
E0034_00_008_a_01	(CECIL)、無事であったか！\nずいぶんたくましくなったな。
E0034_00_008_a_02	陛下…。
E0034_00_008_a_03	その姿は、パラディン。\nそうか、パラディンになったか。\nだがな、いかんぞパラディンは。
E0034_00_008_a_04	陛下…\nいや、バロン！
E0034_00_008_a_05	バロン？\nクカカカカ…誰だそいつは？<P>\nおお、そうか、思い出した。\nたしか、この国は渡さんなどと言っていた\n愚かな人間か。<P>\nそいつになりすましていたんだっけなあ、\n俺は…\nヒャアッヒャッヒャッ！
E0034_00_008_a_06	貴様、陛下を！
E0034_00_008_a_07	会いたいか？\n王に会いたいか？<P>\n俺はスカルミリョーネのように\n無様なことはせんぞお。<P>\nなにしろ、あいつは四天王に\nなれたのが不思議なくらい\n弱っちいヤツだったからなあ。<P>\nグヘヘヘヘ！
E0034_00_008_a_08	ということは、貴様も！
E0034_00_008_a_09	いかにも！ゴルベーザ四天王\n水のカイナッツォ！
E0034_00_008_b_01	津波のための水を集め始めた！
E0034_00_008_b_02	閉じこもって防御態勢！
E0034_00_008_b_03	雷属性がバリアを打ち砕いた！
E0034_01_008_a_01	このー、偽バロン王めがあ！
E0034_01_008_a_02	よくもあんなカビくさいところに\n閉じ込めおって！\nブチのめしたるわい！<P>\nあ、あら？
E0034_01_008_a_03	(CID)！
E0034_01_008_a_04	(CECIL)かあ！\n生きとったんか！\n心配かけおって、この…！
E0034_01_008_a_05	すまない。
E0034_01_008_a_06	(ROZA)はどうした！？\nお前は生きとると飛び出して行ったが…。
E0034_01_008_a_07	ゴルベーザに捕らわれてしまって…。
E0034_01_008_a_08	お前がついていながら、\nなんというざまじゃ！<P>\nしかし、あのゴルベーザ…\nワシの飛空艇たちをひどいことに\n使うばかりか、(ROZA)まで！
E0034_01_008_a_09	その娘が危ないのじゃ。\n早く飛空艇とやらに案内してもらおう！
E0034_01_008_a_10	なんじゃ、このジジイは？
E0034_01_008_a_11	おぬしに言われたくはない！
E0034_01_008_a_12	ワシャ、まだ若いわ！
E0034_01_008_a_13	まあまあ…。\n(CID)様ですわね。<P>\nこちらは(TELLA)様。\n偉大な賢者様ですわ。
E0034_01_008_a_14	こちらがファブールのモンク僧長\n(YANG)様。<P>\n私はミシディアの魔道士見習い\n(POLOM)ですわ。
E0034_01_008_a_15	ヘン、ジジイ同士が！
E0034_01_008_a_16	あの口の悪いのが\n双子の(PALOM)ですの。
E0034_01_008_a_17	ヘッ、いいこぶりやがって！
E0034_01_008_a_18	お初にお目にかかります。\nここは危険ゆえ急ぎませんと。
E0034_01_008_a_19	礼儀を知っとるの、おぬし！
E0034_01_008_a_20	(CID)、新型飛空艇は\nいったいどこに？
E0034_01_008_a_21	フフフ…。
E0034_01_008_a_22	だーれもわからんところじゃ！\nちょっとばかり細工しておいたんじゃ！
E0034_01_008_a_23	時間がないと言っておろうに！\n(ROZA)の命がかかっとるんじゃ！
E0034_01_008_a_24	いちいちうるさいジジイじゃの！\nわかっとるわい！<P>\nさ、こっちじゃ！
E0034_02_007_a_01	クカカカ…。\nこの俺を倒すとはなあ。\nだが、俺は寂しがりやでな。<P>\nクカカカ…死してなお、すさまじい\nこの水のカイナッツォの恐ろしさ、\nとくと味わいながら死ねえ！<P>\n先に地獄で待ってるぞお！\nヘエッヘッヘッ！
E0034_02_007_a_02	壁が！
E0034_02_007_a_03	開かない！
E0034_02_007_a_04	こっちもじゃ！
E0034_02_007_a_05	(PALOM)！\n(POLOM)！
E0034_02_007_a_06	あんちゃん、ありがとよ！
E0034_02_007_a_07	お兄様ができたみたいで、\nとっても嬉しかったですわ！
E0034_02_007_a_08	お前たち何を！
E0034_02_007_a_09	あんたらを、ここで殺させやしない！
E0034_02_007_a_10	(TELLA)様！\n(CECIL)さんをお願いしますわ！
E0034_02_007_a_11	いくぞ(POLOM)！
E0034_02_007_a_12	うんッ！
E0034_02_007_a_13	やめろー！
E0034_02_007_a_14	ブレイク！
E0034_02_007_a_15	(PALOM)…。
E0034_02_007_a_16	(POLOM)ーー！！
E0034_02_007_a_17	はやまりおって…！\n待っておれ！<P>\nエスナ！
E0034_02_007_a_18	二人の意志により石化しているので\n効果がない…。
E0034_02_007_a_19	ばかものが！\n死ぬのはこの老いぼれでよかったろうに！
E0034_02_007_a_20	こんな、おさなごが…！
E0034_02_007_a_21	この私が無念を晴らす！
E0034_02_007_a_22	とむらい合戦じゃ！\nエンタープライズを出すぞ！！
E0034_02_007_a_23	待っていろ…。
E0034_02_007_a_24	ゴルベーザ…！
E0034_04_006_a_01	こんなところに？
E0034_04_006_a_02	灯台もとくらしってやつじゃ！
E0034_06_327_a_01	こんなところにあったとは…。
E0034_06_327_a_02	すごい！
E0034_06_327_a_03	待たせたの、エンタープライズ！\n行くぞい！
E0034_08_323_a_01	さっそくお出ましじゃな！\nエンタープライズの威力、\nとくと見せてやるわ！
E0034_08_323_a_02	待て！
E0034_08_323_a_03	あれは…。
E0034_08_323_a_04	白旗？
E0034_10_324_a_01	(CAIN)！
E0034_10_324_a_02	生きていたか(CECIL)。
E0034_10_324_a_03	(CAIN)、どういうつもりじゃ！
E0034_10_324_a_04	(ROZA)は…無事だろうな。
E0034_10_324_a_05	フッ、やはり心配か？\n(ROZA)の命が惜しければ\nトロイアの土のクリスタルと引き換えだ。
E0034_10_324_a_06	なに？
E0034_10_324_a_07	卑怯な手を！
E0034_10_324_a_08	手に入れたらまた連絡にくる…。\nいいか、必ずだ！\n(ROZA)の身を案じるならな。
E0034_10_324_a_09	貴様…！
E0034_10_324_a_10	目を覚ませ、(CAIN)！
E0034_10_324_a_11	話すことはそれだけだ。
E0034_12_323_a_01	(CECIL)殿…。
E0034_12_323_a_02	(CAIN)のヤツ…！
E0034_12_323_a_03	トロイアに行こう…。\n(CID)、舵を北西へ…。
E0044_02_015_a_01	ここは…。
E0044_02_015_a_02	バロンのあなたの部屋よ。
E0044_02_015_a_03	ニセもんの王も倒したし\nもう安心じゃろ！
E0044_02_015_a_04	(CECIL)…\n話しておかねばならぬことが…。
E0044_02_015_a_05	なんじゃ？
E0044_02_015_a_06	クリスタルのことだ…。
E0044_02_015_a_07	トロイアから借りてきた\n土のクリスタルも奪われてしまった…。<P>\nこれでヤツの手に\nすべてのクリスタルが揃ったことになる。
E0044_02_015_a_08	いや、クリスタルは\nまだ４つしか揃っていない！
E0044_02_015_a_09	４つで全部じゃあ…。
E0044_02_015_a_10	噂に聞いたことがあるぞい！
E0044_02_015_a_11	まさか…。
E0044_02_015_a_12	そう…闇のクリスタルだ！
E0044_02_015_a_13	この世界の４つのクリスタルは\nいわば表のクリスタル…。
E0044_02_015_a_14	裏のクリスタルが…。
E0044_02_015_a_15	その闇のクリスタルか！
E0044_02_015_a_16	そうだ。\nだから、ゴルベーザの手に渡った\nクリスタルはまだ、半分にすぎん！
E0044_02_015_a_17	しかし、闇のクリスタルの噂は\n聞いたことがあるが、どこにあるかは…。
E0044_02_015_a_18	だが、ゴルベーザは探し当てた。
E0044_02_015_a_19	急がなければ！\nいったいどこに？
E0044_02_015_a_20	文字どおりの表と裏…地底だ！
E0044_02_015_a_21	地底！？
E0044_02_015_a_22	穴でも掘らなきゃ行けん！
E0044_02_015_a_23	ともかく、ヤツは表と裏…。<P>\nつまり、光と闇のクリスタルを\nすべて揃えた時、\n月への道が開かれると言っていた…。
E0044_02_015_a_24	月への道？
E0044_02_015_a_25	よくは、わからんが…\nそのカギがこれらしい。\nお前に渡しておこう。
E0044_02_015_a_26	『マグマの石』を手に入れた。
E0044_02_015_a_27	これは？
E0044_02_015_a_28	こいつをどこかでかかげると\n地底への道が開けるらしい…。
E0044_02_015_a_29	どこか？
E0044_02_015_a_30	いったい、どこに？
E0044_02_015_a_31	わからん…。
E0044_02_015_a_32	なに考え込んどる？\nエンタープライズがあろう！<P>\nこの世界なんぞアッという間に\n一回りじゃわい！
E0044_02_015_a_33	でも、あれはゾットの塔に…。
E0044_02_015_a_34	ナメるんじゃないわい！\n最新型と言ったろが！<P>\n遠隔操縦でちゃあんと\nバロンに戻っとるわい！
E0044_02_015_a_35	ならば決まりですな。
E0044_02_015_a_36	(CID)、頼りにしてるわ！
E0044_02_015_a_37	そうじゃろ？な！\nそうと決まったら出発は明日の朝じゃ！\n地底の入り口を目指し、ひと眠りじゃ！
E0044_02_015_a_38	しかし…なぜあの時ゴルベーザは\n僕にとどめをささなかったのだろう…。
E0044_02_015_a_39	どうしたの？
E0044_02_015_a_40	いや、なんでもない…\n休もう…。
E0044_03_015_a_41	よーし、出発だ！
E0055_00_004_a_01	(CECIL)さん！\n親方に頼まれていたんです！<P>\nこのフックを作ってエンタープライズに\n取りつけるようにと！\nなーに、あっという間ですよ！
E0055_01_004_a_01	これでホバー船を引き上げて移動できます！
E0055_01_004_a_02	エンタープライズに乗ったままで\nホバー船に重なり、\n決定ボタンで合体、分離ができます！
E0055_01_004_a_02_2	エンタープライズに乗ったままで\nホバー船に重なり、\n『！』ボタンをタップで合体、分離ができます！
E0055_01_004_a_03	これでバブイルの塔のある\nエブラーナの洞窟にも行けます！
E0055_01_004_a_04	大陸の浅瀬にホバー船を降ろし\n乗り換えて行くのです！
E0055_01_004_a_05	実は、(CID)は…。
E0055_01_004_a_06	元気すぎてお困りでしょう？
E0055_01_004_a_07	殺したって死ぬような人じゃ\nないですからねえ！
E0055_01_004_a_08	それじゃ、僕たちは仕事が\n山積みなんで！\nがんばってください！
E0137_00_021_a_01	(CECIL)よ…。
E0137_00_021_a_02	陛下！？
E0137_00_021_a_03	幻獣の世界へ行き、再びここへ来るのだ。\nお前の力になれるはず…。
E0137_00_021_a_04	陛下！
E0108_00_021_a_01	よく来てくれたな。
E0108_00_021_a_02	陛下…。
E0108_00_021_a_03	そんなに悲しい目をするな。\n魔物にやられはしたが\n私は、永遠の力を手に入れた。<P>\nそのミストの召喚士が呼び出せば\n私はいつでもお前の力になる。\n一撃必殺の幻獣としてな。<P>\nだが、幻獣界の掟により\nお前の力を試さねばならぬ。\nぬかるでないぞ…！
E0108_00_021_b_01	電流がオーディンを貫いた！
E0108_01_021_a_01	たくましくなったな…。\nバロンを、いや、世界を頼むぞ。\n私もオーディンとして、お前と戦おう！
E0108_01_021_a_02	陛下！
E0108_01_021_a_03	(RYDIA)が『オーディン』を覚えた！
E0135_01_022_a_01	ポーキー！<P>\nあ！<P>\nいけない！
E0135_01_022_a_02	すみません、ミニマムでした！
E0136_01_020_a_01	見えない力で封印されている。
N101_C02_004_07_01	この塔は、立ち入り禁止です。
N101_C02_004_03_01	異状ありません！
N101_C02_004_03_02	陛下が、化け物だったとは…。
N101_C02_004_04_01	近頃、城の雰囲気が\nよどんで感じるんですが…。
N101_C02_004_04_02	我々も操られていたのかもしれません。
N101_C02_004_01_01	明朝、ご出立でしょう。\n今日は、もうお休みください。
N101_C02_004_02_01	じき夜です。\n出られないほうが、よろしいかと。
N101_C02_004_01_02	ミストの村にボムの指輪を届けるまで、\n城には入れるなとの陛下のご命令です！
N101_C02_004_01_03	なんだ、貴様？\n通行許可を得ているのか？
N105_C01_004_06_01	(CID)親方を見ませんでしたか？\n飛空艇の整備を私らにまかせて\n何やら考えごとしてるんですよ。
N105_C01_004_06_02	親方！(CECIL)さんも！
N105_C01_004_06_03	親方は、相変わらずなんでしょうね！
N105_C01_004_05_01	あーあ、今日も徹夜か。<P>\nお、親方には内緒ですよ！\nし、仕事はたのしーなーっと！
N105_C01_004_05_02	お、親方の幽霊だー！<P>\nえ、ホンモノ？\n仕事、仕事！
N105_C01_004_05_03	僕も親方並みの腕前になってきたでしょ？<P>\nお、親方には内緒ですよ！
N101_C02_005_01_01	ミシディアからクリスタルを\n持ってきたそうですね！
N101_C02_005_01_02	ゴルベーザ率いる兵士たちは\nすべて人ではなかった…。
N101_C02_005_02_01	…！？<P>\nね、寝てなんかいませんよ！
N101_C02_005_02_02	陛下は魔物に…\nおいたわしや。
N101_C02_005_03_01	この部屋の宝を幻獣討伐に\n持っていってよいとのことです。\n壁にあるスイッチを押せば扉が開きます。
N101_C02_005_03_02	亡き陛下の声が地下から響いてくるんです。\nまさか…呪い？
N101_C02_006_04_01	最近の陛下からは\n異様な雰囲気を感じるのですが…。
N101_C02_006_04_02	(CECIL)様！\n王の座についてください！
N101_C02_006_03_01	私は、陛下を信じてます！
N101_C02_006_03_02	(CECIL)様、陛下の無念を！
N101_C02_006_05_01	ミストの谷は、バロンより北西。\nいつも深い霧が立ち込めてるそうです。
N101_C02_006_05_02	我らが竜騎士の誇りにかけて城を守ります！
N101_C02_006_06_01	我が竜騎士隊の(CAIN)さんと、\n赤い翼の(CECIL)さんが組めば\nコワイもんなしでしょう！
N101_C02_006_06_02	(CAIN)さんにあわせる顔が\nないですよ。
P002_C00_006_07_01	どうした、眠れんのか？
N003_C01_006_01_01	陛下についていろいろ言われていますが\n陛下の耳にでも入ったら…。
N003_C01_006_01_02	留守はおまかせを！
N003_C01_006_02_01	命が惜しければ、\n変なことはお考えにならないことです。
N003_C01_006_02_02	陛下の変貌に気づいていながら\n命が惜しいばかりに…。
N003_C01_007_01_01	陛下はご立腹です。\nミストへボムの指輪を届けるまでは\n会いたくないと申しております。
N003_C01_008_01_01	二度と魔物に城は渡しません！
N118_C01_022_02_01	早く実戦に役立つよう研究の最中です。
N118_C01_022_02_02	陛下が魔物だったことを見破れぬとは\nまだまだ修行が足りん。
N118_C01_022_03_01	ファイア、ブリザド、サンダーの\n基本魔法だけでは手に負えない魔物もいる。<P>\nより強力な魔法がかつては\nあったらしいのだが…。
N118_C01_022_03_02	やはり、いにしえの魔法メテオは\n存在しましたか！
N118_C01_022_01_01	スリプル！<P>\nあれ？<P>\n眠くない？<P>\nおかしいなあ。
N117_C01_023_02_01	最近の陛下は、以前にも増して\n生命力がみなぎられている。\nしかし、どこか…。
N117_C01_023_02_02	私たちも白魔法で兵士たちを助けます！
N117_C01_023_03_01	初歩の白魔法を研究しているところです。<P>\n白魔法、三段活用\nケアル、ケアルラ、ケアルダ！
N117_C01_023_03_02	魔物が陛下にすりかわっていたなんて…。
N117_C01_023_01_01	(ROZA)は、あなたの力に\nなりたいと言って、\n白魔道士の道を選んだのよ。<P>\nあまり(ROZA)に心配かけないでね！
N117_C01_023_01_02	今は、亡き陛下が安らかに\nお眠りくださることを祈るばかりです。
N101_C02_011_01_01	ミシディアで反抗した魔道士たちは、\nこの地下牢に入れておきました。\n牢屋越しならば話すことができます。
N101_C02_011_01_02	この牢を、もう使うことがないと\nいいんですが。
N118_C01_011_02_01	貴様、あの暗黒騎士！\nこんなことが許されると思うか！？
N117_C01_011_03_01	私たちはどうなろうと構いません。\nしかし、クリスタルだけはミシディアに！
N118_C01_011_04_01	お前ら何もわかっちゃいないんだ！\nクリスタルはただの宝石なんかじゃない！
N101_C02_012_01_01	いてー！\nそこは魔物にやられた傷が！
N101_C02_012_01_02	た、隊長？\n立派になられて！
N101_C02_012_02_01	隊長…。
N101_C02_012_02_02	生きておられたんですね！
N101_C02_012_03_01	ミシディアでのことは\n飲みまくって忘れます…。
N101_C02_012_03_02	陛下亡き後、バロンを継がれるのは\nあなた以外にありません！
N101_C02_012_05_01	なんと後味の悪い任務なんでしょう…。
N101_C02_012_05_02	赤い翼は…\nゴルベーザに奪われてしまいました！
N101_C02_012_04_01	赤い翼もおちたもんですよ！
N101_C02_012_04_02	くそ！飛空艇さえありゃあ！
P013_C00_015_02_01	おやすみ…。
N101_C02_016_01_01	ここは代々バロンに伝わる\n宝物が安置されていて\n立ち入りは禁じられています。
E0006_02_352_a_01	かくして、バロン国、飛空艇団
E0006_02_352_a_02	「赤い翼」の部隊長であった
E0006_02_352_a_03	暗黒騎士(CECIL)は
E0006_02_352_a_04	その座を剥奪され
E0006_02_352_a_05	竜騎士部隊長(CAIN)と共に
E0006_02_352_a_06	辺境の村、ミストを目指し
E0006_02_352_a_07	霧深く立ち込める谷へと
E0006_02_352_a_08	バロン城を後にした…
E0006_02_352_a_09	人々の夢であった
E0006_02_352_a_10	天かける船、飛空艇…
E0006_02_352_a_11	だが、その飛空艇の機動力は
E0006_02_352_a_12	夢の実現ばかりか
E0006_02_352_a_13	欲望を満たす手段にまでなりえた。
E0006_02_352_a_14	飛空艇団「赤い翼」により
E0006_02_352_a_15	最強の軍事国家となったバロン国。
E0006_02_352_a_16	なぜ、その強大な力を持つバロンが
E0006_02_352_a_17	クリスタルを求めたのか…
E0006_02_352_a_18	そしてなぜ、あまたの魔物が
E0006_02_352_a_19	白日のもとに
E0006_02_352_a_20	その姿を現し始めたのか…
E0006_02_352_a_21	クリスタルは、ただ静かに
E0006_02_352_a_22	その光をたたえていた…
