MSG_CHAR_NAME_01	塞西爾
MSG_MAGIC_NAME_35	<IC_BMGC>雷電
MSG_MAGIC_NAME_36	<IC_BMGC>中雷電
MSG_MAGIC_NAME_37	<IC_BMGC>大雷電
MSG_MAGIC_NAME_38	<IC_BMGC>毒化
MSG_MAGIC_NAME_39	<IC_BMGC>龍捲風
MSG_MAGIC_NAME_40	<IC_BMGC>地槌
MSG_MAGIC_NAME_41	<IC_BMGC>催眠
MSG_MAGIC_NAME_42	<IC_BMGC>石化
MSG_MAGIC_NAME_43	<IC_BMGC>致死一擊
MSG_MAGIC_NAME_44	<IC_BMGC>停止
MSG_MAGIC_NAME_45	<IC_BMGC>吸血
MSG_MAGIC_NAME_46	<IC_BMGC>攝魔
MSG_MAGIC_NAME_47	<IC_BMGC>隕石
MSG_MAGIC_NAME_48	<IC_BMGC>核爆
MSG_MAGIC_NAME_49	<IC_SMGC>妖精
MSG_MAGIC_NAME_50	<IC_SMGC>炸彈
MSG_MAGIC_NAME_51	<IC_SMGC>蛇雞獸
MSG_MAGIC_NAME_52	<IC_SMGC>精神吸取者
MSG_MAGIC_NAME_53	<IC_SMGC>陸行鳥
MSG_MAGIC_NAME_54	<IC_SMGC>濕婆
MSG_MAGIC_NAME_55	<IC_SMGC>拉姆
MSG_MAGIC_NAME_56	<IC_SMGC>伊弗利特
MSG_MAGIC_NAME_57	<IC_SMGC>泰坦
MSG_MAGIC_NAME_58	<IC_SMGC>霧龍
MSG_MAGIC_NAME_59	<IC_SMGC>風精靈
MSG_MAGIC_NAME_60	<IC_SMGC>奧汀
MSG_MAGIC_NAME_61	<IC_SMGC>利維坦
MSG_MAGIC_NAME_62	<IC_SMGC>阿修羅
MSG_MAGIC_NAME_63	<IC_SMGC>巴哈姆特
MSG_MAGIC_NAME_64	<IC_BMGC>小型隕石
MSG_MAGIC_NAME_65	<IC_BMGC>小型核爆
MSG_MAGIC_NAME_66	火遁
MSG_MAGIC_NAME_67	水遁
MSG_MAGIC_NAME_68	雷迅
MSG_MAGIC_NAME_69	煙霧彈
MSG_MAGIC_NAME_70	影縛
MSG_MAGIC_NAME_71	分身
MSG_MAGIC_NAME_72	魔法箭
MSG_MAGIC_NAME_73	治癒
MSG_MAGIC_NAME_74	醫治
MSG_MAGIC_NAME_75	解毒
MSG_MAGIC_NAME_76	舞者匕首
MSG_MAGIC_NAME_77	妖精拳
MSG_MAGIC_NAME_78	自爆
MSG_MAGIC_NAME_79	石化吐息
MSG_MAGIC_NAME_80	精神衝擊
MSG_MAGIC_NAME_81	陸行鳥踢
MSG_MAGIC_NAME_82	鑽石星塵
MSG_MAGIC_NAME_83	制裁之雷
MSG_MAGIC_NAME_84	地獄火焰
MSG_MAGIC_NAME_85	大地之怒
MSG_MAGIC_NAME_86	迷霧吐息
MSG_MAGIC_NAME_87	風之細語
MSG_MAGIC_NAME_88	斬鐵劍
MSG_MAGIC_NAME_89	海嘯
MSG_MAGIC_NAME_90	阿修羅
MSG_MAGIC_NAME_91	百萬核爆
MSG_MON_ATK_01	視線
MSG_MON_ATK_02	衝擊波
MSG_MON_ATK_03	打耳光
MSG_MON_ATK_04	燐粉
MSG_MON_ATK_05	魅惑之瞳
MSG_MON_ATK_06	誘惑
MSG_MON_ATK_07	舌擊
MSG_MON_ATK_08	詛咒
MSG_MON_ATK_09	指尖射線
MSG_MON_ATK_10	死亡宣告
MSG_MON_ATK_11	鳥喙
MSG_MON_ATK_12	石化凝視
MSG_MON_ATK_13	精神衝擊
MSG_MON_ATK_14	擁抱
MSG_MON_ATK_15	臭氣
MSG_MON_ATK_16	耳語
MSG_MON_ATK_17	纏繞
MSG_MON_ATK_18	旋流
MSG_MON_ATK_19	次元扭轉
MSG_MON_ATK_20	冷霧
MSG_MON_ATK_21	大爆炸
MSG_MON_ATK_22	詛咒之歌
MSG_MON_ATK_23	咒縛寒氣
MSG_MON_ATK_24	睡眠瓦斯
MSG_MON_ATK_25	毒瓦斯
MSG_MON_ATK_26	穿射鐳射
MSG_MON_ATK_27	黑牙
MSG_MON_ATK_28	黑洞
MSG_MON_ATK_29	公主之歌
MSG_MON_ATK_30	九次元空間
MSG_MON_ATK_31	大漩渦
MSG_MON_ATK_32	電磁場
MSG_MON_ATK_33	連鎖爆炸
MSG_MON_ATK_34	孵化
MSG_MON_ATK_35	恢復
MSG_MON_ATK_36	吸收
MSG_MON_ATK_37	治療
MSG_MON_ATK_38	大爆炸
MSG_MON_ATK_39	吸血
MSG_MON_ATK_40	消化液
MSG_MON_ATK_41	花粉
MSG_MON_ATK_42	壓殺
MSG_MON_ATK_43	警報
MSG_MON_ATK_44	召喚
MSG_MON_ATK_45	鎖定目標
MSG_MON_ATK_46	核爆發
MSG_MON_ATK_47	撤退
MSG_MON_ATK_48	射線
MSG_MON_ATK_49	重壓１９９
MSG_MON_ATK_50	火遁
MSG_MON_ATK_51	冰焰
MSG_MON_ATK_52	雷迅
MSG_MON_ATK_53	天雷
MSG_MON_ATK_54	黑暗吐息
MSG_MON_ATK_55	大海浪
MSG_MON_ATK_56	吹雪
MSG_MON_ATK_57	海嘯
MSG_MON_ATK_58	龍捲風
MSG_MON_ATK_59	激光
MSG_MON_ATK_60	自爆
MSG_MON_ATK_61	地震
MSG_MON_ATK_62	火焰放射
MSG_MON_ATK_63	熱射線
MSG_MON_ATK_64	火焰流
MSG_MON_ATK_65	斬鐵劍
MSG_MON_ATK_66	百萬核爆
MSG_MON_ATK_67	針刺
MSG_MON_ATK_68	反擊之角
MSG_MON_ATK_69	再生
MSG_MON_ATK_71	雙重隕石
MSG_MAG_INF_01	進入麻痹狀態
MSG_MAG_INF_02	進入沉默狀態
MSG_MAG_INF_03	進入混亂狀態
MSG_MAG_INF_04	製造迷惑敵人視線的分身
MSG_MAG_INF_05	張開提高防禦力的魔法屏障
MSG_MAG_INF_06	張開提高魔法防禦力的魔法屏障
MSG_MAG_INF_07	減慢時間流逝
MSG_MAG_INF_08	加快時間流逝
MSG_MAG_INF_09	進入狂戰士狀態
MSG_MAG_INF_10	製造可以反彈魔法的屏障
MSG_MAG_INF_11	聖屬性的攻擊魔法
MSG_MAG_INF_12	解除身上的魔法效果
MSG_MAG_INF_13	調查ＨＰ／ＭＰ及弱點
MSG_MAG_INF_14	恢復ＨＰ
MSG_MAG_INF_15	恢復ＨＰ
MSG_MAG_INF_16	恢復ＨＰ
MSG_MAG_INF_17	恢復ＨＰ
MSG_MAG_INF_18	解除無法戰鬥之外的所有異常狀態
MSG_MAG_INF_19	從無法戰鬥狀態中復活
MSG_MAG_INF_20	從無法戰鬥狀態中復活並恢復所有ＨＰ
MSG_MAG_INF_21	進入小人狀態或恢復原樣
MSG_MAG_INF_22	從迷宮或戰鬥中脫離
MSG_MAG_INF_23	查看地圖詳情
MSG_MAG_INF_24	進入漂浮狀態
MSG_MAG_INF_25	進入青蛙狀態或恢復原樣
MSG_MAG_INF_26	進入豬狀態或恢復原樣
MSG_MAG_INF_27	返回上一層迷宮
MSG_MAG_INF_28	進入中毒狀態
MSG_MAG_INF_29	發出火屬性攻擊
MSG_MAG_INF_30	發出火屬性攻擊
MSG_MAG_INF_31	發出火屬性攻擊
MSG_MAG_INF_32	發出冰屬性攻擊
MSG_MAG_INF_33	發出冰屬性攻擊
MSG_MAG_INF_34	發出冰屬性攻擊
MSG_MAG_INF_35	發出雷屬性攻擊
MSG_MAG_INF_36	發出雷屬性攻擊
MSG_MAG_INF_37	發出雷屬性攻擊
MSG_MAG_INF_38	發出細菌攻擊，給予失血傷害
MSG_MAG_INF_39	發出龍捲風攻擊，令敵人陷入瀕死狀態
MSG_MAG_INF_40	引發地震對全體敵人進行攻擊
MSG_MAG_INF_41	進入睡眠狀態
MSG_MAG_INF_42	進入石化狀態
MSG_MAG_INF_43	停止目標的生命活動，使其陷入無法戰鬥狀態
MSG_MAG_INF_44	停止時間的流逝，令目標無法行動
MSG_MAG_INF_45	吸收ＨＰ
MSG_MAG_INF_46	吸收ＭＰ
MSG_MAG_INF_47	召喚隕石對全體敵人進行攻擊
MSG_MAG_INF_48	引起核爆炸進行攻擊
MSG_MAG_INF_49	釋放妖精拳\n攻擊單體敵人
MSG_MAG_INF_50	釋放自爆\n對單體敵人造成與當前ＨＰ對應的傷害
MSG_MAG_INF_51	釋放石化吐息\n令單體敵人進入石化狀態
MSG_MAG_INF_52	釋放精神衝擊\n對單體敵人施加失血效果，使其進入麻痹狀態
MSG_MAG_INF_53	釋放陸行鳥踢\n攻擊單體敵人
MSG_MAG_INF_54	釋放鑽石星塵\n對全體敵人發動冰屬性攻擊
MSG_MAG_INF_55	釋放制裁之雷\n對全體敵人發動雷屬性攻擊
MSG_MAG_INF_56	釋放地獄火焰\n對全體敵人發動火屬性攻擊
MSG_MAG_INF_57	釋放大地之怒\n引發地震對全體敵人進行攻擊
MSG_MAG_INF_58	釋放迷霧吐息\n對全體敵人造成與當前ＨＰ對應的傷害
MSG_MAG_INF_59	釋放風之細語\n吸收單體敵人的ＨＰ並恢復我方全體成員的ＨＰ
MSG_MAG_INF_60	釋放斬鐵劍\n對全體敵人進行致死一擊
MSG_MAG_INF_61	釋放海嘯\n給與全體敵人巨大傷害
MSG_MAG_INF_62	發動齊療傷、物防護、復活中的任意一個
MSG_MAG_INF_63	釋放百萬核爆\n使全體敵人遭到高熱能量的巨大傷害
MSG_MAG_INF_64	引發大火攻擊全體敵人
MSG_MAG_INF_65	引發大浪攻擊全體敵人
MSG_MAG_INF_66	引發落雷攻擊全體敵人
MSG_MAG_INF_67	扔出煙霧彈干擾敵人視線並從戰鬥中逃脫
MSG_MAG_INF_68	限制敵人的行動
MSG_MAG_INF_69	對自己製造迷惑敵人視線的分身
MSG_WEAPON_NAME_01	<IC_CLW>烈焰爪
MSG_WEAPON_NAME_02	<IC_CLW>寒冰爪
MSG_WEAPON_NAME_03	<IC_CLW>閃雷爪
MSG_WEAPON_NAME_04	<IC_CLW>妖精爪
MSG_WEAPON_NAME_05	<IC_CLW>地獄爪
MSG_WEAPON_NAME_06	<IC_CLW>貓爪
MSG_WEAPON_NAME_07	<IC_ROD>魔棒
MSG_WEAPON_NAME_08	<IC_ROD>玄冰棒
MSG_WEAPON_NAME_09	<IC_ROD>火焰棒
MSG_WEAPON_NAME_10	<IC_ROD>閃雷棒
MSG_WEAPON_NAME_11	<IC_ROD>變化棒
MSG_WEAPON_NAME_12	<IC_ROD>妖精棒
MSG_WEAPON_NAME_13	<IC_ROD>星塵棒
MSG_WEAPON_NAME_14	<IC_ROD>莉莉絲棒
MSG_WEAPON_NAME_15	<IC_WND>手杖
MSG_WEAPON_NAME_16	<IC_WND>治癒之杖
MSG_WEAPON_NAME_17	<IC_WND>秘銀杖
MSG_WEAPON_NAME_18	<IC_WND>力量之杖
MSG_WEAPON_NAME_19	<IC_WND>波動之杖
MSG_WEAPON_NAME_20	<IC_WND>賢者之杖
MSG_WEAPON_NAME_21	<IC_WND>符文之杖
MSG_WEAPON_NAME_22	<IC_DSRD>暗黑劍
MSG_WEAPON_NAME_23	<IC_DSRD>暗影劍
MSG_WEAPON_NAME_24	<IC_DSRD>死亡使者
MSG_WEAPON_NAME_25	<IC_NSRD>傳說之劍
MSG_WEAPON_NAME_26	<IC_NSRD>光之劍
MSG_WEAPON_NAME_27	<IC_NSRD>石中劍
MSG_WEAPON_NAME_28	<IC_NSRD>諸神黃昏
MSG_WEAPON_NAME_29	<IC_SRD>火焰劍
MSG_WEAPON_NAME_30	<IC_SRD>冰印劍
MSG_WEAPON_NAME_31	<IC_SRD>守護者
MSG_WEAPON_NAME_32	<IC_SRD>嗜血劍
MSG_WEAPON_NAME_33	<IC_SRD>古代劍
MSG_WEAPON_NAME_34	<IC_SRD>沉睡之劍
MSG_WEAPON_NAME_35	<IC_SRD>石化劍
MSG_WEAPON_NAME_36	<IC_SRD>秘銀劍
MSG_WEAPON_NAME_37	<IC_SRD>復仇者
MSG_WEAPON_NAME_38	<IC_SPR>長槍
MSG_WEAPON_NAME_39	<IC_SPR>疾風槍
MSG_WEAPON_NAME_40	<IC_SPR>火尖槍
MSG_WEAPON_NAME_41	<IC_SPR>玄冰槍
MSG_WEAPON_NAME_42	<IC_SPR>飛龍之槍
MSG_WEAPON_NAME_43	<IC_SPR>神聖槍
MSG_WEAPON_NAME_44	<IC_SPR>嗜血槍
MSG_WEAPON_NAME_45	<IC_SPR>奧汀神槍
MSG_WEAPON_NAME_46	<IC_KTN>苦無
MSG_WEAPON_NAME_47	<IC_KTN>阿修羅
MSG_WEAPON_NAME_48	<IC_KTN>虎徹
MSG_WEAPON_NAME_49	<IC_KTN>菊一文字
MSG_WEAPON_NAME_50	<IC_KTN>村雨
MSG_WEAPON_NAME_51	<IC_KTN>正宗
MSG_WEAPON_NAME_52	<IC_NIF>封魔之刃
MSG_WEAPON_NAME_53	<IC_NIF>秘銀匕首
MSG_WEAPON_NAME_54	<IC_NIF>舞者匕首
MSG_WEAPON_NAME_55	<IC_NIF>菜刀
MSG_WEAPON_NAME_56	<IC_WHP>長鞭
MSG_WEAPON_NAME_57	<IC_WHP>鎖鏈鞭
MSG_WEAPON_NAME_58	<IC_WHP>電擊鞭
MSG_WEAPON_NAME_59	<IC_WHP>烈焰鞭
MSG_WEAPON_NAME_60	<IC_WHP>龍鬚
MSG_WEAPON_NAME_61	<IC_AX>矮人之斧
MSG_WEAPON_NAME_62	<IC_AX>屠魔斧
MSG_WEAPON_NAME_63	<IC_AX>淬毒斧
MSG_WEAPON_NAME_64	<IC_AX>符文斧
MSG_WEAPON_NAME_65	<IC_SRK>手裏劍
MSG_WEAPON_NAME_66	<IC_SRK>風魔手裏劍
MSG_WEAPON_NAME_67	<IC_TRW>迴力鏢
MSG_WEAPON_NAME_68	<IC_TRW>圓月輪
MSG_WEAPON_NAME_69	<IC_HRP>美夢豎琴
MSG_WEAPON_NAME_70	<IC_HRP>拉米亞豎琴
MSG_WEAPON_NAME_71	<IC_HMR>木槌
MSG_WEAPON_NAME_72	<IC_HMR>秘銀鎚
MSG_WEAPON_NAME_73	<IC_HMR>大地之鎚
MSG_WEAPON_NAME_74	<IC_BOW>短弓
MSG_WEAPON_NAME_75	<IC_BOW>十字弓
MSG_WEAPON_NAME_76	<IC_BOW>強弓
MSG_WEAPON_NAME_77	<IC_BOW>殺手弓
MSG_WEAPON_NAME_78	<IC_BOW>精靈弓
MSG_WEAPON_NAME_79	<IC_BOW>與一之弓
MSG_WEAPON_NAME_80	<IC_BOW>狩神弓
MSG_WEAPON_NAME_81	<IC_ARW>鐵箭
MSG_WEAPON_NAME_82	<IC_ARW>聖箭
MSG_WEAPON_NAME_83	<IC_ARW>烈火箭
MSG_WEAPON_NAME_84	<IC_ARW>寒冰箭
MSG_WEAPON_NAME_85	<IC_ARW>閃雷箭
MSG_WEAPON_NAME_86	<IC_ARW>黑暗箭
MSG_WEAPON_NAME_87	<IC_ARW>毒箭
MSG_WEAPON_NAME_88	<IC_ARW>失語箭
MSG_WEAPON_NAME_89	<IC_ARW>天使之箭
MSG_WEAPON_NAME_90	<IC_ARW>與一之箭
MSG_WEAPON_NAME_91	<IC_ARW>梅杜莎之箭
MSG_WEAPON_NAME_92	<IC_ARW>月神之箭
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>鐵盾
MSG_ARMOR_NAME_02	<IC_SHIELD>暗黑盾
MSG_ARMOR_NAME_03	<IC_SHIELD>惡魔之盾
MSG_ARMOR_NAME_04	<IC_SHIELD>光之盾
MSG_ARMOR_NAME_05	<IC_SHIELD>秘銀盾
MSG_ARMOR_NAME_06	<IC_SHIELD>烈焰盾
MSG_ARMOR_NAME_07	<IC_SHIELD>寒冰盾
MSG_ARMOR_NAME_08	<IC_SHIELD>鑽石盾
MSG_ARMOR_NAME_09	<IC_SHIELD>聖盾
MSG_ARMOR_NAME_10	<IC_SHIELD>源氏之盾
MSG_ARMOR_NAME_11	<IC_SHIELD>龍盾
MSG_ARMOR_NAME_12	<IC_SHIELD>水晶盾
MSG_ARMOR_NAME_13	<IC_HEAD>鐵盔
MSG_ARMOR_NAME_14	<IC_HEAD>暗黑頭盔
MSG_ARMOR_NAME_15	<IC_HEAD>冥王頭盔
MSG_ARMOR_NAME_16	<IC_HEAD>惡魔頭盔
MSG_ARMOR_NAME_17	<IC_HEAD>光之頭盔
MSG_ARMOR_NAME_18	<IC_HEAD>秘銀頭盔
MSG_ARMOR_NAME_19	<IC_HEAD>鑽石頭盔
MSG_ARMOR_NAME_20	<IC_HEAD>源氏之盔
MSG_ARMOR_NAME_21	<IC_HEAD>龍盔
MSG_ARMOR_NAME_22	<IC_HEAD>水晶盔
MSG_ARMOR_NAME_23	<IC_HEAD>皮帽
MSG_ARMOR_NAME_24	<IC_HEAD>羽飾帽子
MSG_ARMOR_NAME_25	<IC_HEAD>三角帽子
MSG_ARMOR_NAME_26	<IC_HEAD>祭司帽子
MSG_ARMOR_NAME_27	<IC_HEAD>黃金髮飾
MSG_ARMOR_NAME_28	<IC_HEAD>緞帶
MSG_ARMOR_NAME_29	<IC_HEAD>纏頭帶
MSG_ARMOR_NAME_30	<IC_HEAD>綠色貝雷帽
MSG_ARMOR_NAME_31	<IC_HEAD>黑頭巾
MSG_ARMOR_NAME_32	<IC_HEAD>玻璃面具
MSG_ARMOR_NAME_33	<IC_ARMOR>鐵鎧
MSG_ARMOR_NAME_34	<IC_ARMOR>暗黑鎧
MSG_ARMOR_NAME_35	<IC_ARMOR>冥王鎧
MSG_ARMOR_NAME_36	<IC_ARMOR>惡魔之鎧
MSG_ARMOR_NAME_37	<IC_ARMOR>騎士鎧
MSG_ARMOR_NAME_38	<IC_ARMOR>秘銀鎧
MSG_ARMOR_NAME_39	<IC_ARMOR>烈焰甲
MSG_ARMOR_NAME_40	<IC_ARMOR>寒冰鎧
MSG_ARMOR_NAME_41	<IC_ARMOR>鑽石鎧
MSG_ARMOR_NAME_42	<IC_ARMOR>源氏之鎧
MSG_ARMOR_NAME_43	<IC_ARMOR>龍甲
MSG_ARMOR_NAME_44	<IC_ARMOR>水晶鎧
MSG_ARMOR_NAME_45	<IC_CLTH>布衣
MSG_ARMOR_NAME_46	<IC_CLTH>皮衣
MSG_ARMOR_NAME_47	<IC_CLTH>大地之衣
MSG_ARMOR_NAME_48	<IC_CLTH>祭司法袍
MSG_ARMOR_NAME_49	<IC_CLTH>黑法袍
MSG_ARMOR_NAME_50	<IC_CLTH>光之法袍
MSG_ARMOR_NAME_51	<IC_CLTH>白法袍
MSG_ARMOR_NAME_52	<IC_CLTH>力量束衣帶
MSG_ARMOR_NAME_53	<IC_CLTH>戰女神胸衣
MSG_ARMOR_NAME_54	<IC_CLTH>囚服
MSG_ARMOR_NAME_55	<IC_CLTH>詩人短袍
MSG_ARMOR_NAME_56	<IC_CLTH>功夫裝
MSG_ARMOR_NAME_57	<IC_CLTH>黑帶裝
MSG_ARMOR_NAME_58	<IC_ARMOR>堅鋼鎧
MSG_ARMOR_NAME_59	<IC_CLTH>黑裝束
MSG_ARMOR_NAME_60	<IC_GLOV>鐵護手
MSG_ARMOR_NAME_61	<IC_GLOV>暗黑護手
MSG_ARMOR_NAME_62	<IC_GLOV>冥王護手
MSG_ARMOR_NAME_63	<IC_GLOV>惡魔護手
MSG_ARMOR_NAME_64	<IC_GLOV>臂甲
MSG_ARMOR_NAME_65	<IC_GLOV>秘銀護手
MSG_ARMOR_NAME_66	<IC_GLOV>鑽石護手
MSG_ARMOR_NAME_67	<IC_GLOV>巨人護手
MSG_ARMOR_NAME_68	<IC_GLOV>源氏之護手
MSG_ARMOR_NAME_69	<IC_GLOV>龍護手
MSG_ARMOR_NAME_70	<IC_GLOV>水晶護手
MSG_ARMOR_NAME_71	<IC_GLOV>鐵手鐲
MSG_ARMOR_NAME_72	<IC_GLOV>紅寶石戒指
MSG_ARMOR_NAME_73	<IC_GLOV>銀手鐲
MSG_ARMOR_NAME_74	<IC_GLOV>力量護臂
MSG_ARMOR_NAME_75	<IC_GLOV>符文手鐲
MSG_ARMOR_NAME_76	<IC_GLOV>水晶指環
MSG_ARMOR_NAME_77	<IC_GLOV>鑽石手鐲
MSG_ARMOR_NAME_78	<IC_GLOV>守護戒指
MSG_ARMOR_NAME_79	<IC_GLOV>詛咒戒指
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
MSG_ARMOR_NAME_100	<IC_HEAD>Red Cap
MSG_ARMOR_NAME_101	<IC_HEAD>Rabbit-Ear Hood
MSG_ARMOR_NAME_102	<IC_HEAD>Augustine Tiara
MSG_ARMOR_NAME_103	<IC_HEAD>Star of Kami Kazari
MSG_ARMOR_NAME_104	<IC_HEAD>Royal Crown
MSG_ARMOR_NAME_105	<IC_HEAD>Dual Mask
MSG_ARMOR_NAME_106	<IC_HEAD>Demon Hat
MSG_ARMOR_NAME_107	<IC_HEAD>Philosopher's Hat
MSG_ARMOR_NAME_108	<IC_HEAD>Grand Helm
MSG_ARMOR_NAME_109	<IC_HEAD>Caesar Helm
MSG_ARMOR_NAME_110	<IC_HEAD>Dragoon Helm
MSG_ARMOR_NAME_111	<IC_HEAD>Edge Demon Helm
MSG_ARMOR_NAME_112	<IC_HEAD>Safety Met
MSG_ARMOR_NAME_113	<IC_ARMOR>Erdrick's Armor
MSG_ARMOR_NAME_114	<IC_SHIELD>Silver Shield
