MSG_CHAR_NAME_01	เซซิล
MSG_MAGIC_NAME_14	<IC_WMGC>รักษา
MSG_MAGIC_NAME_15	<IC_WMGC>คูรา
MSG_MAGIC_NAME_16	<IC_WMGC>คูรากา
MSG_MAGIC_NAME_17	<IC_WMGC>คูราจา
MSG_MAGIC_NAME_18	<IC_WMGC>เอซูนา
MSG_MAGIC_NAME_19	<IC_WMGC>ยกขึ้น
MSG_MAGIC_NAME_20	<IC_WMGC>สูงขึ้น
MSG_MAGIC_NAME_21	<IC_WMGC>มินิ
MSG_MAGIC_NAME_22	<IC_WMGC>เทเลพอร์ต
MSG_MAGIC_NAME_23	<IC_WMGC>ไซท์
MSG_MAGIC_NAME_24	<IC_WMGC>ลอย
MSG_MAGIC_NAME_25	<IC_BMGC>คางคก
MSG_MAGIC_NAME_26	<IC_BMGC>หมู
MSG_MAGIC_NAME_27	<IC_BMGC>วาร์ป
MSG_MAGIC_NAME_28	<IC_BMGC>พิษ
MSG_MAGIC_NAME_29	<IC_BMGC>ไฟ
MSG_MAGIC_NAME_30	<IC_BMGC>ไฟรา
MSG_MAGIC_NAME_31	<IC_BMGC>ไฟรากา
MSG_MAGIC_NAME_32	<IC_BMGC>พายุหิมะ
MSG_MAGIC_NAME_33	<IC_BMGC>บลิซซารา
MSG_MAGIC_NAME_34	<IC_BMGC>บลิซซากา
MSG_MAGIC_NAME_35	<IC_BMGC>สายฟ้า
MSG_MAGIC_NAME_36	<IC_BMGC>ธันดารา
MSG_MAGIC_NAME_37	<IC_BMGC>ธันดากา
MSG_MAGIC_NAME_38	<IC_BMGC>ไบโอ
MSG_MAGIC_NAME_39	<IC_BMGC>พายุหมุน
MSG_MAGIC_NAME_40	<IC_BMGC>แผ่นดินไหว
MSG_MAGIC_NAME_41	<IC_BMGC>นอนหลับ
MSG_MAGIC_NAME_42	<IC_BMGC>เบรค
MSG_MAGIC_NAME_43	<IC_BMGC>เดธ
MSG_MAGIC_NAME_44	<IC_BMGC>หยุด
MSG_MAGIC_NAME_45	<IC_BMGC>เดรน
MSG_MAGIC_NAME_46	<IC_BMGC>ออสโมส
MSG_MAGIC_NAME_47	<IC_BMGC>ดาวตก
MSG_MAGIC_NAME_48	<IC_BMGC>ปะทุ
MSG_MAGIC_NAME_49	<IC_SMGC>ก็อบลิน
MSG_MAGIC_NAME_50	<IC_SMGC>ระเบิด
MSG_MAGIC_NAME_51	<IC_SMGC>คอกกะทริซ
MSG_MAGIC_NAME_52	<IC_SMGC>มายด์เฟลเยอร์
MSG_MAGIC_NAME_53	<IC_SMGC>โชโคโบะ
MSG_MAGIC_NAME_54	<IC_SMGC>ชีวา
MSG_MAGIC_NAME_55	<IC_SMGC>รามู
MSG_MAGIC_NAME_56	<IC_SMGC>อิฟริท
MSG_MAGIC_NAME_57	<IC_SMGC>ไททัน
MSG_MAGIC_NAME_58	<IC_SMGC>มังกรหมอก
MSG_MAGIC_NAME_59	<IC_SMGC>ซิลฟ์
MSG_MAGIC_NAME_60	<IC_SMGC>โอดิน
MSG_MAGIC_NAME_61	<IC_SMGC>เลวีอาธาน
MSG_MAGIC_NAME_62	<IC_SMGC>อสุรา
MSG_MAGIC_NAME_63	<IC_SMGC>บาฮามุต
MSG_MAGIC_NAME_64	<IC_BMGC>ดาวหาง
MSG_MAGIC_NAME_65	<IC_BMGC>ไฟ
MSG_MAGIC_NAME_66	เปลวไฟ
MSG_MAGIC_NAME_67	น้ำท่วม
MSG_MAGIC_NAME_68	จู่โจมอย่างรวดเร็ว
MSG_MAGIC_NAME_69	ควัน
MSG_MAGIC_NAME_70	ตรึง
MSG_MAGIC_NAME_71	ภาพลวงตา
MSG_MAGIC_NAME_72	ธนูเวท
MSG_MAGIC_NAME_73	รักษา
MSG_MAGIC_NAME_74	บาซูนา
MSG_MAGIC_NAME_75	พอยโซนา
MSG_MAGIC_NAME_76	กริชนักเต้น
MSG_MAGIC_NAME_77	หมัดก็อบลิน
MSG_MAGIC_NAME_78	ทำลายตัวเอง
MSG_MAGIC_NAME_79	ปากนกที่ทำให้เป็นหิน
MSG_MAGIC_NAME_80	มายด์บลาสต์
MSG_MAGIC_NAME_81	ลูกเตะโชโคโบะ
MSG_MAGIC_NAME_82	ไดมอนด์ดัสต์
MSG_MAGIC_NAME_83	สายฟ้าแห่งการพิพากษา
MSG_MAGIC_NAME_84	ไฟอเวจี
MSG_MAGIC_NAME_85	ความโกรธเกรี้ยวของไกอา
MSG_MAGIC_NAME_86	ลมหายใจหมอก
MSG_MAGIC_NAME_87	สายลมกระซิบ
MSG_MAGIC_NAME_88	ดาบตัดเหล็ก
MSG_MAGIC_NAME_89	ซึนามิ
MSG_MAGIC_NAME_90	อสุรา
MSG_MAGIC_NAME_91	การปะทุใหญ่
MSG_MON_ATK_01	จ้อง
MSG_MON_ATK_02	บลาสเตอร์
MSG_MON_ATK_03	ตบ
MSG_MON_ATK_04	ผงพิษ
MSG_MON_ATK_05	จ้องเขม็ง
MSG_MON_ATK_06	ล่อลวง
MSG_MON_ATK_07	เลีย
MSG_MON_ATK_08	คำสาป
MSG_MON_ATK_09	ปล่อยรังสี
MSG_MON_ATK_10	พิพากษา
MSG_MON_ATK_11	จิก
MSG_MON_ATK_12	จ้องให้เป็นหิน
MSG_MON_ATK_13	มายด์บลาสต์
MSG_MON_ATK_14	กอด
MSG_MON_ATK_15	ลมหายใจกลิ่นแรง
MSG_MON_ATK_16	เฮกซ์
MSG_MON_ATK_17	บีบรัด
MSG_MON_ATK_18	หมุนวน
MSG_MON_ATK_19	การบิดเบือนเวลา
MSG_MON_ATK_20	หมอกเยือกแข็ง
MSG_MON_ATK_21	ระเบิด
MSG_MON_ATK_22	เพลงไว้อาลัยต้องสาป
MSG_MON_ATK_23	ตรึงด้วยน้ำแข็ง
MSG_MON_ATK_24	แก๊สนอนหลับ
MSG_MON_ATK_25	แก๊สพิษ
MSG_MON_ATK_26	เลเซอร์เจาะ
MSG_MON_ATK_27	เขี้ยวดำ
MSG_MON_ATK_28	หลุมดำ
MSG_MON_ATK_29	เต้น
MSG_MON_ATK_30	มิติที่เก้า
MSG_MON_ATK_31	น้ำวน
MSG_MON_ATK_32	คลื่นแม่เหล็กไฟฟ้า
MSG_MON_ATK_33	ปฏิกิริยาลูกโซ่
MSG_MON_ATK_34	ตัวอ่อน
MSG_MON_ATK_35	ฟื้นฟู
MSG_MON_ATK_36	ดูด
MSG_MON_ATK_37	ยาสรรพคุณ
MSG_MON_ATK_38	การระเบิดครั้งใหญ่
MSG_MON_ATK_39	งานเลี้ยงเลือด
MSG_MON_ATK_40	กรดย่อยสลาย
MSG_MON_ATK_41	ละอองเกสร
MSG_MON_ATK_42	บด
MSG_MON_ATK_43	เตือน
MSG_MON_ATK_44	เรียกอสูร
MSG_MON_ATK_45	ค้นหา
MSG_MON_ATK_46	แตกตัว
MSG_MON_ATK_47	ถอย
MSG_MON_ATK_48	ลำแสง
MSG_MON_ATK_49	ลูกโลก 199
MSG_MON_ATK_50	เปลวไฟ
MSG_MON_ATK_51	เปลวไฟ
MSG_MON_ATK_52	ฟ้าผ่า
MSG_MON_ATK_53	ฟ้าแลบ
MSG_MON_ATK_54	ลมหายใจแห่งความมืด
MSG_MON_ATK_55	คลื่นทะเล
MSG_MON_ATK_56	พายุน้ำแข็ง
MSG_MON_ATK_57	ซึนามิ
MSG_MON_ATK_58	พายุหมุน
MSG_MON_ATK_59	เลเซอร์
MSG_MON_ATK_60	ทำลายตัวเอง
MSG_MON_ATK_61	แผ่นดินไหว
MSG_MON_ATK_62	นักขว้างเปลวไฟ
MSG_MON_ATK_63	รังสีความร้อน
MSG_MON_ATK_64	ขุมนรก
MSG_MON_ATK_65	ดาบตัดเหล็ก
MSG_MON_ATK_66	การปะทุใหญ่
MSG_MON_ATK_67	เข็ม
MSG_MON_ATK_68	เขาสัตว์โต้กลับ
MSG_MON_ATK_69	สร้างใหม่
MSG_MON_ATK_71	ดาวตกคู่
MSG_MAG_INF_01	ทำให้เป็นอัมพาต
MSG_MAG_INF_02	ทำให้เป็นใบ้
MSG_MAG_INF_03	ทำให้สับสน
MSG_MAG_INF_04	ทำให้เกิดภาพลวงตาของตัวเราเพื่อหลอกศัตรู
MSG_MAG_INF_05	ลดความเสียหายทางร่างกายที่ได้รับ
MSG_MAG_INF_06	ลดความเสียหายทางเวทที่ได้รับ
MSG_MAG_INF_07	ทำให้เวลาช้าลง
MSG_MAG_INF_08	เร่งให้เวลาเร็วขึ้น
MSG_MAG_INF_09	ทำให้เกิดความบ้าระห่ำ
MSG_MAG_INF_10	สร้างสิ่งกีดขวางที่สะท้อนเวทมนตร์กลับไปหาผู้ร่ายเวท
MSG_MAG_INF_11	สร้างความเสียหายด้วยพลังศักดิ์สิทธิ์
MSG_MAG_INF_12	กำจัดผลกระทบจากเวท
MSG_MAG_INF_13	ตรวจสอบ HP และจุดอ่อนของเป้าหมาย
MSG_MAG_INF_14	ฟื้นฟู HP
MSG_MAG_INF_15	ฟื้นฟู HP
MSG_MAG_INF_16	ฟื้นฟู HP
MSG_MAG_INF_17	ฟื้นฟู HP
MSG_MAG_INF_18	รักษาสถานะไม่ปรกติทั้งหมดยกเว้นน็อกเอาต์
MSG_MAG_INF_19	ช่วยคืนชีพได้หนึ่งคน
MSG_MAG_INF_20	คืนชีพและฟื้นฟู HP เต็มให้กับหนึ่งเป้าหมาย
MSG_MAG_INF_21	หดเป้าหมายให้เล็กลงหรือฟื้นฟูสู่สภาพปกติ
MSG_MAG_INF_22	วาร์ปพาทีมออกไปจากดันเจี้ยนหรือจากการต่อสู้
MSG_MAG_INF_23	แสดงแผนที่โดยละเอียด
MSG_MAG_INF_24	ทำให้เป้าหมายลอยขึ้น
MSG_MAG_INF_25	ทำให้เป้าหมายกลายเป็นคางคกหรือฟื้นฟูสู่สภาพปกติ
MSG_MAG_INF_26	ทำให้เป้าหมายกลายเป็นหมูหรือฟื้นฟูสู่สภาพปกติ
MSG_MAG_INF_27	วาร์ปพาทีมกลับไปยังชั้นที่แล้ว
MSG_MAG_INF_28	ทำให้เป็นพิษ
MSG_MAG_INF_29	สร้างความเสียหายด้วยธาตุไฟ
MSG_MAG_INF_30	สร้างความเสียหายด้วยธาตุไฟ
MSG_MAG_INF_31	สร้างความเสียหายด้วยธาตุไฟ
MSG_MAG_INF_32	สร้างความเสียหายด้วยธาตุน้ำแข็ง
MSG_MAG_INF_33	สร้างความเสียหายด้วยธาตุน้ำแข็ง
MSG_MAG_INF_34	สร้างความเสียหายด้วยธาตุน้ำแข็ง
MSG_MAG_INF_35	สร้างความเสียหายด้วยธาตุสายฟ้า
MSG_MAG_INF_36	สร้างความเสียหายด้วยธาตุสายฟ้า
MSG_MAG_INF_37	สร้างความเสียหายด้วยธาตุสายฟ้า
MSG_MAG_INF_38	ปล่อยไวรัสที่ทำลายสุขภาพ\nเพื่อสร้างความเสียหาย
MSG_MAG_INF_39	สร้างพายุหมุนที่สร้างความเสียหายหนัก
MSG_MAG_INF_40	ทำให้เกิดแผ่นดินไหวที่สร้างความเสียหายแก่ศัตรูทั้งหมด
MSG_MAG_INF_41	ทำให้หลับ
MSG_MAG_INF_42	ทำให้กลายเป็นหิน
MSG_MAG_INF_43	ทำให้ตายทันที
MSG_MAG_INF_44	ทำให้เวลาหยุดหยุดการกระทำของเป้าหมาย
MSG_MAG_INF_45	ดูด HP
MSG_MAG_INF_46	ดูด MP
MSG_MAG_INF_47	เรียกดาวตกที่สร้างความเสียหายแก่ศัตรูทั้งหมดออกมา
MSG_MAG_INF_48	สร้างความเสียหายด้วยการเผา
MSG_MAG_INF_49	ร่ายเวทหมัดก็อบลินที่ใช้โจมตีศัตรูหนึ่งตัว
MSG_MAG_INF_50	ร่ายเวททำลายตัวเองที่สร้างความเสียหายแก่ศัตรูหนึ่งตัวตามค่า HP ของผู้ร่าย
MSG_MAG_INF_51	ร่ายเวทปากนกที่ทำให้เป็นหิน ซึ่งทำให้ศัตรูหหนึ่งตัวกลายเป็นหิน
MSG_MAG_INF_52	ร่ายเวทมายด์บลาสต์ใส่ศัตรูหนึ่งตัวให้เสียสุขภาพและเป็นอัมพาต
MSG_MAG_INF_53	ร่ายเวทลูกเตะโชโคโบะที่ใช้โจมตีศัตรูหนึ่งตัว
MSG_MAG_INF_54	ร่ายเวทไดมอนดัสต์ที่สร้างความเสียหายแก่ศัตรูทั้งหมดด้วยน้ำแข็ง
MSG_MAG_INF_55	ร่ายเวทสายฟ้าแห่งการพิพากษาที่สร้างความเสียหายแก่ศัตรูทั้งหมดด้วยสายฟ้า
MSG_MAG_INF_56	ร่ายเวทไฟอเวจีที่สร้างความเสียหายแก่ศัตรูทั้งหมดด้วยไฟ
MSG_MAG_INF_57	ร่ายเวทความโกรธเกรี้ยวของไกอาซึ่งทำให้เกิดแผ่นดินไหวที่สร้างความเสียหายแก่ศัตรูทั้งหมด
MSG_MAG_INF_58	ร่ายเวทลมหายใจหมอกที่สร้างความเสียหายแก่ศัตรูหนึ่งตัวตามค่า HP ของผู้ร่าย
MSG_MAG_INF_59	ร่ายเวทสายลมกระซิบที่ดูดHP ของศัตรูเพื่อรักษาทีมทั้งหมด
MSG_MAG_INF_60	ร่ายเวทดาบตัดเหล็กที่ทำให้ศัตรูทั้งหมดตายทันที
MSG_MAG_INF_61	ร่ายเวทสึนามิที่สร้างความเสียหายอย่างมากแก่ศัตรูทั้งหมด
MSG_MAG_INF_62	ร่ายคาถาสุ่มจากหนึ่งในสามคาถาคือ คูรากา,ป้องกัน หรือ ชีวิต
MSG_MAG_INF_63	ร่ายคาถาการปะทุใหญ่ที่สร้างความเสียหายอย่างมากแก่ศัตรูทั้งหมดด้วยการระเบิดความร้อน
MSG_MAG_INF_64	โจมตีศัตรูทั้งหมดด้วยไฟ
MSG_MAG_INF_65	โจมตีศัตรูทั้งหมดด้วยสึนามี
MSG_MAG_INF_66	โจมตีศัตรูทั้งหมดด้วยสายฟ้า
MSG_MAG_INF_67	สร้างควันปกคลุมเพื่อช่วยพรรคพวกหนีจากการต่อสู้
MSG_MAG_INF_68	ทำให้เป้าหมายขยับไม่ได้ชั่วคราว ป้องกันไม่ให้เคลื่อนไหวใด ๆ
MSG_MAG_INF_69	สร้างภาพลวงตาของตนเองเพื่อหลอกศัตรู
MSG_WEAPON_NAME_01	<IC_CLW>กรงเล็บแห่งไฟ
MSG_WEAPON_NAME_02	<IC_CLW>กรงเล็บแห่งน้ำแข็ง
MSG_WEAPON_NAME_03	<IC_CLW>กรงเล็บแห่งสายฟ้า
MSG_WEAPON_NAME_04	<IC_CLW>กรงเล็บแห่งแฟรี่
MSG_WEAPON_NAME_05	<IC_CLW>กรงเล็บแห่งนรก
MSG_WEAPON_NAME_06	<IC_CLW>กรงเล็บแมว
MSG_WEAPON_NAME_07	<IC_ROD>คทา
MSG_WEAPON_NAME_08	<IC_ROD>คทาน้ำแข็ง
MSG_WEAPON_NAME_09	<IC_ROD>คทาเปลวไฟ
MSG_WEAPON_NAME_10	<IC_ROD>คทาสายฟ้า
MSG_WEAPON_NAME_11	<IC_ROD>คทาแปลงร่าง
MSG_WEAPON_NAME_12	<IC_ROD>คทาแฟรี่
MSG_WEAPON_NAME_13	<IC_ROD>คทาละอองดาว
MSG_WEAPON_NAME_14	<IC_ROD>คทาลิลิธ
MSG_WEAPON_NAME_15	<IC_WND>ไม้เท้า
MSG_WEAPON_NAME_16	<IC_WND>ไม้เท้ารักษา
MSG_WEAPON_NAME_17	<IC_WND>ไม้เท้ามิธริล
MSG_WEAPON_NAME_18	<IC_WND>ไม้เท้าแห่งพลัง
MSG_WEAPON_NAME_19	<IC_WND>ไม้เท้าไคนีซิส
MSG_WEAPON_NAME_20	<IC_WND>ไม้เท้าของนักปราชญ์
MSG_WEAPON_NAME_21	<IC_WND>ไม้เท้าอักษรรูน
MSG_WEAPON_NAME_22	<IC_DSRD>ดาบแห่งความมืด
MSG_WEAPON_NAME_23	<IC_DSRD>ดาบแห่งเงา
MSG_WEAPON_NAME_24	<IC_DSRD>เดธบริงเกอร์
MSG_WEAPON_NAME_25	<IC_NSRD>ดาบในตำนาน
MSG_WEAPON_NAME_26	<IC_NSRD>ดาบสายฟ้า
MSG_WEAPON_NAME_27	<IC_NSRD>เอ็กซ์คาลิเบอร์
MSG_WEAPON_NAME_28	<IC_NSRD>แร็กนาร็อก
MSG_WEAPON_NAME_29	<IC_SRD>ดาบเปลวไฟ
MSG_WEAPON_NAME_30	<IC_SRD>ดาบน้ำแข็ง
MSG_WEAPON_NAME_31	<IC_SRD>ผู้พิทักษ์
MSG_WEAPON_NAME_32	<IC_SRD>ดาบเลือด
MSG_WEAPON_NAME_33	<IC_SRD>ดาบโบราณ
MSG_WEAPON_NAME_34	<IC_SRD>ดาบหลับใหล
MSG_WEAPON_NAME_35	<IC_SRD>ดาบกอร์กอน
MSG_WEAPON_NAME_36	<IC_SRD>ดาบมิธริล
MSG_WEAPON_NAME_37	<IC_SRD>ผู้ล้างแค้น
MSG_WEAPON_NAME_38	<IC_SPR>หอก
MSG_WEAPON_NAME_39	<IC_SPR>หอกลม
MSG_WEAPON_NAME_40	<IC_SPR>ทวนไฟ
MSG_WEAPON_NAME_41	<IC_SPR>ทวนน้ำแข็ง
MSG_WEAPON_NAME_42	<IC_SPR>ทวนไวเวิร์น
MSG_WEAPON_NAME_43	<IC_SPR>ทวนศักดิ์สิทธิ์
MSG_WEAPON_NAME_44	<IC_SPR>ทวนเลือด
MSG_WEAPON_NAME_45	<IC_SPR>กุงเนียร์
MSG_WEAPON_NAME_46	<IC_KTN>มีดบิน
MSG_WEAPON_NAME_47	<IC_KTN>อาชูรา
MSG_WEAPON_NAME_48	<IC_KTN>นักตีดาบ
MSG_WEAPON_NAME_49	<IC_KTN>คิคุชิมนจิ
MSG_WEAPON_NAME_50	<IC_KTN>มุราซาเมะ
MSG_WEAPON_NAME_51	<IC_KTN>มาซามุเนะ
MSG_WEAPON_NAME_52	<IC_NIF>เมจมาเชอร์
MSG_WEAPON_NAME_53	<IC_NIF>มีดมิธริล
MSG_WEAPON_NAME_54	<IC_NIF>กริชนักเต้น
MSG_WEAPON_NAME_55	<IC_NIF>มีด
MSG_WEAPON_NAME_56	<IC_WHP>แส้
MSG_WEAPON_NAME_57	<IC_WHP>แส้โซ่
MSG_WEAPON_NAME_58	<IC_WHP>แส้ที่โจมตีอย่างรวดเร็ว
MSG_WEAPON_NAME_59	<IC_WHP>แส้เปลวไฟ
MSG_WEAPON_NAME_60	<IC_WHP>หนวดมังกร
MSG_WEAPON_NAME_61	<IC_AX>ขวานคนแคระ
MSG_WEAPON_NAME_62	<IC_AX>อาวุธฆ่าออร์ก
MSG_WEAPON_NAME_63	<IC_AX>ขวานอาบพิษ
MSG_WEAPON_NAME_64	<IC_AX>ขวานอักษรรูน
MSG_WEAPON_NAME_65	<IC_SRK>ดาวกระจาย
MSG_WEAPON_NAME_66	<IC_SRK>ดาวกระจายใบพัด
MSG_WEAPON_NAME_67	<IC_TRW>บูมเมอแรง
MSG_WEAPON_NAME_68	<IC_TRW>ดาบวงแหวนจันทรา
MSG_WEAPON_NAME_69	<IC_HRP>พิณแห่งความฝัน
MSG_WEAPON_NAME_70	<IC_HRP>พิณของลาเมีย
MSG_WEAPON_NAME_71	<IC_HMR>ค้อนไม้
MSG_WEAPON_NAME_72	<IC_HMR>ค้อนมิธริล
MSG_WEAPON_NAME_73	<IC_HMR>ค้อนไกอา
MSG_WEAPON_NAME_74	<IC_BOW>คันธนู
MSG_WEAPON_NAME_75	<IC_BOW>หน้าไม้
MSG_WEAPON_NAME_76	<IC_BOW>คันธนูชั้นยอด
MSG_WEAPON_NAME_77	<IC_BOW>คันธนูนักฆ่า
MSG_WEAPON_NAME_78	<IC_BOW>คันธนูเอลฟ์
MSG_WEAPON_NAME_79	<IC_BOW>คันธนูของโยอิจิ
MSG_WEAPON_NAME_80	<IC_BOW>คันธนูของอาร์ทิมิส
MSG_WEAPON_NAME_81	<IC_ARW>ธนูเหล็ก
MSG_WEAPON_NAME_82	<IC_ARW>ธนูศักดิ์สิทธิ์
MSG_WEAPON_NAME_83	<IC_ARW>ธนูไฟ
MSG_WEAPON_NAME_84	<IC_ARW>ธนูน้ำแข็ง
MSG_WEAPON_NAME_85	<IC_ARW>ธนูสายฟ้า
MSG_WEAPON_NAME_86	<IC_ARW>ธนูทำให้ตาบอด
MSG_WEAPON_NAME_87	<IC_ARW>ธนูอาบยาพิษ
MSG_WEAPON_NAME_88	<IC_ARW>ธนูทำให้เงียบเสียง
MSG_WEAPON_NAME_89	<IC_ARW>ธนูเทพธิดา
MSG_WEAPON_NAME_90	<IC_ARW>ธนูโยอิจิ
MSG_WEAPON_NAME_91	<IC_ARW>ธนูเมดูซ่า
MSG_WEAPON_NAME_92	<IC_ARW>ธนูอาร์ทิมิส
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>โล่เหล็ก
MSG_ARMOR_NAME_02	<IC_SHIELD>โล่แห่งความมืด
MSG_ARMOR_NAME_03	<IC_SHIELD>โล่ปีศาจ
MSG_ARMOR_NAME_04	<IC_SHIELD>โล่แห่งแสง
MSG_ARMOR_NAME_05	<IC_SHIELD>โล่มิธริล
MSG_ARMOR_NAME_06	<IC_SHIELD>โล่เปลวไฟ
MSG_ARMOR_NAME_07	<IC_SHIELD>โล่น้ำแข็ง
MSG_ARMOR_NAME_08	<IC_SHIELD>โล่เพชร
MSG_ARMOR_NAME_09	<IC_SHIELD>โล่ป้องกัน
MSG_ARMOR_NAME_10	<IC_SHIELD>โล่เกนจิ
MSG_ARMOR_NAME_11	<IC_SHIELD>โล่มังกร
MSG_ARMOR_NAME_12	<IC_SHIELD>โล่คริสตัล
MSG_ARMOR_NAME_13	<IC_HEAD>หมวกเหล็ก
MSG_ARMOR_NAME_14	<IC_HEAD>หมวกแห่งความมืด
MSG_ARMOR_NAME_15	<IC_HEAD>หมวกพญายม
MSG_ARMOR_NAME_16	<IC_HEAD>หมวกปีศาจ
MSG_ARMOR_NAME_17	<IC_HEAD>หมวกแห่งแสง
MSG_ARMOR_NAME_18	<IC_HEAD>หมวกมิธริล
MSG_ARMOR_NAME_19	<IC_HEAD>หมวกเพชร
MSG_ARMOR_NAME_20	<IC_HEAD>หมวกเกนจิ
MSG_ARMOR_NAME_21	<IC_HEAD>หมวกมังกร
MSG_ARMOR_NAME_22	<IC_HEAD>หมวกคริสตัล
MSG_ARMOR_NAME_23	<IC_HEAD>หมวกหนังสัตว์
MSG_ARMOR_NAME_24	<IC_HEAD>หมวกขนนก
MSG_ARMOR_NAME_25	<IC_HEAD>หมวกของพ่อมด
MSG_ARMOR_NAME_26	<IC_HEAD>หมวกของนักปราชญ์
MSG_ARMOR_NAME_27	<IC_HEAD>ปิ่นปักผมทอง
MSG_ARMOR_NAME_28	<IC_HEAD>ริบบิ้น
MSG_ARMOR_NAME_29	<IC_HEAD>สายคาดศีรษะ
MSG_ARMOR_NAME_30	<IC_HEAD>หมวกเบเร่ต์สีเขียว
MSG_ARMOR_NAME_31	<IC_HEAD>เสื้อคลุมสีดำ
MSG_ARMOR_NAME_32	<IC_HEAD>หน้ากากแก้ว
MSG_ARMOR_NAME_33	<IC_ARMOR>ชุดเกราะเหล็ก
MSG_ARMOR_NAME_34	<IC_ARMOR>ชุดเกราะแห่งความมืด
MSG_ARMOR_NAME_35	<IC_ARMOR>ชุดเกราะพญายม
MSG_ARMOR_NAME_36	<IC_ARMOR>ชุดเกราะปีศาจ
