SPEAKER_01	????
E0001_03_342_a_01	긍지 높은 비공정 부대인\n우리 붉은 날개가 약탈이라니,\n도무지 납득할 수 없습니다!
E0001_03_342_a_02	그만해라!
E0001_03_342_a_03	하지만, 대장님!
E0001_03_342_a_04	저항하지 않는 마도사들에게서\n강제로 빼앗는 것은 너무하지 않습니까!
E0001_03_342_a_05	다들 잘 들어라!\n우리 바론의 번영을 위해서는\n크리스탈이 꼭 필요하다.<P>\n미시디아인들은\n크리스탈의 비밀을 너무 많이 알고 있다고\n전하께서 판단하셨다.<P>\n우리는 바론의 비공정 부대,\n붉은 날개다!\n전하의 명령에는 절대 복종한다!
E0001_03_342_a_06	대장님….
E0001_03_342_a_07	대장님, 마물이 습격해 옵니다!
E0001_03_342_a_08	전원, 전투에 대비하라!
E0001_04_342_a_01	으악!
E0001_04_342_a_02	괜찮은가?!
E0001_04_342_a_03	또 옵니다!
E0001_04_342_a_04	빌어먹을!
E0001_05_342_a_01	다들 무사한가?
E0001_05_342_a_02	예!
E0001_05_342_a_03	그런데 요즘 마물의 수가….
E0001_05_342_a_04	지나치게 많아졌습니다.
E0001_05_342_a_05	무슨 일이 일어날 조짐인가…?
E0001_05_342_a_06	바론에 도착했습니다!
E0001_05_342_a_07	착륙한다.
E0001_07_004_a_01	드디어 크리스탈을 손에 넣었군요.
E0001_07_004_a_02	…거의 저항을 하지 않는\n미시디아 사람들에게서\n강탈해 왔지.
E0001_07_004_a_03	그런 말씀 마시죠.\n전하께서 기다리십니다.
E0001_10_007_a_01	여기서 잠시 기다리십시오.
E0001_11_008_a_01	전하….\n(CECIL)<josa(이,가)> 감히 전하께\n의구심을 품고 있는 것 같습니다.
E0001_11_008_a_02	그래?\n잘 알려주었네.\n역시 근위대장이 있으니 든든하군.<P>\n어쨌든 크리스탈을 손에 넣었으면 됐으니\n(CECIL)<josa(을,를)> 불러오게.
E0001_11_008_a_03	예!
E0001_11_008_a_04	(CECIL) 님, 전하께서 부르십니다.\n들어오시지요.
E0001_11_008_a_05	(CECIL), 수고가 많았다.\n크리스탈은 가져왔느냐?
E0001_11_008_a_06	여기 있습니다.
E0001_11_008_a_07	'물의 크리스탈'을 건넸다.
E0001_11_008_a_08	진품으로 보입니다.
E0001_11_008_a_09	그래.\n참으로 영롱하군!\n(CECIL), 너는 이만 물러가라.
E0001_11_008_a_10	전하!
E0001_11_008_a_11	왜, 왜 그러느냐?
E0001_11_008_a_12	왜, 왜 그러시죠?
E0001_11_008_a_13	전하의 의중을 모르겠습니다.\n모두들 전하의 명령에\n의구심을 품고 있습니다.
E0001_11_008_a_14	너도 그렇게 생각한다는 말이렸다?
E0001_11_008_a_15	!\n결코 그런 의미는…!
E0001_11_008_a_16	내가 아무 것도 모르는 줄 아느냐?\n어찌 다른 사람도 아닌 네가\n나를 신뢰하지 못한다는 말이냐….<P>\n더 이상 너에게 붉은 날개를 맡길 수 없다!\n비공정 부대의 대장직을 거두겠노라.
E0001_11_008_a_24	전하!
E0001_11_008_a_17	대신 환수 토벌 임무를 주겠다.\n미스트 계곡 부근에 환상의 마물,\n환수가 출몰한다고 한다.<P>\n그 마물을 물리치고\n이 봄의 반지를 미스트 마을에 전하거라.\n내일 아침에 출발하도록!
E0001_11_008_a_18	고정하십시오!
E0001_11_008_a_19	(CECIL)<josa(은,는)> 그저….
E0001_11_008_a_20	(CAIN).\n(CECIL)<josa(이,가)> 그렇게 걱정된다면\n너도 함께 가도록!
E0001_11_008_a_25	전하!
E0001_11_008_a_21	더 할 이야기는 없다!\n반지를 가지고 물러가거라!
E0001_11_008_a_22	'봄의 반지'를 손에 넣었다.
E0001_11_008_a_23	전하!
E0001_12_006_a_01	(CAIN), 미안해.\n너까지 휘말리게 해서….
E0001_12_006_a_02	그 환수라는 것을 물리치면\n전하의 용서를 얻어\n다시 붉은 날개에 돌아갈 수 있을 거다.
E0001_12_006_a_03	…….
E0001_12_006_a_04	너무 걱정하지 마.\n준비는 나에게 맡기고\n오늘은 푹 쉬어라.
E0101_00_006_a_01	왜 그러지?
E0101_00_006_a_02	(CAIN), 정말 미안해.
E0101_00_006_a_03	사과는 그만해.\n너답지 않다.
E0101_00_006_a_04	전하의 명령으로 암흑검을 익혔지만…<P>\n그건 오로지 바론을 지키기 위함이었지,\n무고한 사람들에게서\n약탈하기 위해서가 아니었다고.
E0101_00_006_a_05	그렇게 자책하지 마라.\n전하께서도 생각하시는 바가 있겠지.
E0101_00_006_a_06	(CAIN), 네가 부러워.
E0101_00_006_a_07	내 아버지도 용기사였다.\n암흑검을 익히면 출세할 수 있겠지만\n나는 이쪽이 체질이라서 말이지.<P>\n내가 용기사로 있는 한은\n어릴적 돌아가신 아버지를\n언제나 느낄 수 있을 것 같으니까.
E0101_00_006_a_08	…….
E0101_00_006_a_09	훗…. 나답지 않은 소리를 했군.<P>\n어쨌든, 너무 고민하지 마라.\n네가 그러고 있으면 맥이 빠진다고.\n이래서야 환수는 나 혼자 다 잡겠어.
E0101_00_006_a_10	질 수는 없지!
E0101_00_006_a_11	내일 아침 일찍 출발해야 하니\n일찌감치 쉬어 둬라.
E0002_00_009_a_01	(CECIL)!
E0002_00_009_a_02	다행이야. 무사했구나.\n너무 갑작스런 임무길래 걱정했어.
E0002_00_009_a_03	우리야 무사하지.\n저항 않는 마도사들을 상대로\n다칠 리가 없잖아….
E0002_00_009_a_06	(CECIL)!
E0002_00_009_a_04	이따가 네 방으로 갈게.
E0002_00_009_a_05	알았어.
E0003_00_004_a_01	(CECIL), 돌아왔구나!
E0003_00_004_a_02	(ROZA)<josa(이,가)> 걱정하더라!\n(ROZA) 눈에 눈물 나게 하면\n가만 안 둔다!<P>\n그나저나 우리 이쁜 비공정은 무사하냐?\n네 부하들은 너무 거칠게 다룬단 말이지.<P>\n왜 그렇게 표정이 안 좋아?
E0003_00_004_a_03	(CID), 실은….
E0003_00_004_a_04	뭐? 환수 토벌?\n붉은 날개를 이끌 사람이\n너 말고 누가 있다고!<P>\n거 참, 전하는 왜 그러신대?\n신형 비공정을 만들라고 하시질 않나….<P>\n비공정을 사람을 해치는 도구로\n만들기는 싫은데 말이다!\n사람들도 의아해 하고 있다고.<P>\n어쨌든 몸조심해라!\n환수 정도야 네 암흑검 한 방이면 되겠지.<P>\n난 이만 집에 가야겠다.\n요새 집에 안 온다고 딸한테 혼났어!
E0004_00_014_a_01	침대 시트는 갈아 두었습니다.\n내일 아침에 출발하신다면서요?\n오늘 밤은 푹 쉬십시오.
E0005_00_015_a_01	대체 전하께서는 왜 저렇게 되신 거지?\n전에는 나이트로서도 이름을 떨친\n온화하고 다정한 분이셨는데.<P>\n의지할 곳 없던 나와 (CAIN)<josa(을,를)>\n친아들처럼 키워 주셨건만….<P>\n미시디아의 크리스탈이\n저항 않는 자들에게서 강탈해야 할 정도로\n반드시 필요한 물건일까?<P>\n아무리 명령이라 해도\n그런 짓은 하고 싶지 않아!
E0005_00_015_a_14	(CECIL)!
E0005_00_015_a_02	대체 무슨 일이야?\n갑자기 미시디아에 다녀오더니\n이번에는 환수 토벌이라니….<P>\n돌아와서부터 왠지 좀 이상하게 굴고.
E0005_00_015_a_03	아무 것도 아니야.
E0005_00_015_a_04	그럼 나 좀 봐.
E0005_00_015_a_05	미시디아에서…\n무고한 사람들에게서\n크리스탈을 빼앗았어!<P>\n암흑기사라는 이름처럼\n이제 내 마음마저도…!
E0005_00_015_a_06	…너는 그런 사람이 아니야.
E0005_00_015_a_07	나는 전하를 거역할 수 없는\n겁쟁이 암흑기사야….
E0005_00_015_a_08	붉은 날개의 (CECIL)<josa(은,는)>\n그런 약한 소리 하지 않아!<P>\n내가 좋아하는 (CECIL)<josa(은,는)>….
E0005_00_015_a_09	내일은 미스트에 간다며?\n너한테 무슨 일이라도 생기면, 난….
E0005_00_015_a_10	걱정하지 마.\n(CAIN)도 같이 가니까.
E0005_00_015_a_11	시간이 많이 늦었어.\n너도 가서 쉬어.
E0005_00_015_a_12	몸조심해…!
E0005_00_015_a_13	(ROZA), 고마워.\n하지만 암흑기사인 나는\n너와는….
E0006_00_005_a_01	(CECIL), 가자.
E0006_00_005_a_02	(CAIN), 너만 믿는다.
E0006_00_005_a_03	훗…. 맡겨만 두라고.
E0033_00_005_a_01	(CECIL) 님!
E0033_00_005_a_02	무사하셨군요!
E0033_00_005_a_03	베이건!\n설마 당신도….
E0033_00_005_a_04	제가 뭘요?
E0033_00_005_a_05	골베자의 꼭두각시가…?
E0033_00_005_a_06	그럴 리가요.\n이래 봬도 근위대장이니,\n바론에 대한 충성심은 굳건합니다!
E0033_00_005_a_07	(CID)<josa(이,가)> 붙잡혀 있다고 들었는데.
E0033_00_005_a_08	남은 근위병들을 데리고\n(CID)<josa(을,를)> 구하러 왔지만\n살아남은 사람은 저뿐입니다.
E0033_00_005_a_09	그렇군.\n함께 가자.\n당신이 있으면 든든하지.
E0033_00_005_a_10	예!
E0033_00_005_a_11	근위대장 베이건이 동료가 되었다.
E0033_00_005_a_12	왜 그래?
E0033_00_005_a_13	냄새가 나네.
E0033_00_005_a_14	마물 냄새예요!
E0033_00_005_a_15	뭐? 어디에서?!
E0033_00_005_a_16	냄새가 지독해!
E0033_00_005_a_17	연기를 하려면\n좀 더 제대로 하라고요.
E0033_00_005_a_18	당신도 골베자에게 넘어갔군!
E0033_00_005_a_19	그런 식으로 말하지 마시죠.<P>\n그분은 제게\n아주 멋진 힘을 주셨답니다.<P>\n이렇게 멋진 힘을 말이지요!
E0033_01_005_a_01	사람을 너무 쉽게 믿는 거 아냐?
E0033_01_005_a_02	베이건마저…!
E0034_00_008_a_01	무사했군, (CECIL)!\n많이 듬직해졌구나.
E0034_00_008_a_02	전하…!
E0034_00_008_a_03	그 모습은… 팔라딘이로구나.\n그래, 팔라딘이 되었나….\n그건 못쓰겠는데.
E0034_00_008_a_04	전하….\n아니, 바론 왕!
E0034_00_008_a_05	바론 왕?\n크하하하…. 누구 말이지?<P>\n아, 생각났다. 그래.\n이 나라를 넘겨줄 수는 없다고 하던\n멍청한 인간 말이로군.<P>\n그러고보니 내가\n그 인간 시늉을 하고 있었어.\n크하하하하하!
E0034_00_008_a_06	네놈, 전하를…!
E0034_00_008_a_07	만나고 싶냐?\n왕을 만나고 싶어?<P>\n나는 스카르밀리오네처럼\n쉬운 상대가 아닌데 이를 어쩌나?<P>\n그놈은 어떻게 사천왕이 되었나 싶을 만큼\n약한 놈이었으니 말이야.<P>\n크헤헤헤!
E0034_00_008_a_08	그렇다면 네놈도…!
E0034_00_008_a_09	그렇다!\n나는 골베자 사천왕 중\n물의 카냐초!
E0034_00_008_b_01	쓰나미를 일으키려고 물을 모으기 시작했다.
E0034_00_008_b_02	껍질에 틀어박혀서 방어하고 있다.
E0034_00_008_b_03	번개 속성이 배리어를 깼다.
E0034_01_008_a_01	가짜 바론 왕, 네 이놈!
E0034_01_008_a_02	나를 그런 곰팡내 나는 곳에 가두다니!\n흠씬 두들겨 주마!<P>\n…어?
E0034_01_008_a_03	(CID)!
E0034_01_008_a_04	(CECIL)<josa(이냐,냐)>?!\n살아 있었구나!\n야, 걱정했잖아…!
E0034_01_008_a_05	미안해요.
E0034_01_008_a_06	(ROZA)<josa(은,는)>?\n네가 살아 있다면서 떠났는데….
E0034_01_008_a_07	골베자에게 잡혀갔습니다.
E0034_01_008_a_08	네가 같이 있었다면서\n어쩌다 그렇게 된 거야?!<P>\n골베자 그놈….\n내 비공정들을 함부로 다루는 것도 모자라서\n(ROZA)에게까지 손을 대다니!
E0034_01_008_a_09	지금 그 아가씨가 위험하단 말이다!\n어서 그 비공정이라는 것으로\n안내를 해 다오!
E0034_01_008_a_10	이 영감은 누구야?
E0034_01_008_a_11	네놈한테 영감 소리 듣고 싶진 않다!
E0034_01_008_a_12	난 아직 젊다고!
E0034_01_008_a_13	진정들 하시고….\n(CID) 님이시죠?<P>\n이분은 위대한 현자,\n(TELLA) 님이세요.
E0034_01_008_a_14	이쪽은 파블의 몽크 대장\n(YANG) 님이시고…<P>\n저는 미시디아의 견습 마도사\n(POLOM)<josa(이라고,라고)> 해요.
E0034_01_008_a_15	둘 다 영감인데 뭘!
E0034_01_008_a_16	입이 험한 저 아이는\n제 쌍둥이 동생 (PALOM)<josa(이랍니다,랍니다)>.
E0034_01_008_a_17	혼자 공손한 척은!
E0034_01_008_a_18	처음 뵙겠습니다.\n이곳은 위험하니 서두르지요.
E0034_01_008_a_19	자네는 예의가 뭔지 아는구먼!
E0034_01_008_a_20	(CID), 신형 비공정은 어디에 뒀죠?
E0034_01_008_a_21	흐흐흐….
E0034_01_008_a_22	아무도 모를 만한 곳이지!\n남몰래 장치를 만들어 뒀거든!
E0034_01_008_a_23	시간이 없다고 하지 않았느냐!\n(ROZA)의 목숨이 달려 있다고!
E0034_01_008_a_24	그 영감 말 한번 많네!\n나도 알아!<P>\n이쪽이다!
E0034_02_007_a_01	크하하하….\n감히 나를 쓰러뜨리다니.\n그런데 혼자 가긴 외롭단 말이지.<P>\n크하하…. 비록 내가 죽더라도\n이 물의 카냐초의 공포를\n제대로 맛보며 죽게 해 주마!<P>\n지옥에서 기다리마!\n크헤헤헤!
E0034_02_007_a_02	벽이!
E0034_02_007_a_03	안 열려!
E0034_02_007_a_04	이쪽도 마찬가질세!
E0034_02_007_a_05	(PALOM)!\n(POLOM)!
E0034_02_007_a_06	그간 고마웠어!
E0034_02_007_a_07	오빠가 생긴 기분이라\n정말 기뻤어요!
E0034_02_007_a_08	무슨 짓을 하려는 게냐!
E0034_02_007_a_09	여기서 죽게 두진 않겠어!
E0034_02_007_a_10	(TELLA) 님!\n(CECIL) 씨를 부탁드려요!
E0034_02_007_a_11	(POLOM), 준비 됐지?
E0034_02_007_a_12	응!
E0034_02_007_a_13	그러지 마!
E0034_02_007_a_14	브레이크!
E0034_02_007_a_15	(PALOM)….
E0034_02_007_a_16	(POLOM)!!
E0034_02_007_a_17	섣부른 짓을…!\n곧 구해 주마!<P>\n에스나!
E0034_02_007_a_18	둘은 스스로의 의지에 의해 석화하여\n마법이 듣지 않는다.
E0034_02_007_a_19	어리석은 놈들….\n이 늙은이가 죽는 게 차라리 나을 것을!
E0034_02_007_a_20	아직 어린 아이들이…!
E0034_02_007_a_21	이 한은 내가 풀어 주마!
E0034_02_007_a_22	원수를 갚아야지!\n엔터프라이즈를 띄우자!
E0034_02_007_a_23	기다려라….
E0034_02_007_a_24	골베자…!
E0034_04_006_a_01	이런 곳에 뒀어요?
E0034_04_006_a_02	등잔 밑이 어둡다고 하잖아!
E0034_06_327_a_01	이런 곳에 있을 줄이야….
E0034_06_327_a_02	대단하군!
E0034_06_327_a_03	엔터프라이즈, 많이 기다렸지?\n이제 가자!
E0034_08_323_a_01	빨리도 납셨군!\n엔터프라이즈의 위력을 보여 주마!
E0034_08_323_a_02	잠깐만요!
E0034_08_323_a_03	저건….
E0034_08_323_a_04	백기잖나?
E0034_10_324_a_01	(CAIN)!
E0034_10_324_a_02	(CECIL), 살아 있었군.
E0034_10_324_a_03	(CAIN), 무슨 짓이냐!
E0034_10_324_a_04	(ROZA)<josa(은,는)>… 무사해?
E0034_10_324_a_05	훗…. 역시 걱정이 되는 모양이군.\n(ROZA)의 목숨이 아까우면\n트로이아의 땅의 크리스탈을 가져와라.
E0034_10_324_a_06	뭐…?
E0034_10_324_a_07	비겁하다!
E0034_10_324_a_08	크리스탈을 손에 넣으면 다시 오마.\n(ROZA)<josa(이,가)> 걱정된다면\n반드시 손에 넣어라!
E0034_10_324_a_09	네놈…!
E0034_10_324_a_10	(CAIN), 정신 차려!
E0034_10_324_a_11	더 나눌 말은 없다.
E0034_12_323_a_01	(CECIL) 님….
E0034_12_323_a_02	(CAIN) 이놈…!
E0034_12_323_a_03	…트로이아로 가자.\n(CID), 북서쪽으로 키를 돌리죠.
E0044_02_015_a_01	여긴…?
E0044_02_015_a_02	바론에 있는 네 방이야.
E0044_02_015_a_03	가짜 왕도 물리쳤으니\n이제 안심해도 되겠지!
E0044_02_015_a_04	(CECIL)….\n너에게 꼭 해야 하는 말이 있다.
E0044_02_015_a_05	뭔데?
E0044_02_015_a_06	크리스탈 말이다만….
E0044_02_015_a_07	트로이아에서 빌려 온\n땅의 크리스탈을 빼앗겼어.<P>\n이제 골베자의 수중에\n모든 크리스탈이 모였다는 얘기지.
E0044_02_015_a_08	아니, 크리스탈은\n아직 네 개밖에 모이지 않았다!
E0044_02_015_a_09	네 개가 전부잖아…?
E0044_02_015_a_10	아, 소문은 들은 적이 있는데!
E0044_02_015_a_11	설마….
E0044_02_015_a_12	그래, 어둠의 크리스탈 말이다.
E0044_02_015_a_13	세상에 드러난 네 개의 크리스탈은\n말하자면 표면의 크리스탈이고….
E0044_02_015_a_14	이면의 크리스탈이….
E0044_02_015_a_15	어둠의 크리스탈이 있다는 말이야?
E0044_02_015_a_16	그래.\n그러니 골베자가 가진 크리스탈은\n아직 절반에 불과하다.
E0044_02_015_a_17	하지만 어둠의 크리스탈에 대해\n소문을 들은 적은 있어도\n어디에 있는지까지는….
E0044_02_015_a_18	골베자는 그것을 알아냈지.
E0044_02_015_a_19	서둘러야겠어!\n어디에 있지?
E0044_02_015_a_20	말 그대로 표면과 이면….\n바로 지하 세계다!
E0044_02_015_a_21	지하 세계?!
E0044_02_015_a_22	굴이라도 파란 말이야?
E0044_02_015_a_23	그것까진 모르지만,\n골베자는 표면과 이면…<P>\n즉, 빛과 어둠의 크리스탈을 모두 모으면\n달로 가는 길이 열릴 거라고 했다.
E0044_02_015_a_24	달로 가는 길?
E0044_02_015_a_25	자세한 건 모르지만….\n이게 그 열쇠라더군.\n너에게 넘기마.
E0044_02_015_a_26	'마그마석'을 손에 넣었다.
E0044_02_015_a_27	이건…?
E0044_02_015_a_28	이것을 어딘가에 바치면\n지하로 가는 길이 열린다더군.
E0044_02_015_a_29	어딘가?
E0044_02_015_a_30	대체 어디에…?
E0044_02_015_a_31	…모른다.
E0044_02_015_a_32	뭘 어렵게 생각하냐?\n엔터프라이즈가 있잖아!<P>\n순식간에 세계일주도 가능하다고!
E0044_02_015_a_33	하지만, 엔터프라이즈는\n조트탑에 있잖아요?
E0044_02_015_a_34	내가 최신형이라고 했지?\n구형하고는 차원이 다르다고.<P>\n원격 조종으로\n벌써 바론에 돌아와 있다!
E0044_02_015_a_35	그렇다면 고민할 것 없겠군.
E0044_02_015_a_36	(CID)만 믿을게요!
E0044_02_015_a_37	엣헴. 그러면 내일 아침에 출발하자.\n지하 세계 입구를 찾는 것도 좋지만\n우선 푹 쉬어야지.
E0044_02_015_a_38	그런데…\n왜 골베자는 그때\n나를 처리하지 않았을까….
E0044_02_015_a_39	왜 그래?
E0044_02_015_a_40	아무 것도 아니야.\n일단 쉬자.
E0044_03_015_a_41	자, 출발하자!
E0055_00_004_a_01	(CECIL) 님!\n대장님께서 시키신 게 있었어요!<P>\n이 후크를 만들어서 엔터프라이즈에\n달라고 하시더군요.\n잠깐이면 돼요!
E0055_01_004_a_01	이제 호버크래프트를 달고\n이동할 수 있어요!
E0055_01_004_a_02	엔터프라이즈를 탄 상태에서\n호버크래프트와 겹쳐 선 후\n결정 버튼을 누르면 합체/분리되지요.
E0055_01_004_a_02_2	엔터프라이즈를 탄 상태에서\n호버크래프트와 겹쳐 선 후\n'!' 버튼을 탭하면 합체/분리되지요.
E0055_01_004_a_03	바빌탑이 있는 에블라나 동굴에도\n가실 수 있습니다!
E0055_01_004_a_04	대륙의 여울에\n호버크래프트를 내리고\n타고 가시면 되지요.
E0055_01_004_a_05	실은 (CID)<josa(이,가)>….
E0055_01_004_a_06	기운이 넘치셔서 탈이죠?
E0055_01_004_a_07	무슨 일을 당해도\n절대 안 죽을 분이시잖아요!
E0055_01_004_a_08	그럼 저희는 일이 바빠서 이만!\n수고하세요!
E0137_00_021_a_01	(CECIL)….
E0137_00_021_a_02	전하?!
E0137_00_021_a_03	환수의 세계에 갔다가\n이곳으로 다시 오거라.\n네게 도움이 될 터이니….
E0137_00_021_a_04	전하…!
E0108_00_021_a_01	잘 왔다.
E0108_00_021_a_02	전하….
E0108_00_021_a_03	그렇게 슬픈 얼굴 하지 말거라.\n내가 비록 마물에게 당했지만\n영원한 힘을 손에 넣었으니.<P>\n미스트의 소환사가 나를 불러내면\n일격필살의 환수로서\n언제나 너의 힘이 될 것이다.<P>\n허나 환수계의 규정에 따라\n네 힘을 시험해야만 하니\n제대로 덤벼 보아라.
E0108_00_021_b_01	전류가 오딘을 관통했다!
E0108_01_021_a_01	듬직해졌구나….\n바론을… 아니, 세계를 잘 부탁한다.\n나도 오딘으로서 너와 함께 할 터이니.
E0108_01_021_a_02	전하!
E0108_01_021_a_03	(RYDIA)<josa(이,가)> '오딘'을 익혔다.
E0135_01_022_a_01	포키!<P>\n앗!<P>\n이런!
E0135_01_022_a_02	미안합니다!\n'미니멈'을 걸어 버렸네요!
E0136_01_020_a_01	보이지 않는 힘으로 봉인되어 있다.
N101_C02_004_07_01	이 탑은 출입이 금지되어 있습니다.
N101_C02_004_03_01	이상 무!
N101_C02_004_03_02	괴물이 전하의 모습을 하고 있었다니….
N101_C02_004_04_01	요즘 성 분위기가 어두운 것 같습니다.
N101_C02_004_04_02	우리도 조종당했을 수 있겠군요.
N101_C02_004_01_01	내일 아침에 출발하신다고 들었습니다.\n오늘은 이만 쉬십시오.
N101_C02_004_02_01	이제 곧 밤이니\n나가지 마십시오.
N101_C02_004_01_02	미스트 마을에 봄의 반지를 전하기 전에는\n성에 들어오지 말라고\n전하께서 명령하셨습니다.
N101_C02_004_01_03	네놈은 누구지?\n통행 허가는 받았나?
N105_C01_004_06_01	(CID) 대장님 못 보셨어요?\n비공정 정비를 우리에게 맡겨 놓고\n뭔가 궁리하고 계시던데.
N105_C01_004_06_02	대장님! (CECIL) 님!
N105_C01_004_06_03	대장님은 여전하시죠?
N105_C01_004_05_01	어휴, 오늘도 밤 새야겠네.<P>\n대, 대장님께 이르지 마세요!\n이, 일이 너무 즐거워서 원!
N105_C01_004_05_02	대, 대장님의 유령이 나왔어!<P>\n네? 유령이 아니라 진짜라고요?\n어이쿠, 일을 해야지, 일!
N105_C01_004_05_03	저도 이제 대장님 정도 실력은 되죠?<P>\n아, 대장님께는 비밀입니다!
N101_C02_005_01_01	미시디아에서 크리스탈을\n가져오셨다고 들었습니다!
N101_C02_005_01_02	골베자가 통솔하는 병사들이\n모두 사람이 아니었다니….
N101_C02_005_02_01	…?!<P>\n조, 졸지 않았습니다!
N101_C02_005_02_02	전하께서는 마물에게 당하셨군요….\n참으로 안타까운 일입니다.
N101_C02_005_03_01	이 방에 있는 보물은\n환수 토벌에 가져가셔도 된다고 하셨습니다.\n벽에 있는 스위치를 누르면 문이 열립니다.
N101_C02_005_03_02	돌아가신 전하의 목소리가\n지하에서 들려옵니다.\n혹시 저주일까요…?
N101_C02_006_04_01	요즘 전하에게서\n이상한 기운이 느껴집니다만….
N101_C02_006_04_02	(CECIL) 님!\n왕이 되어 주십시오!
N101_C02_006_03_01	저는 전하를 믿습니다.
N101_C02_006_03_02	(CECIL) 님,\n전하의 원수를 갚아 주십시오!
N101_C02_006_05_01	미스트 계곡은 바론의 북서쪽에 있습니다.\n언제나 짙은 안개가 끼어 있다고 하지요.
N101_C02_006_05_02	용기사의 명예를 걸고\n성을 지키겠습니다!
N101_C02_006_06_01	우리 용기사단의 (CAIN) 님과\n붉은 날개의 (CECIL) 님이 함께 가시면\n세상에 두려울 게 있겠습니까?
N101_C02_006_06_02	(CAIN) 님께 면목이 없습니다.
P002_C00_006_07_01	왜 그러지? 잠이 안 오나?
N003_C01_006_01_01	전하에 대한 말이 많은데,\n행여나 전하의 귀에 들어갔다가는….
N003_C01_006_01_02	성은 우리에게 맡겨 주십시오!
N003_C01_006_02_01	목숨이 귀한 줄 아신다면\n쓸데없는 생각은 하지 마십시오.
N003_C01_006_02_02	전하의 변모를 눈치챘지만\n목숨이 아까워서 그만….
N003_C01_007_01_01	전하는 심기가 많이 불편하십니다.\n봄의 반지를 미스트에 전하기 전에는\n만나고 싶지 않다고 하셨습니다.
N003_C01_008_01_01	다시는 성을 마물에게 넘기지 않겠습니다!
N118_C01_022_02_01	어서 실전에서 쓸 수 있도록\n한창 연구하는 중입니다.
N118_C01_022_02_02	마물이 전하 시늉을 하고 있는 것을\n간파하지 못하다니….\n아직 많이 부족하군.
N118_C01_022_03_01	파이어, 블리자드, 선더 같은\n기본 마법만으로는 감당할 수 없는\n마물도 존재하지.<P>\n옛날에는 더 강력한 마법이 있었다지만….
N118_C01_022_03_02	역시 고대의 마법 메테오는\n실제로 존재했군요!
N118_C01_022_01_01	슬리플!<P>\n어?<P>\n졸리지 않다고요?<P>\n이상하다….
N117_C01_023_02_01	요즘 전하께서는\n이전보다 더 기운이 넘치시지만\n왠지 좀….
N117_C01_023_02_02	우리도 백마법으로 병사들을 돕겠습니다!
N117_C01_023_03_01	초급 백마법을 연구하는 중입니다.<P>\n백마법 삼단활용,\n케알-케알라-케알다!
N117_C01_023_03_02	마물이 전하 대신 들어앉아 있었다니….
N117_C01_023_01_01	(ROZA)<josa(은,는)> 당신의 힘이 되려고\n백마도사의 길을 택했어.<P>\n그러니 너무 걱정시키지 말라고!
N117_C01_023_01_02	돌아가신 전하께서\n편히 잠드시기를 기도할 뿐이지.
N101_C02_011_01_01	미시디아에서 반항한 마도사들을\n이 지하 감옥에 가두었습니다.\n철창 너머로는 이야기를 나누셔도 됩니다.
