MSG_CHAR_NAME_01	Сесил
MSG_MON_ATK_38	Большой взрыв
MSG_MON_ATK_39	Кровавый пир
MSG_MON_ATK_40	Желчь
MSG_MON_ATK_41	Пыльца
MSG_MON_ATK_42	Сокрушение
MSG_MON_ATK_43	Тревога
MSG_MON_ATK_44	Призыв
MSG_MON_ATK_45	Поиск
MSG_MON_ATK_46	Распад
MSG_MON_ATK_47	Отступление
MSG_MON_ATK_48	Луч
MSG_MON_ATK_49	Объект 199
MSG_MON_ATK_50	Пламя
MSG_MON_ATK_51	Зарево
MSG_MON_ATK_52	Разряд
MSG_MON_ATK_53	Молния
MSG_MON_ATK_54	Дыхание тьмы
MSG_MON_ATK_55	Прилив
MSG_MON_ATK_56	Ледяной шторм
MSG_MON_ATK_57	Цунами
MSG_MON_ATK_58	Смерч
MSG_MON_ATK_59	Лазер
MSG_MON_ATK_60	Самоликвидация
MSG_MON_ATK_61	Дрожь земли
MSG_MON_ATK_62	Огнемет
MSG_MON_ATK_63	Тепловой луч
MSG_MON_ATK_64	Инферно
MSG_MON_ATK_65	Зантэцукен
MSG_MON_ATK_66	Мегавсполох
MSG_MON_ATK_67	Игла
MSG_MON_ATK_68	Клещи
MSG_MON_ATK_69	Регенерация
MSG_MON_ATK_71	Двойной метеор
MSG_MAG_INF_01	Вызывает паралич.
MSG_MAG_INF_02	Вызывает немоту.
MSG_MAG_INF_03	Вызывает замешательство.
MSG_MAG_INF_04	Создает иллюзии, сбивающие врага с толку.
MSG_MAG_INF_05	Снижает получаемый физический урон.
MSG_MAG_INF_06	Снижает получаемый магический урон.
MSG_MAG_INF_07	Замедляет течение времени.
MSG_MAG_INF_08	Ускоряет течение времени.
MSG_MAG_INF_09	Вызывает состояние берсерка.
MSG_MAG_INF_10	Создает барьер, отражающий магию в заклинателя.
MSG_MAG_INF_11	Обрушивает на врага священную силу.
MSG_MAG_INF_12	Снимает магические эффекты.
MSG_MAG_INF_13	Определяет ОЗ и слабости цели.
MSG_MAG_INF_14	Восстанавливает ОЗ.
MSG_MAG_INF_15	Восстанавливает ОЗ.
MSG_MAG_INF_16	Восстанавливает ОЗ.
MSG_MAG_INF_17	Восстанавливает ОЗ.
MSG_MAG_INF_18	Снимает все эффекты, кроме «Без чувств».
MSG_MAG_INF_19	Оживляет одну цель.
MSG_MAG_INF_20	Оживляет одну цель и восстанавливает половину ОЗ.
MSG_MAG_INF_21	Уменьшает цель или возвращает обычный размер.
MSG_MAG_INF_22	Переносит отряд из подземелья или с поля боя.
MSG_MAG_INF_23	Отображает подробную карту.
MSG_MAG_INF_24	Поднимает цель в воздух.
MSG_MAG_INF_25	Обращает цель в жабу или возвращает обычный облик.
MSG_MAG_INF_26	Обращает цель в свина или возвращает обычный облик.
MSG_MAG_INF_27	Переносит отряд на предыдущий этаж.
MSG_MAG_INF_28	Отравляет.
MSG_MAG_INF_29	Наносит огненный урон.
MSG_MAG_INF_30	Наносит огненный урон.
MSG_MAG_INF_31	Наносит огненный урон.
MSG_MAG_INF_32	Наносит ледяной урон.
MSG_MAG_INF_33	Наносит ледяной урон.
MSG_MAG_INF_34	Наносит ледяной урон.
MSG_MAG_INF_35	Наносит урон молнией.
MSG_MAG_INF_36	Наносит урон молнией.
MSG_MAG_INF_37	Наносит урон молнией.
MSG_MAG_INF_38	Выбрасывает вирус, который высасывает здоровье, нанося урон.
MSG_MAG_INF_39	Вызывает смерч, который наносит большой урон.
MSG_MAG_INF_40	Вызывает землетрясение, которое наносит урон всем врагам.
MSG_MAG_INF_41	Вызывает сон.
MSG_MAG_INF_42	Вызывает окаменение.
MSG_MAG_INF_43	Моментально убивает.
MSG_MAG_INF_44	Останавливает время, а с ним и действия цели.
MSG_MAG_INF_45	Поглощает ОЗ.
MSG_MAG_INF_46	Поглощает ОМ.
MSG_MAG_INF_47	Призывает метеор, который наносит урон всем врагам.
MSG_MAG_INF_48	Наносит урон взрывом тепловой энергии.
MSG_MAG_INF_49	Использует «Удар гоблина», нанося урон одному врагу.
MSG_MAG_INF_50	Использует «Самоликвидацию», нанося одному врагу урон, определяемый здоровьем заклинателя.
MSG_MAG_INF_51	Использует «Удар окаменения», превращая врага в камень.
MSG_MAG_INF_52	Использует «Взрыв разума», высасывая здоровье и парализуя одного врага.
MSG_MAG_INF_53	Использует «Пинок чокобо», атакуя одного врага.
MSG_MAG_INF_54	Использует «Алмазную пыль», нанося ледяной урон всем врагам.
MSG_MAG_INF_55	Использует «Молнию правосудия», нанося электрический урон всем врагам.
MSG_MAG_INF_56	Использует «Адское пламя», нанося огненный урон всем врагам.
MSG_MAG_INF_57	Использует «Гнев Геи», вызывая землетрясение и нанося урон всем врагам.
MSG_MAG_INF_58	Использует «Туманное дыхание», нанося одному врагу урон, определяемый здоровьем заклинателя.
MSG_MAG_INF_59	Использует «Шепот ветра», вытягивая ОЗ врага и восстанавливая здоровье всех союзников.
MSG_MAG_INF_60	Использует «Зантэцукен», мгновенно убивая всех врагов.
MSG_MAG_INF_61	Использует «Цунами», нанося огромный урон всем врагам.
MSG_MAG_INF_62	Случайным образом использует заклинание «Исцеление 2», «Защита» или «Оживление».
MSG_MAG_INF_63	Использует «Мегавсполох», нанося огромный урон тепловой вспышкой всем врагам.
MSG_MAG_INF_64	Атакует всех врагов огнем.
MSG_MAG_INF_65	Атакует всех врагов цунами.
MSG_MAG_INF_66	Атакует всех врагов молниями.
MSG_MAG_INF_67	Поле боя затягивает дым, помогающий союзникам сбежать.
MSG_MAG_INF_68	Временно обездвиживает жертву, не позволяя ей действовать.
MSG_MAG_INF_69	Создает иллюзии, сбивающие врага с толку.
MSG_WEAPON_NAME_01	<IC_CLW>Пламенный коготь
MSG_WEAPON_NAME_02	<IC_CLW>Ледяной коготь
MSG_WEAPON_NAME_03	<IC_CLW>Коготь молнии
MSG_WEAPON_NAME_04	<IC_CLW>Волшебный коготь
MSG_WEAPON_NAME_05	<IC_CLW>Адский коготь
MSG_WEAPON_NAME_06	<IC_CLW>Кошачий коготь
MSG_WEAPON_NAME_07	<IC_ROD>Жезл
MSG_WEAPON_NAME_08	<IC_ROD>Ледяной жезл
MSG_WEAPON_NAME_09	<IC_ROD>Пламенный жезл
MSG_WEAPON_NAME_10	<IC_ROD>Грозовой жезл
MSG_WEAPON_NAME_11	<IC_ROD>Полиморфный жезл
MSG_WEAPON_NAME_12	<IC_ROD>Волшебный жезл
MSG_WEAPON_NAME_13	<IC_ROD>Жезл звездной пыли
MSG_WEAPON_NAME_14	<IC_ROD>Жезл Лилит
MSG_WEAPON_NAME_15	<IC_WND>Посох
MSG_WEAPON_NAME_16	<IC_WND>Исцеляющий посох
MSG_WEAPON_NAME_17	<IC_WND>Мифриловый посох
MSG_WEAPON_NAME_18	<IC_WND>Посох силы
MSG_WEAPON_NAME_19	<IC_WND>Посох движения
MSG_WEAPON_NAME_20	<IC_WND>Посох мудреца
MSG_WEAPON_NAME_21	<IC_WND>Рунический посох
MSG_WEAPON_NAME_22	<IC_DSRD>Темный меч
MSG_WEAPON_NAME_23	<IC_DSRD>Клинок тени
MSG_WEAPON_NAME_24	<IC_DSRD>Смертоносец
MSG_WEAPON_NAME_25	<IC_NSRD>Легендарный меч
MSG_WEAPON_NAME_26	<IC_NSRD>Меч света
MSG_WEAPON_NAME_27	<IC_NSRD>Экскалибур
MSG_WEAPON_NAME_28	<IC_NSRD>Рагнарек
MSG_WEAPON_NAME_29	<IC_SRD>Пламенный меч
MSG_WEAPON_NAME_30	<IC_SRD>Ледяной меч
MSG_WEAPON_NAME_31	<IC_SRD>Защитник
MSG_WEAPON_NAME_32	<IC_SRD>Меч крови
MSG_WEAPON_NAME_33	<IC_SRD>Древний меч
MSG_WEAPON_NAME_34	<IC_SRD>Клинок сна
MSG_WEAPON_NAME_35	<IC_SRD>Клинок горгоны
MSG_WEAPON_NAME_36	<IC_SRD>Мифриловый меч
MSG_WEAPON_NAME_37	<IC_SRD>Мститель
MSG_WEAPON_NAME_38	<IC_SPR>Копье
MSG_WEAPON_NAME_39	<IC_SPR>Копье ветра
MSG_WEAPON_NAME_40	<IC_SPR>Пламенное копье
MSG_WEAPON_NAME_41	<IC_SPR>Ледяное копье
MSG_WEAPON_NAME_42	<IC_SPR>Копье виверны
MSG_WEAPON_NAME_43	<IC_SPR>Священное копье
MSG_WEAPON_NAME_44	<IC_SPR>Кровавое копье
MSG_WEAPON_NAME_45	<IC_SPR>Гунгнир
MSG_WEAPON_NAME_46	<IC_KTN>Кунай
MSG_WEAPON_NAME_47	<IC_KTN>Ашура
MSG_WEAPON_NAME_48	<IC_KTN>Котэцу
MSG_WEAPON_NAME_49	<IC_KTN>Кикуитимондзи
MSG_WEAPON_NAME_50	<IC_KTN>Мурасамэ
MSG_WEAPON_NAME_51	<IC_KTN>Масамунэ
MSG_WEAPON_NAME_52	<IC_NIF>Убийца магов
MSG_WEAPON_NAME_53	<IC_NIF>Мифриловый нож
MSG_WEAPON_NAME_54	<IC_NIF>Пляшущий кинжал
MSG_WEAPON_NAME_55	<IC_NIF>Нож
MSG_WEAPON_NAME_56	<IC_WHP>Плеть
MSG_WEAPON_NAME_57	<IC_WHP>Цепь-плеть
MSG_WEAPON_NAME_58	<IC_WHP>Плеть проблеска
MSG_WEAPON_NAME_59	<IC_WHP>Пламенная плеть
MSG_WEAPON_NAME_60	<IC_WHP>Ус дракона
MSG_WEAPON_NAME_61	<IC_AX>Гномий топор
MSG_WEAPON_NAME_62	<IC_AX>Убийца огров
MSG_WEAPON_NAME_63	<IC_AX>Отравленный топор
MSG_WEAPON_NAME_64	<IC_AX>Рунический топор
MSG_WEAPON_NAME_65	<IC_SRK>Сюрикэн
MSG_WEAPON_NAME_66	<IC_SRK>Фума-сюрикэн
MSG_WEAPON_NAME_67	<IC_TRW>Бумеранг
MSG_WEAPON_NAME_68	<IC_TRW>Лунное кольцо
MSG_WEAPON_NAME_69	<IC_HRP>Арфа сна
MSG_WEAPON_NAME_70	<IC_HRP>Арфа ламии
MSG_WEAPON_NAME_71	<IC_HMR>Деревянный молот
MSG_WEAPON_NAME_72	<IC_HMR>Мифриловый молот
MSG_WEAPON_NAME_73	<IC_HMR>Молот Геи
MSG_WEAPON_NAME_74	<IC_BOW>Лук
MSG_WEAPON_NAME_75	<IC_BOW>Арбалет
MSG_WEAPON_NAME_76	<IC_BOW>Большой лук
MSG_WEAPON_NAME_77	<IC_BOW>Смертоносный лук
MSG_WEAPON_NAME_78	<IC_BOW>Эльфийский лук
MSG_WEAPON_NAME_79	<IC_BOW>Лук Йоити
MSG_WEAPON_NAME_80	<IC_BOW>Лук Артемиды
MSG_WEAPON_NAME_81	<IC_ARW>Железная стрела
MSG_WEAPON_NAME_82	<IC_ARW>Священная стрела
MSG_WEAPON_NAME_83	<IC_ARW>Огненная стрела
MSG_WEAPON_NAME_84	<IC_ARW>Ледяная стрела
MSG_WEAPON_NAME_85	<IC_ARW>Грозовая стрела
MSG_WEAPON_NAME_86	<IC_ARW>Слепящая стрела
MSG_WEAPON_NAME_87	<IC_ARW>Отравленная стрела
MSG_WEAPON_NAME_88	<IC_ARW>Стрела немоты
MSG_WEAPON_NAME_89	<IC_ARW>Ангельская стрела
MSG_WEAPON_NAME_90	<IC_ARW>Стрела Йоити
MSG_WEAPON_NAME_91	<IC_ARW>Стрела Медузы
MSG_WEAPON_NAME_92	<IC_ARW>Стрела Артемиды
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Rage Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>Железный щит
MSG_ARMOR_NAME_02	<IC_SHIELD>Темный щит
MSG_ARMOR_NAME_03	<IC_SHIELD>Демонический щит
MSG_ARMOR_NAME_04	<IC_SHIELD>Щит света
MSG_ARMOR_NAME_05	<IC_SHIELD>Мифриловый щит
MSG_ARMOR_NAME_06	<IC_SHIELD>Пламенный щит
MSG_ARMOR_NAME_07	<IC_SHIELD>Ледяной щит
MSG_ARMOR_NAME_08	<IC_SHIELD>Алмазный щит
MSG_ARMOR_NAME_09	<IC_SHIELD>Эгида
MSG_ARMOR_NAME_10	<IC_SHIELD>Щит Гэндзи
MSG_ARMOR_NAME_11	<IC_SHIELD>Драконий щит
MSG_ARMOR_NAME_12	<IC_SHIELD>Хрустальный щит
MSG_ARMOR_NAME_13	<IC_HEAD>Железный шлем
MSG_ARMOR_NAME_14	<IC_HEAD>Темный шлем
MSG_ARMOR_NAME_15	<IC_HEAD>Шлем Аида
MSG_ARMOR_NAME_16	<IC_HEAD>Демонический шлем
MSG_ARMOR_NAME_17	<IC_HEAD>Шлем света
MSG_ARMOR_NAME_18	<IC_HEAD>Мифриловый шлем
MSG_ARMOR_NAME_19	<IC_HEAD>Алмазный шлем
MSG_ARMOR_NAME_20	<IC_HEAD>Шлем Гэндзи
MSG_ARMOR_NAME_21	<IC_HEAD>Драконий шлем
MSG_ARMOR_NAME_22	<IC_HEAD>Хрустальный шлем
MSG_ARMOR_NAME_23	<IC_HEAD>Кожаная шапка
MSG_ARMOR_NAME_24	<IC_HEAD>Шапка с пером
MSG_ARMOR_NAME_25	<IC_HEAD>Шляпа волшебника
MSG_ARMOR_NAME_26	<IC_HEAD>Колпак мудреца
MSG_ARMOR_NAME_27	<IC_HEAD>Золотая заколка
MSG_ARMOR_NAME_28	<IC_HEAD>Лента
MSG_ARMOR_NAME_29	<IC_HEAD>Повязка
MSG_ARMOR_NAME_30	<IC_HEAD>Зеленый берет
MSG_ARMOR_NAME_31	<IC_HEAD>Черная мантия
MSG_ARMOR_NAME_32	<IC_HEAD>Стеклянная маска
MSG_ARMOR_NAME_33	<IC_ARMOR>Железные доспехи
MSG_ARMOR_NAME_34	<IC_ARMOR>Темные доспехи
MSG_ARMOR_NAME_35	<IC_ARMOR>Доспехи Аида
MSG_ARMOR_NAME_36	<IC_ARMOR>Демонические доспехи
MSG_ARMOR_NAME_37	<IC_ARMOR>Рыцарские доспехи
MSG_ARMOR_NAME_38	<IC_ARMOR>Мифриловые доспехи
MSG_ARMOR_NAME_39	<IC_ARMOR>Пламенная кольчуга
MSG_ARMOR_NAME_40	<IC_ARMOR>Ледяные доспехи
MSG_ARMOR_NAME_41	<IC_ARMOR>Алмазные доспехи
MSG_ARMOR_NAME_42	<IC_ARMOR>Доспехи Гэндзи
MSG_ARMOR_NAME_43	<IC_ARMOR>Драконья кольчуга
MSG_ARMOR_NAME_44	<IC_ARMOR>Хрустальная кольчуга
MSG_ARMOR_NAME_45	<IC_CLTH>Одежда
MSG_ARMOR_NAME_46	<IC_CLTH>Кожаная одежда
MSG_ARMOR_NAME_47	<IC_CLTH>Одежда Геи
MSG_ARMOR_NAME_48	<IC_CLTH>Одежда мудреца
MSG_ARMOR_NAME_49	<IC_CLTH>Черное одеяние
MSG_ARMOR_NAME_50	<IC_CLTH>Мантия света
MSG_ARMOR_NAME_51	<IC_CLTH>Белая мантия
MSG_ARMOR_NAME_52	<IC_CLTH>Пояс силы
MSG_ARMOR_NAME_53	<IC_CLTH>Нагрудник Минервы
MSG_ARMOR_NAME_54	<IC_CLTH>Тюремная одежда
MSG_ARMOR_NAME_55	<IC_CLTH>Туника барда
MSG_ARMOR_NAME_56	<IC_CLTH>Кимоно для кэмпо
MSG_ARMOR_NAME_57	<IC_CLTH>Кимоно с черным поясом
MSG_ARMOR_NAME_58	<IC_ARMOR>Адамантитовые доспехи
MSG_ARMOR_NAME_59	<IC_CLTH>Черная одежда
MSG_ARMOR_NAME_60	<IC_GLOV>Железные перчатки
MSG_ARMOR_NAME_61	<IC_GLOV>Темные перчатки
MSG_ARMOR_NAME_62	<IC_GLOV>Перчатки Аида
MSG_ARMOR_NAME_63	<IC_GLOV>Демонические перчатки
MSG_ARMOR_NAME_64	<IC_GLOV>Рукавицы
MSG_ARMOR_NAME_65	<IC_GLOV>Мифриловые перчатки
MSG_ARMOR_NAME_66	<IC_GLOV>Алмазные перчатки
MSG_ARMOR_NAME_67	<IC_GLOV>Перчатки великана
MSG_ARMOR_NAME_68	<IC_GLOV>Перчатки Гэндзи
MSG_ARMOR_NAME_69	<IC_GLOV>Драконьи перчатки
MSG_ARMOR_NAME_70	<IC_GLOV>Хрустальные перчатки
MSG_ARMOR_NAME_71	<IC_GLOV>Железный наруч
MSG_ARMOR_NAME_72	<IC_GLOV>Рубиновое кольцо
MSG_ARMOR_NAME_73	<IC_GLOV>Серебряный наруч
MSG_ARMOR_NAME_74	<IC_GLOV>Наруч силы
MSG_ARMOR_NAME_75	<IC_GLOV>Рунический наруч
MSG_ARMOR_NAME_76	<IC_GLOV>Хрустальное кольцо
MSG_ARMOR_NAME_77	<IC_GLOV>Алмазный наруч
MSG_ARMOR_NAME_78	<IC_GLOV>Кольцо защиты
MSG_ARMOR_NAME_79	<IC_GLOV>Проклятое кольцо
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
