MSG_CHAR_NAME_01	Cécil
MSG_MAGIC_NAME_40	<IC_BMGC>Séisme
MSG_MAGIC_NAME_41	<IC_BMGC>Sommeil
MSG_MAGIC_NAME_42	<IC_BMGC>Pierre
MSG_MAGIC_NAME_43	<IC_BMGC>Mort
MSG_MAGIC_NAME_44	<IC_BMGC>Stop
MSG_MAGIC_NAME_45	<IC_BMGC>Saignée
MSG_MAGIC_NAME_46	<IC_BMGC>Succion
MSG_MAGIC_NAME_47	<IC_BMGC>Météore
MSG_MAGIC_NAME_48	<IC_BMGC>Fission
MSG_MAGIC_NAME_49	<IC_SMGC>Gobelin
MSG_MAGIC_NAME_50	<IC_SMGC>Bombo
MSG_MAGIC_NAME_51	<IC_SMGC>Coquatrice
MSG_MAGIC_NAME_52	<IC_SMGC>Psychopolype
MSG_MAGIC_NAME_53	<IC_SMGC>Chocobo
MSG_MAGIC_NAME_54	<IC_SMGC>Shiva
MSG_MAGIC_NAME_55	<IC_SMGC>Ramuh
MSG_MAGIC_NAME_56	<IC_SMGC>Ifrit
MSG_MAGIC_NAME_57	<IC_SMGC>Titan
MSG_MAGIC_NAME_58	<IC_SMGC>Dragon des brumes
MSG_MAGIC_NAME_59	<IC_SMGC>Sylphide
MSG_MAGIC_NAME_60	<IC_SMGC>Odin
MSG_MAGIC_NAME_61	<IC_SMGC>Léviathan
MSG_MAGIC_NAME_62	<IC_SMGC>Asura
MSG_MAGIC_NAME_63	<IC_SMGC>Bahamut
MSG_MAGIC_NAME_64	<IC_BMGC>Aérolithe
MSG_MAGIC_NAME_65	<IC_BMGC>Pyro
MSG_MAGIC_NAME_66	Katon
MSG_MAGIC_NAME_67	Suiton
MSG_MAGIC_NAME_68	Raijin
MSG_MAGIC_NAME_69	Kemuridama
MSG_MAGIC_NAME_70	Kageshibari
MSG_MAGIC_NAME_71	Bunshin
MSG_MAGIC_NAME_72	Flèches magiques
MSG_MAGIC_NAME_73	Grâce
MSG_MAGIC_NAME_74	Cure
MSG_MAGIC_NAME_75	Sérum
MSG_MAGIC_NAME_76	Dague dansante
MSG_MAGIC_NAME_77	Gobelipunch
MSG_MAGIC_NAME_78	Auto-destruction
MSG_MAGIC_NAME_79	Bec de pierre
MSG_MAGIC_NAME_80	Psychochoc
MSG_MAGIC_NAME_81	Ruée
MSG_MAGIC_NAME_82	Poussière de diamant
MSG_MAGIC_NAME_83	Foudre du jugement
MSG_MAGIC_NAME_84	Flammes de l'enfer
MSG_MAGIC_NAME_85	Colère de Gaïa
MSG_MAGIC_NAME_86	Souffle étincelant
MSG_MAGIC_NAME_87	Alizé
MSG_MAGIC_NAME_88	Zantetsuken
MSG_MAGIC_NAME_89	Tsunami
MSG_MAGIC_NAME_90	Bénédiction d'Asura
MSG_MAGIC_NAME_91	Mégafission
MSG_MON_ATK_01	Regard
MSG_MON_ATK_02	Rayons
MSG_MON_ATK_03	Gifle
MSG_MON_ATK_04	Miasme
MSG_MON_ATK_05	Œillade
MSG_MON_ATK_06	Séduction
MSG_MON_ATK_07	Coup de langue
MSG_MON_ATK_08	Fléau
MSG_MON_ATK_09	Doigt pétrifiant
MSG_MON_ATK_10	Glas
MSG_MON_ATK_11	Picorer
MSG_MON_ATK_12	Regard pétrifiant
MSG_MON_ATK_13	Psychochoc
MSG_MON_ATK_14	Étreinte
MSG_MON_ATK_15	Haleine fétide
MSG_MON_ATK_16	Murmures
MSG_MON_ATK_17	Entortiller
MSG_MON_ATK_18	Tourbillon
MSG_MON_ATK_19	Distorsion spatiotemporelle
MSG_MON_ATK_20	Frimas
MSG_MON_ATK_21	Explosion
MSG_MON_ATK_22	Malédiction
MSG_MON_ATK_23	Chaînes glaciales
MSG_MON_ATK_24	Gaz soporifique
MSG_MON_ATK_25	Nuage fétide
MSG_MON_ATK_26	Lasers perçants
MSG_MON_ATK_27	Crocs sombres
MSG_MON_ATK_28	Trou noir
MSG_MON_ATK_29	Farandole
MSG_MON_ATK_30	Neuvième dimension
MSG_MON_ATK_31	Maelström
MSG_MON_ATK_32	Électromagnétisme
MSG_MON_ATK_33	Réaction en chaîne
MSG_MON_ATK_34	Éclosion
MSG_MON_ATK_35	Regain
MSG_MON_ATK_36	Récupération
MSG_MON_ATK_37	Traitement
MSG_MON_ATK_38	Big bang
MSG_MON_ATK_39	Ponction
MSG_MON_ATK_40	Sucs digestifs
MSG_MON_ATK_41	Pollen
MSG_MON_ATK_42	Compression
MSG_MON_ATK_43	Alarme
MSG_MON_ATK_44	Invocation
MSG_MON_ATK_45	Ciblage
MSG_MON_ATK_46	Explosion nucléaire
MSG_MON_ATK_47	Libération
MSG_MON_ATK_48	Faisceau lumineux
MSG_MON_ATK_49	Sphère 199
MSG_MON_ATK_50	Flammes
MSG_MON_ATK_51	Givre
MSG_MON_ATK_52	Éclair fulgurant
MSG_MON_ATK_53	Éclairs
MSG_MON_ATK_54	Souffle obscur
MSG_MON_ATK_55	Vague sismique
MSG_MON_ATK_56	Blizzard
MSG_MON_ATK_57	Tsunami
MSG_MON_ATK_58	Tornade
MSG_MON_ATK_59	Laser
MSG_MON_ATK_60	Auto-destruction
MSG_MON_ATK_61	Commotion
MSG_MON_ATK_62	Lance-flammes
MSG_MON_ATK_63	Rayons infrarouges
MSG_MON_ATK_64	Flambée
MSG_MON_ATK_65	Zantetsuken
MSG_MON_ATK_66	Mégafission
MSG_MON_ATK_67	Épines
MSG_MON_ATK_68	Riposte
MSG_MON_ATK_69	Régénération
MSG_MON_ATK_71	Météore²
MSG_MAG_INF_01	Inflige l'altération d'état Paralysie.
MSG_MAG_INF_02	Inflige l'altération d'état Silence.
MSG_MAG_INF_03	Inflige l'altération d'état Confusion.
MSG_MAG_INF_04	Permet de créer une ombre de soi-même afin de déconcerter l'ennemi.
MSG_MAG_INF_05	Réduit les dégâts physiques.
MSG_MAG_INF_06	Réduit les dégâts magiques.
MSG_MAG_INF_07	Ralentit le passage du temps.
MSG_MAG_INF_08	Accélère le passage du temps.
MSG_MAG_INF_09	Inflige l'altération d'état Furie.
MSG_MAG_INF_10	Crée autour de la cible un champ de force magique qui réfléchit les sorts.
MSG_MAG_INF_11	Inflige des dégâts élémentaires de lumière.
MSG_MAG_INF_12	Dissipe les effets magiques.
MSG_MAG_INF_13	Permet de découvrir les PV de la cible et son ou ses points faibles.
MSG_MAG_INF_14	Rend des PV.
MSG_MAG_INF_15	Rend des PV.
MSG_MAG_INF_16	Rend des PV.
MSG_MAG_INF_17	Rend des PV.
MSG_MAG_INF_18	Guérit toutes les altérations d'état, sauf Coma.
MSG_MAG_INF_19	Ressuscite la cible.
MSG_MAG_INF_20	Ressuscite la cible et lui rend tous ses PV.
MSG_MAG_INF_21	Guérit l'altération d'état Mini ou rétrécit la cible.
MSG_MAG_INF_22	Téléporte l'équipe hors d'un donjon ou hors d'un combat.
MSG_MAG_INF_23	Permet de consulter la carte détaillée.
MSG_MAG_INF_24	Fait léviter la cible.
MSG_MAG_INF_25	Guérit l'altération d'état Crapaud ou transforme la cible en crapaud.
MSG_MAG_INF_26	Guérit l'altération d'état Porcelet ou transforme la cible en porcelet.
MSG_MAG_INF_27	Téléporte l'équipe à l'étage précédent.
MSG_MAG_INF_28	Inflige l'altération d'état Poison.
MSG_MAG_INF_29	Inflige des dégâts élémentaires de feu.
MSG_MAG_INF_30	Inflige des dégâts élémentaires de feu.
MSG_MAG_INF_31	Inflige des dégâts élémentaires de feu.
MSG_MAG_INF_32	Inflige des dégâts élémentaires de glace.
MSG_MAG_INF_33	Inflige des dégâts élémentaires de glace.
MSG_MAG_INF_34	Inflige des dégâts élémentaires de glace.
MSG_MAG_INF_35	Inflige des dégâts élémentaires de foudre.
MSG_MAG_INF_36	Inflige des dégâts élémentaires de foudre.
MSG_MAG_INF_37	Inflige des dégâts élémentaires de foudre.
MSG_MAG_INF_38	Libère un virus qui inflige l'altération d'état Nécrose.
MSG_MAG_INF_39	Crée un cyclone qui inflige de lourds dégâts.
MSG_MAG_INF_40	Cause un tremblement de terre qui inflige des dégâts à tous les ennemis.
MSG_MAG_INF_41	Inflige l'altération d'état Sommeil.
MSG_MAG_INF_42	Inflige l'altération d'état Pierre.
MSG_MAG_INF_43	Inflige l'altération d'état Coma.
MSG_MAG_INF_44	Arrête le temps et empêche la cible d'agir.
MSG_MAG_INF_45	Absorbe les PV de la cible.
MSG_MAG_INF_46	Absorbe les PM de la cible.
MSG_MAG_INF_47	Lance une pluie de météorites qui inflige des dégâts importants à tous les ennemis.
MSG_MAG_INF_48	Inflige des dégâts calorifiques.
MSG_MAG_INF_49	[Gobelipunch] Inflige des dégâts à un ennemi.
MSG_MAG_INF_50	[Auto-destruction] Inflige des dégâts à un ennemi en fonction des PV actuels de l'invocateur.
MSG_MAG_INF_51	[Bec de pierre] Inflige l'altération d'état Pierre à un ennemi.
MSG_MAG_INF_52	[Psychochoc] Inflige les altérations d'état Nécrose et Paralysie à un ennemi.
MSG_MAG_INF_53	[Ruée] Inflige des dégâts à un ennemi.
MSG_MAG_INF_54	[Poussière de diamant] Inflige des dégâts élémentaires de glace à tous les ennemis.
MSG_MAG_INF_55	[Foudre du jugement] Inflige des dégâts élémentaires de foudre à tous les ennemis.
MSG_MAG_INF_56	[Flammes de l'enfer] Inflige des dégâts élémentaires de feu à tous les ennemis.
MSG_MAG_INF_57	[Colère de Gaïa] Inflige des dégâts élémentaires de terre à tous les ennemis.
MSG_MAG_INF_58	[Souffle étincelant] Inflige des dégâts à tous les ennemis en fonction des PV actuels de l'invocateur.
MSG_MAG_INF_59	[Alizé] Absorbe les PV d'un ennemi afin de les distribuer aux alliés.
MSG_MAG_INF_60	[Zantetsuken] Élimine instantanément tous les ennemis.
MSG_MAG_INF_61	[Tsunami] Inflige des dégâts importants à tous les ennemis.
MSG_MAG_INF_62	[Bénédiction d'Asura] Lance Soin³, Bouclier ou Vie sur tous les alliés.
MSG_MAG_INF_63	[Mégafission] Inflige des dégâts calorifiques importants à tous les ennemis.
MSG_MAG_INF_64	Technique ninja qui calcine tous les ennemis.
MSG_MAG_INF_65	Technique ninja qui submerge tous les ennemis en créant un raz-de-marée.
MSG_MAG_INF_66	Technique ninja qui électrifie tous les ennemis.
MSG_MAG_INF_67	Technique ninja qui crée un voile de fumée pour aider l'équipe à s'échapper.
MSG_MAG_INF_68	Technique ninja qui cloue l'ennemi sur place afin de l'empêcher d'agir.
MSG_MAG_INF_69	Technique ninja qui permet de créer une ombre de soi-même afin de déconcerter l'ennemi.
MSG_WEAPON_NAME_01	<IC_CLW>Griffe de feu
MSG_WEAPON_NAME_02	<IC_CLW>Griffe de glace
MSG_WEAPON_NAME_03	<IC_CLW>Griffe de foudre
MSG_WEAPON_NAME_04	<IC_CLW>Griffe féerique
MSG_WEAPON_NAME_05	<IC_CLW>Griffe infernale
MSG_WEAPON_NAME_06	<IC_CLW>Griffe de chat
MSG_WEAPON_NAME_07	<IC_ROD>Sceptre
MSG_WEAPON_NAME_08	<IC_ROD>Masse de glace
MSG_WEAPON_NAME_09	<IC_ROD>Masse de feu
MSG_WEAPON_NAME_10	<IC_ROD>Masse de foudre
MSG_WEAPON_NAME_11	<IC_ROD>Sceptre labile
MSG_WEAPON_NAME_12	<IC_ROD>Sceptre féerique
MSG_WEAPON_NAME_13	<IC_ROD>Sceptre astral
MSG_WEAPON_NAME_14	<IC_ROD>Sceptre de lilith
MSG_WEAPON_NAME_15	<IC_WND>Bâton
MSG_WEAPON_NAME_16	<IC_WND>Caducée
MSG_WEAPON_NAME_17	<IC_WND>Bâton de mithril
MSG_WEAPON_NAME_18	<IC_WND>Gourdin
MSG_WEAPON_NAME_19	<IC_WND>Bâton d'aura
MSG_WEAPON_NAME_20	<IC_WND>Bâton de sage
MSG_WEAPON_NAME_21	<IC_WND>Bâton runique
MSG_WEAPON_NAME_22	<IC_DSRD>Épée noire
MSG_WEAPON_NAME_23	<IC_DSRD>Lame obscure
MSG_WEAPON_NAME_24	<IC_DSRD>Calamité
MSG_WEAPON_NAME_25	<IC_NSRD>Épée légendaire
MSG_WEAPON_NAME_26	<IC_NSRD>Épée céleste
MSG_WEAPON_NAME_27	<IC_NSRD>Excalibur
MSG_WEAPON_NAME_28	<IC_NSRD>Ragnarok
MSG_WEAPON_NAME_29	<IC_SRD>Épée de feu
MSG_WEAPON_NAME_30	<IC_SRD>Épée de glace
MSG_WEAPON_NAME_31	<IC_SRD>Lame gardienne
MSG_WEAPON_NAME_32	<IC_SRD>Épée sanguine
MSG_WEAPON_NAME_33	<IC_SRD>Glaive chtonien
MSG_WEAPON_NAME_34	<IC_SRD>Sabre soupirs
MSG_WEAPON_NAME_35	<IC_SRD>Carnage
MSG_WEAPON_NAME_36	<IC_SRD>Épée de mithril
MSG_WEAPON_NAME_37	<IC_SRD>Vengeresse
MSG_WEAPON_NAME_38	<IC_SPR>Lance
MSG_WEAPON_NAME_39	<IC_SPR>Lance zéphyr
MSG_WEAPON_NAME_40	<IC_SPR>Lance de feu
MSG_WEAPON_NAME_41	<IC_SPR>Lance de glace
MSG_WEAPON_NAME_42	<IC_SPR>Lance de vouivre
MSG_WEAPON_NAME_43	<IC_SPR>Lance sacrée
MSG_WEAPON_NAME_44	<IC_SPR>Lance sanguine
MSG_WEAPON_NAME_45	<IC_SPR>Gungnir
MSG_WEAPON_NAME_46	<IC_KTN>Kunai
MSG_WEAPON_NAME_47	<IC_KTN>Ashura
MSG_WEAPON_NAME_48	<IC_KTN>Kotetsu
MSG_WEAPON_NAME_49	<IC_KTN>Kiku-ichimonji
MSG_WEAPON_NAME_50	<IC_KTN>Murasame
MSG_WEAPON_NAME_51	<IC_KTN>Masamune
MSG_WEAPON_NAME_52	<IC_NIF>Mutisma
MSG_WEAPON_NAME_53	<IC_NIF>Dague de mithril
MSG_WEAPON_NAME_54	<IC_NIF>Dague dansante
MSG_WEAPON_NAME_55	<IC_NIF>Couteau
MSG_WEAPON_NAME_56	<IC_WHP>Fouet
MSG_WEAPON_NAME_57	<IC_WHP>Discipline
MSG_WEAPON_NAME_58	<IC_WHP>Fouet de foudre
MSG_WEAPON_NAME_59	<IC_WHP>Fouet de feu
MSG_WEAPON_NAME_60	<IC_WHP>Barbe de dragon
MSG_WEAPON_NAME_61	<IC_AX>Hache des nains
MSG_WEAPON_NAME_62	<IC_AX>Hachoir
MSG_WEAPON_NAME_63	<IC_AX>Hache toxique
MSG_WEAPON_NAME_64	<IC_AX>Hache runique
MSG_WEAPON_NAME_65	<IC_SRK>Shuriken
MSG_WEAPON_NAME_66	<IC_SRK>Fuma shuriken
MSG_WEAPON_NAME_67	<IC_TRW>Boomerang
MSG_WEAPON_NAME_68	<IC_TRW>Pleine lune
MSG_WEAPON_NAME_69	<IC_HRP>Lyre onirique
MSG_WEAPON_NAME_70	<IC_HRP>Lyre de lamia
MSG_WEAPON_NAME_71	<IC_HMR>Marteau en bois
MSG_WEAPON_NAME_72	<IC_HMR>Marteau de mithril
MSG_WEAPON_NAME_73	<IC_HMR>Marteau de Gaïa
MSG_WEAPON_NAME_74	<IC_BOW>Arc
MSG_WEAPON_NAME_75	<IC_BOW>Arbalète
MSG_WEAPON_NAME_76	<IC_BOW>Grand arc
MSG_WEAPON_NAME_77	<IC_BOW>Arc assassin
MSG_WEAPON_NAME_78	<IC_BOW>Arc elfique
MSG_WEAPON_NAME_79	<IC_BOW>Arc de Yoïchi
MSG_WEAPON_NAME_80	<IC_BOW>Arc d'Artémis
MSG_WEAPON_NAME_81	<IC_ARW>Flèches d'acier
MSG_WEAPON_NAME_82	<IC_ARW>Flèches sacrées
MSG_WEAPON_NAME_83	<IC_ARW>Flèches de feu
MSG_WEAPON_NAME_84	<IC_ARW>Flèches de glace
MSG_WEAPON_NAME_85	<IC_ARW>Flèches de foudre
MSG_WEAPON_NAME_86	<IC_ARW>Flèches aveuglantes
MSG_WEAPON_NAME_87	<IC_ARW>Flèches toxiques
MSG_WEAPON_NAME_88	<IC_ARW>Flèches motus
MSG_WEAPON_NAME_89	<IC_ARW>Flèches angéliques
MSG_WEAPON_NAME_90	<IC_ARW>Flèches de Yoïchi
MSG_WEAPON_NAME_91	<IC_ARW>Flèches de gorgone
MSG_WEAPON_NAME_92	<IC_ARW>Flèches d'Artémis
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Rage Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>Bouclier d'acier
MSG_ARMOR_NAME_02	<IC_SHIELD>Bouclier noir
MSG_ARMOR_NAME_03	<IC_SHIELD>Bouclier démonial
MSG_ARMOR_NAME_04	<IC_SHIELD>Bouclier céleste
MSG_ARMOR_NAME_05	<IC_SHIELD>Bouclier de mithril
MSG_ARMOR_NAME_06	<IC_SHIELD>Bouclier de feu
MSG_ARMOR_NAME_07	<IC_SHIELD>Bouclier de glace
MSG_ARMOR_NAME_08	<IC_SHIELD>Pavois de diamant
MSG_ARMOR_NAME_09	<IC_SHIELD>Bouclier d'Égide
MSG_ARMOR_NAME_10	<IC_SHIELD>Bouclier de Genji
MSG_ARMOR_NAME_11	<IC_SHIELD>Pavois du dragon
MSG_ARMOR_NAME_12	<IC_SHIELD>Pavois de cristal
MSG_ARMOR_NAME_13	<IC_HEAD>Casque d'acier
MSG_ARMOR_NAME_14	<IC_HEAD>Armet noir
MSG_ARMOR_NAME_15	<IC_HEAD>Armet d'Hadès
MSG_ARMOR_NAME_16	<IC_HEAD>Armet démonial
MSG_ARMOR_NAME_17	<IC_HEAD>Armet céleste
MSG_ARMOR_NAME_18	<IC_HEAD>Armet de mithril
MSG_ARMOR_NAME_19	<IC_HEAD>Armet de diamant
MSG_ARMOR_NAME_20	<IC_HEAD>Casque de Genji
MSG_ARMOR_NAME_21	<IC_HEAD>Casque du dragon
MSG_ARMOR_NAME_22	<IC_HEAD>Casque de cristal
MSG_ARMOR_NAME_23	<IC_HEAD>Casque
MSG_ARMOR_NAME_24	<IC_HEAD>Chapeau à plumes
MSG_ARMOR_NAME_25	<IC_HEAD>Chapeau pointu
MSG_ARMOR_NAME_26	<IC_HEAD>Mitre de prêtre
MSG_ARMOR_NAME_27	<IC_HEAD>Broche d'or
MSG_ARMOR_NAME_28	<IC_HEAD>Ruban
MSG_ARMOR_NAME_29	<IC_HEAD>Bandeau torsadé
MSG_ARMOR_NAME_30	<IC_HEAD>Béret vert
MSG_ARMOR_NAME_31	<IC_HEAD>Capuchon noir
MSG_ARMOR_NAME_32	<IC_HEAD>Masque de verre
MSG_ARMOR_NAME_33	<IC_ARMOR>Armure d'acier
MSG_ARMOR_NAME_34	<IC_ARMOR>Armure noire
MSG_ARMOR_NAME_35	<IC_ARMOR>Armure d'Hadès
MSG_ARMOR_NAME_36	<IC_ARMOR>Armure démoniale
MSG_ARMOR_NAME_37	<IC_ARMOR>Armure céleste
MSG_ARMOR_NAME_38	<IC_ARMOR>Armure de mithril
MSG_ARMOR_NAME_39	<IC_ARMOR>Cotte de feu
MSG_ARMOR_NAME_40	<IC_ARMOR>Cotte de glace
MSG_ARMOR_NAME_41	<IC_ARMOR>Cotte de diamant
MSG_ARMOR_NAME_42	<IC_ARMOR>Armure de Genji
MSG_ARMOR_NAME_43	<IC_ARMOR>Armure du dragon
MSG_ARMOR_NAME_44	<IC_ARMOR>Cotte de cristal
MSG_ARMOR_NAME_45	<IC_CLTH>Vêtements
MSG_ARMOR_NAME_46	<IC_CLTH>Veste de cuir
MSG_ARMOR_NAME_47	<IC_CLTH>Robe de Gaïa
MSG_ARMOR_NAME_48	<IC_CLTH>Surplis de sage
MSG_ARMOR_NAME_49	<IC_CLTH>Robe noire
MSG_ARMOR_NAME_50	<IC_CLTH>Robe de lumière
MSG_ARMOR_NAME_51	<IC_CLTH>Robe blanche
MSG_ARMOR_NAME_52	<IC_CLTH>Harnais de force
MSG_ARMOR_NAME_53	<IC_CLTH>Cotte de Minerve
MSG_ARMOR_NAME_54	<IC_CLTH>Hardes de prisonnier
MSG_ARMOR_NAME_55	<IC_CLTH>Tunique de barde
MSG_ARMOR_NAME_56	<IC_CLTH>Kenpogi
MSG_ARMOR_NAME_57	<IC_CLTH>Ceinture noire
MSG_ARMOR_NAME_58	<IC_ARMOR>Cotte d'adamantine
MSG_ARMOR_NAME_59	<IC_CLTH>Tenue noire
MSG_ARMOR_NAME_60	<IC_GLOV>Gants d'acier
MSG_ARMOR_NAME_61	<IC_GLOV>Gants noirs
MSG_ARMOR_NAME_62	<IC_GLOV>Gants d'Hadès
MSG_ARMOR_NAME_63	<IC_GLOV>Gants démoniaux
MSG_ARMOR_NAME_64	<IC_GLOV>Gantelets
MSG_ARMOR_NAME_65	<IC_GLOV>Gants de mithril
MSG_ARMOR_NAME_66	<IC_GLOV>Gants de diamant
MSG_ARMOR_NAME_67	<IC_GLOV>Gants de gigas
MSG_ARMOR_NAME_68	<IC_GLOV>Gants de Genji
MSG_ARMOR_NAME_69	<IC_GLOV>Gants du dragon
MSG_ARMOR_NAME_70	<IC_GLOV>Gants de cristal
MSG_ARMOR_NAME_71	<IC_GLOV>Bracelet d'acier
MSG_ARMOR_NAME_72	<IC_GLOV>Bague rubis
MSG_ARMOR_NAME_73	<IC_GLOV>Bracelet d'argent
MSG_ARMOR_NAME_74	<IC_GLOV>Poignet de force
MSG_ARMOR_NAME_75	<IC_GLOV>Bracelet runique
MSG_ARMOR_NAME_76	<IC_GLOV>Bague de cristal
MSG_ARMOR_NAME_77	<IC_GLOV>Bracelet de diamant
MSG_ARMOR_NAME_78	<IC_GLOV>Chevalière
MSG_ARMOR_NAME_79	<IC_GLOV>Anneau maudit
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
