MSG_CHAR_NAME_01	セシル
MSG_MAGIC_NAME_90	アスラ
MSG_MAGIC_NAME_91	メガフレア
MSG_MON_ATK_01	視線
MSG_MON_ATK_02	ブラスター
MSG_MON_ATK_03	平手打ち
MSG_MON_ATK_04	りんぷん
MSG_MON_ATK_05	瞳
MSG_MON_ATK_06	誘惑
MSG_MON_ATK_07	舌
MSG_MON_ATK_08	呪い
MSG_MON_ATK_09	指先
MSG_MON_ATK_10	死の宣告
MSG_MON_ATK_11	くちばし
MSG_MON_ATK_12	石化にらみ
MSG_MON_ATK_13	マインドブラスト
MSG_MON_ATK_14	抱擁
MSG_MON_ATK_15	臭い息
MSG_MON_ATK_16	ささやき
MSG_MON_ATK_17	巻きつき
MSG_MON_ATK_18	ワール
MSG_MON_ATK_19	次元のひずみ
MSG_MON_ATK_20	冷たい霧
MSG_MON_ATK_21	大爆発
MSG_MON_ATK_22	呪いの歌
MSG_MON_ATK_23	呪縛の冷気
MSG_MON_ATK_24	睡眠ガス
MSG_MON_ATK_25	毒ガス
MSG_MON_ATK_26	透過レーザー
MSG_MON_ATK_27	黒い牙
MSG_MON_ATK_28	ブラックホール
MSG_MON_ATK_29	王女の歌
MSG_MON_ATK_30	９ディメンジョン
MSG_MON_ATK_31	ミールストーム
MSG_MON_ATK_32	電磁場
MSG_MON_ATK_33	連鎖爆発
MSG_MON_ATK_34	ふか
MSG_MON_ATK_35	回復
MSG_MON_ATK_36	吸収
MSG_MON_ATK_37	治療
MSG_MON_ATK_38	ビッグバーン
MSG_MON_ATK_39	吸血
MSG_MON_ATK_40	消化液
MSG_MON_ATK_41	花粉
MSG_MON_ATK_42	クラッシュダウン
MSG_MON_ATK_43	警報
MSG_MON_ATK_44	召喚
MSG_MON_ATK_45	ターゲッティング
MSG_MON_ATK_46	核爆発
MSG_MON_ATK_47	撤退
MSG_MON_ATK_48	ビーム
MSG_MON_ATK_49	物体199
MSG_MON_ATK_50	炎
MSG_MON_ATK_51	ブレイズ
MSG_MON_ATK_52	稲妻
MSG_MON_ATK_53	雷
MSG_MON_ATK_54	ダークブレス
MSG_MON_ATK_55	大津波
MSG_MON_ATK_56	吹雪
MSG_MON_ATK_57	津波
MSG_MON_ATK_58	竜巻
MSG_MON_ATK_59	レーザー
MSG_MON_ATK_60	自爆
MSG_MON_ATK_61	地震
MSG_MON_ATK_62	火炎放射
MSG_MON_ATK_63	熱線
MSG_MON_ATK_64	火炎流
MSG_MON_ATK_65	斬鉄剣
MSG_MON_ATK_66	メガフレア
MSG_MON_ATK_67	針
MSG_MON_ATK_68	反撃の角
MSG_MON_ATK_69	再生
MSG_MON_ATK_71	Ｗメテオ
MSG_MAG_INF_01	「マヒ」状態にする
MSG_MAG_INF_02	「沈黙」状態にする
MSG_MAG_INF_03	「混乱」状態にする
MSG_MAG_INF_04	敵の目をあざむく分身を作り出す
MSG_MAG_INF_05	防御力を上げる魔法のまくを張る
MSG_MAG_INF_06	魔法防御力を上げる魔法のまくを張る
MSG_MAG_INF_07	時間の流れを遅くする
MSG_MAG_INF_08	時間の流れを早くする
MSG_MAG_INF_09	「狂戦士」状態にする
MSG_MAG_INF_10	魔法を反射するバリアを張る
MSG_MAG_INF_11	聖なる力をぶつけて攻撃する
MSG_MAG_INF_12	魔法効果を消し去る
MSG_MAG_INF_13	ＨＰと弱点を調べる
MSG_MAG_INF_14	ＨＰを回復する
MSG_MAG_INF_15	ＨＰを回復する
MSG_MAG_INF_16	ＨＰを回復する
MSG_MAG_INF_17	ＨＰを回復する
MSG_MAG_INF_18	「戦闘不能」以外の状態異常を回復する
MSG_MAG_INF_19	「戦闘不能」を回復する
MSG_MAG_INF_20	「戦闘不能」を回復しＨＰを全回復する
MSG_MAG_INF_21	「こびと」にしたり戻したりする
MSG_MAG_INF_22	ダンジョンや戦闘から脱出する
MSG_MAG_INF_23	詳しい地図を見る
MSG_MAG_INF_24	体を浮かせる
MSG_MAG_INF_25	「カエル」にしたり戻したりする
MSG_MAG_INF_26	「ブタ」にしたり戻したりする
MSG_MAG_INF_27	ひとつ前のフロアに戻る
MSG_MAG_INF_28	「毒」状態にする
MSG_MAG_INF_29	炎を放って攻撃する
MSG_MAG_INF_30	炎を放って攻撃する
MSG_MAG_INF_31	炎を放って攻撃する
MSG_MAG_INF_32	冷気を放って攻撃する
MSG_MAG_INF_33	冷気を放って攻撃する
MSG_MAG_INF_34	冷気を放って攻撃する
MSG_MAG_INF_35	雷を発生させて攻撃する
MSG_MAG_INF_36	雷を発生させて攻撃する
MSG_MAG_INF_37	雷を発生させて攻撃する
MSG_MAG_INF_38	細菌を発生させて攻撃しスリップダメージも与える
MSG_MAG_INF_39	竜巻を発生させて瀕死のダメージを与える
MSG_MAG_INF_40	地震を起こして敵全体にダメージを与える
MSG_MAG_INF_41	「眠り」状態にする
MSG_MAG_INF_42	「石化」状態にする
MSG_MAG_INF_43	生命活動を停止させ「戦闘不能」にする
MSG_MAG_INF_44	時間の流れを止めて行動できなくする
MSG_MAG_INF_45	ＨＰを吸収する
MSG_MAG_INF_46	ＭＰを吸収する
MSG_MAG_INF_47	隕石を落として敵全体にダメージを与える
MSG_MAG_INF_48	熱エネルギーを爆発させてダメージを与える
MSG_MAG_INF_49	敵１体を攻撃する\n「ゴブリンパンチ」を放つ
MSG_MAG_INF_50	敵１体に自分の現在ＨＰに応じたダメージを与える\n「自爆」を放つ
MSG_MAG_INF_51	敵１体を「石化」状態にする\n「石化くちばし」を放つ
MSG_MAG_INF_52	敵１体にスリップダメージを与え「マヒ」状態にする\n「マインドブラスト」を放つ
MSG_MAG_INF_53	敵１体を攻撃する\n「チョコボキック」を放つ
MSG_MAG_INF_54	敵全体を冷気で攻撃する\n「吹雪」を放つ
MSG_MAG_INF_55	敵全体を雷で攻撃する\n「裁きの雷」を放つ
MSG_MAG_INF_56	敵全体を炎で攻撃する\n「地獄の火炎」を放つ
MSG_MAG_INF_57	敵全体に地震でダメージを与える\n「大地の怒り」を放つ
MSG_MAG_INF_58	敵全体に自分の現在ＨＰに応じたダメージを与える\n「霧のブレス」を放つ
MSG_MAG_INF_59	敵１体のＨＰを吸収し味方全員を回復する\n「風のささやき」を放つ
MSG_MAG_INF_60	敵全体を即死させる\n「斬鉄剣」を放つ
MSG_MAG_INF_61	敵全体に大ダメージを与える\n「津波」を放つ
MSG_MAG_INF_62	「ケアルダ」「プロテス」「レイズ」の\nいずれかを発動する
MSG_MAG_INF_63	敵全体に高熱エネルギーで大ダメージを与える\n「メガフレア」を放つ
MSG_MAG_INF_64	炎を発生させ敵全体を攻撃する
MSG_MAG_INF_65	津波を発生させ敵全体を攻撃する
MSG_MAG_INF_66	雷を発生させ敵全体を攻撃する
MSG_MAG_INF_67	煙で敵の目をごまかし戦闘から脱出する
MSG_MAG_INF_68	敵の動きを止め行動不能にする
MSG_MAG_INF_69	敵の目をあざむく分身を自分に作り出す
MSG_WEAPON_NAME_01	<IC_CLW>炎の爪
MSG_WEAPON_NAME_02	<IC_CLW>氷の爪
MSG_WEAPON_NAME_03	<IC_CLW>雷の爪
MSG_WEAPON_NAME_04	<IC_CLW>妖精の爪
MSG_WEAPON_NAME_05	<IC_CLW>地獄の爪
MSG_WEAPON_NAME_06	<IC_CLW>猫の爪
MSG_WEAPON_NAME_07	<IC_ROD>ロッド
MSG_WEAPON_NAME_08	<IC_ROD>アイスロッド
MSG_WEAPON_NAME_09	<IC_ROD>フレイムロッド
MSG_WEAPON_NAME_10	<IC_ROD>サンダーロッド
MSG_WEAPON_NAME_11	<IC_ROD>変化のロッド
MSG_WEAPON_NAME_12	<IC_ROD>妖精のロッド
MSG_WEAPON_NAME_13	<IC_ROD>星くずのロッド
MSG_WEAPON_NAME_14	<IC_ROD>リリスのロッド
MSG_WEAPON_NAME_15	<IC_WND>杖
MSG_WEAPON_NAME_16	<IC_WND>いやしの杖
MSG_WEAPON_NAME_17	<IC_WND>ミスリルの杖
MSG_WEAPON_NAME_18	<IC_WND>力の杖
MSG_WEAPON_NAME_19	<IC_WND>波動の杖
MSG_WEAPON_NAME_20	<IC_WND>賢者の杖
MSG_WEAPON_NAME_21	<IC_WND>ルーンの杖
MSG_WEAPON_NAME_22	<IC_DSRD>暗黒の剣
MSG_WEAPON_NAME_23	<IC_DSRD>シャドーブレイド
MSG_WEAPON_NAME_24	<IC_DSRD>デスブリンガー
MSG_WEAPON_NAME_25	<IC_NSRD>伝説の剣
MSG_WEAPON_NAME_26	<IC_NSRD>光の剣
MSG_WEAPON_NAME_27	<IC_NSRD>エクスカリバー
MSG_WEAPON_NAME_28	<IC_NSRD>ラグナロク
MSG_WEAPON_NAME_29	<IC_SRD>フレイムソード
MSG_WEAPON_NAME_30	<IC_SRD>アイスブランド
MSG_WEAPON_NAME_31	<IC_SRD>ディフェンダー
MSG_WEAPON_NAME_32	<IC_SRD>ブラッドソード
MSG_WEAPON_NAME_33	<IC_SRD>古代の剣
MSG_WEAPON_NAME_34	<IC_SRD>眠りの剣
MSG_WEAPON_NAME_35	<IC_SRD>ブレイクブレイド
MSG_WEAPON_NAME_36	<IC_SRD>ミスリルソード
MSG_WEAPON_NAME_37	<IC_SRD>アヴェンジャー
MSG_WEAPON_NAME_38	<IC_SPR>スピア
MSG_WEAPON_NAME_39	<IC_SPR>ウィンドスピア
MSG_WEAPON_NAME_40	<IC_SPR>炎の槍
MSG_WEAPON_NAME_41	<IC_SPR>氷の槍
MSG_WEAPON_NAME_42	<IC_SPR>飛竜の槍
MSG_WEAPON_NAME_43	<IC_SPR>ホーリーランス
MSG_WEAPON_NAME_44	<IC_SPR>ブラッドランス
MSG_WEAPON_NAME_45	<IC_SPR>グングニル
MSG_WEAPON_NAME_46	<IC_KTN>くない
MSG_WEAPON_NAME_47	<IC_KTN>阿修羅
MSG_WEAPON_NAME_48	<IC_KTN>虎徹
MSG_WEAPON_NAME_49	<IC_KTN>菊一文字
MSG_WEAPON_NAME_50	<IC_KTN>村雨
MSG_WEAPON_NAME_51	<IC_KTN>正宗
MSG_WEAPON_NAME_52	<IC_NIF>メイジマッシャー
MSG_WEAPON_NAME_53	<IC_NIF>ミスリルナイフ
MSG_WEAPON_NAME_54	<IC_NIF>ダンシングダガー
MSG_WEAPON_NAME_55	<IC_NIF>包丁
MSG_WEAPON_NAME_56	<IC_WHP>鞭
MSG_WEAPON_NAME_57	<IC_WHP>チェンウィップ
MSG_WEAPON_NAME_58	<IC_WHP>電撃鞭
MSG_WEAPON_NAME_59	<IC_WHP>ファイアビュート
MSG_WEAPON_NAME_60	<IC_WHP>竜のヒゲ
MSG_WEAPON_NAME_61	<IC_AX>ドワーフの斧
MSG_WEAPON_NAME_62	<IC_AX>オーガキラー
MSG_WEAPON_NAME_63	<IC_AX>ポイズンアクス
MSG_WEAPON_NAME_64	<IC_AX>ルーンアクス
MSG_WEAPON_NAME_65	<IC_SRK>手裏剣
MSG_WEAPON_NAME_66	<IC_SRK>風魔手裏剣
MSG_WEAPON_NAME_67	<IC_TRW>ブーメラン
MSG_WEAPON_NAME_68	<IC_TRW>円月輪
MSG_WEAPON_NAME_69	<IC_HRP>夢の竪琴
MSG_WEAPON_NAME_70	<IC_HRP>ラミアの竪琴
MSG_WEAPON_NAME_71	<IC_HMR>木づち
MSG_WEAPON_NAME_72	<IC_HMR>ミスリルハンマー
MSG_WEAPON_NAME_73	<IC_HMR>大地のハンマー
MSG_WEAPON_NAME_74	<IC_BOW>弓
MSG_WEAPON_NAME_75	<IC_BOW>クロスボウ
MSG_WEAPON_NAME_76	<IC_BOW>グレートボウ
MSG_WEAPON_NAME_77	<IC_BOW>キラーボウ
MSG_WEAPON_NAME_78	<IC_BOW>エルフィンボウ
MSG_WEAPON_NAME_79	<IC_BOW>与一の弓
MSG_WEAPON_NAME_80	<IC_BOW>アルテミスの弓
MSG_WEAPON_NAME_81	<IC_ARW>鉄の矢
MSG_WEAPON_NAME_82	<IC_ARW>聖なる矢
MSG_WEAPON_NAME_83	<IC_ARW>炎の矢
MSG_WEAPON_NAME_84	<IC_ARW>氷の矢
MSG_WEAPON_NAME_85	<IC_ARW>雷の矢
MSG_WEAPON_NAME_86	<IC_ARW>暗闇の矢
MSG_WEAPON_NAME_87	<IC_ARW>毒矢
MSG_WEAPON_NAME_88	<IC_ARW>口封じの矢
MSG_WEAPON_NAME_89	<IC_ARW>天使の矢
MSG_WEAPON_NAME_90	<IC_ARW>与一の矢
MSG_WEAPON_NAME_91	<IC_ARW>メデューサの矢
MSG_WEAPON_NAME_92	<IC_ARW>アルテミスの矢
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>アイアンシールド
MSG_ARMOR_NAME_02	<IC_SHIELD>暗黒の盾
MSG_ARMOR_NAME_03	<IC_SHIELD>デモンズシールド
MSG_ARMOR_NAME_04	<IC_SHIELD>光の盾
MSG_ARMOR_NAME_05	<IC_SHIELD>ミスリルシールド
MSG_ARMOR_NAME_06	<IC_SHIELD>フレイムシールド
MSG_ARMOR_NAME_07	<IC_SHIELD>アイスシールド
MSG_ARMOR_NAME_08	<IC_SHIELD>ダイヤシールド
MSG_ARMOR_NAME_09	<IC_SHIELD>イージスの盾
MSG_ARMOR_NAME_10	<IC_SHIELD>源氏の盾
MSG_ARMOR_NAME_11	<IC_SHIELD>ドラゴンシールド
MSG_ARMOR_NAME_12	<IC_SHIELD>クリスタルの盾
MSG_ARMOR_NAME_13	<IC_HEAD>アイアンヘルム
MSG_ARMOR_NAME_14	<IC_HEAD>暗黒の兜
MSG_ARMOR_NAME_15	<IC_HEAD>ハデスの兜
MSG_ARMOR_NAME_16	<IC_HEAD>デモンズヘルム
MSG_ARMOR_NAME_17	<IC_HEAD>光の兜
MSG_ARMOR_NAME_18	<IC_HEAD>ミスリルヘルム
MSG_ARMOR_NAME_19	<IC_HEAD>ダイヤの兜
MSG_ARMOR_NAME_20	<IC_HEAD>源氏の兜
MSG_ARMOR_NAME_21	<IC_HEAD>ドラゴンヘルム
MSG_ARMOR_NAME_22	<IC_HEAD>クリスタルヘルム
MSG_ARMOR_NAME_23	<IC_HEAD>皮の帽子
MSG_ARMOR_NAME_24	<IC_HEAD>羽根付き帽子
MSG_ARMOR_NAME_25	<IC_HEAD>三角帽子
MSG_ARMOR_NAME_26	<IC_HEAD>司祭の帽子
MSG_ARMOR_NAME_27	<IC_HEAD>金の髪飾り
MSG_ARMOR_NAME_28	<IC_HEAD>リボン
MSG_ARMOR_NAME_29	<IC_HEAD>ねじり鉢巻
MSG_ARMOR_NAME_30	<IC_HEAD>グリーンベレー
MSG_ARMOR_NAME_31	<IC_HEAD>黒頭巾
MSG_ARMOR_NAME_32	<IC_HEAD>ガラスのマスク
MSG_ARMOR_NAME_33	<IC_ARMOR>アイアンアーマー
MSG_ARMOR_NAME_34	<IC_ARMOR>暗黒の鎧
MSG_ARMOR_NAME_35	<IC_ARMOR>ハデスの鎧
MSG_ARMOR_NAME_36	<IC_ARMOR>デモンズアーマー
MSG_ARMOR_NAME_37	<IC_ARMOR>ナイトの鎧
MSG_ARMOR_NAME_38	<IC_ARMOR>ミスリルアーマー
MSG_ARMOR_NAME_39	<IC_ARMOR>フレイムメイル
MSG_ARMOR_NAME_40	<IC_ARMOR>アイスアーマー
MSG_ARMOR_NAME_41	<IC_ARMOR>ダイヤアーマー
MSG_ARMOR_NAME_42	<IC_ARMOR>源氏の鎧
MSG_ARMOR_NAME_43	<IC_ARMOR>ドラゴンメイル
MSG_ARMOR_NAME_44	<IC_ARMOR>クリスタルメイル
MSG_ARMOR_NAME_45	<IC_CLTH>服
MSG_ARMOR_NAME_46	<IC_CLTH>皮の服
MSG_ARMOR_NAME_47	<IC_CLTH>大地の衣
MSG_ARMOR_NAME_48	<IC_CLTH>司祭のローブ
MSG_ARMOR_NAME_49	<IC_CLTH>黒のローブ
MSG_ARMOR_NAME_50	<IC_CLTH>光のローブ
MSG_ARMOR_NAME_51	<IC_CLTH>白のローブ
MSG_ARMOR_NAME_52	<IC_CLTH>力だすき
MSG_ARMOR_NAME_53	<IC_CLTH>ミネルバビスチェ
MSG_ARMOR_NAME_54	<IC_CLTH>囚人の服
MSG_ARMOR_NAME_55	<IC_CLTH>詩人の服
MSG_ARMOR_NAME_56	<IC_CLTH>拳法着
MSG_ARMOR_NAME_57	<IC_CLTH>黒帯道着
MSG_ARMOR_NAME_58	<IC_ARMOR>アダマンアーマー
MSG_ARMOR_NAME_59	<IC_CLTH>黒装束
MSG_ARMOR_NAME_60	<IC_GLOV>鉄の小手
MSG_ARMOR_NAME_61	<IC_GLOV>暗黒の小手
MSG_ARMOR_NAME_62	<IC_GLOV>ハデスの小手
MSG_ARMOR_NAME_63	<IC_GLOV>悪魔の小手
MSG_ARMOR_NAME_64	<IC_GLOV>ガントレット
MSG_ARMOR_NAME_65	<IC_GLOV>ミスリルの小手
MSG_ARMOR_NAME_66	<IC_GLOV>ダイヤの小手
MSG_ARMOR_NAME_67	<IC_GLOV>巨人の小手
MSG_ARMOR_NAME_68	<IC_GLOV>源氏の小手
MSG_ARMOR_NAME_69	<IC_GLOV>ドラゴンの小手
MSG_ARMOR_NAME_70	<IC_GLOV>クリスタルの小手
MSG_ARMOR_NAME_71	<IC_GLOV>鉄の腕輪
MSG_ARMOR_NAME_72	<IC_GLOV>ルビーの指輪
MSG_ARMOR_NAME_73	<IC_GLOV>銀の腕輪
MSG_ARMOR_NAME_74	<IC_GLOV>パワーリスト
MSG_ARMOR_NAME_75	<IC_GLOV>ルーンの腕輪
MSG_ARMOR_NAME_76	<IC_GLOV>クリスタルリング
MSG_ARMOR_NAME_77	<IC_GLOV>ダイヤの腕輪
MSG_ARMOR_NAME_78	<IC_GLOV>守りの指輪
MSG_ARMOR_NAME_79	<IC_GLOV>呪いの指輪
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
MSG_ARMOR_NAME_100	<IC_HEAD>Red Cap
MSG_ARMOR_NAME_101	<IC_HEAD>Rabbit-Ear Hood
MSG_ARMOR_NAME_102	<IC_HEAD>Augustine Tiara
MSG_ARMOR_NAME_103	<IC_HEAD>Star of Kami Kazari
MSG_ARMOR_NAME_104	<IC_HEAD>Royal Crown
MSG_ARMOR_NAME_105	<IC_HEAD>Dual Mask
MSG_ARMOR_NAME_106	<IC_HEAD>Demon Hat
