MSG_CHAR_NAME_01	塞西尔
MSG_MAGIC_NAME_26	<IC_BMGC>猪变
MSG_MAGIC_NAME_27	<IC_BMGC>异次元
MSG_MAGIC_NAME_28	<IC_BMGC>施毒
MSG_MAGIC_NAME_29	<IC_BMGC>火炎
MSG_MAGIC_NAME_30	<IC_BMGC>烈炎
MSG_MAGIC_NAME_31	<IC_BMGC>爆炎
MSG_MAGIC_NAME_32	<IC_BMGC>冰结
MSG_MAGIC_NAME_33	<IC_BMGC>冰冻
MSG_MAGIC_NAME_34	<IC_BMGC>冰封
MSG_MAGIC_NAME_35	<IC_BMGC>闪雷
MSG_MAGIC_NAME_36	<IC_BMGC>震雷
MSG_MAGIC_NAME_37	<IC_BMGC>暴雷
MSG_MAGIC_NAME_38	<IC_BMGC>毒菌
MSG_MAGIC_NAME_39	<IC_BMGC>龙卷风
MSG_MAGIC_NAME_40	<IC_BMGC>地震
MSG_MAGIC_NAME_41	<IC_BMGC>催眠
MSG_MAGIC_NAME_42	<IC_BMGC>石化
MSG_MAGIC_NAME_43	<IC_BMGC>即死
MSG_MAGIC_NAME_44	<IC_BMGC>停止
MSG_MAGIC_NAME_45	<IC_BMGC>吸血
MSG_MAGIC_NAME_46	<IC_BMGC>摄魔
MSG_MAGIC_NAME_47	<IC_BMGC>陨石
MSG_MAGIC_NAME_48	<IC_BMGC>核爆
MSG_MAGIC_NAME_49	<IC_SMGC>哥布林
MSG_MAGIC_NAME_50	<IC_SMGC>爆弹怪
MSG_MAGIC_NAME_51	<IC_SMGC>蛇鸡兽
MSG_MAGIC_NAME_52	<IC_SMGC>夺心魔
MSG_MAGIC_NAME_53	<IC_SMGC>陆行鸟
MSG_MAGIC_NAME_54	<IC_SMGC>希瓦
MSG_MAGIC_NAME_55	<IC_SMGC>拉姆
MSG_MAGIC_NAME_56	<IC_SMGC>伊弗利特
MSG_MAGIC_NAME_57	<IC_SMGC>泰坦
MSG_MAGIC_NAME_58	<IC_SMGC>雾龙
MSG_MAGIC_NAME_59	<IC_SMGC>风精灵
MSG_MAGIC_NAME_60	<IC_SMGC>奥丁
MSG_MAGIC_NAME_61	<IC_SMGC>利维亚桑
MSG_MAGIC_NAME_62	<IC_SMGC>阿修罗
MSG_MAGIC_NAME_63	<IC_SMGC>巴哈姆特
MSG_MAGIC_NAME_64	<IC_BMGC>小型陨石
MSG_MAGIC_NAME_65	<IC_BMGC>小型核爆
MSG_MAGIC_NAME_66	火遁
MSG_MAGIC_NAME_67	水遁
MSG_MAGIC_NAME_68	雷迅
MSG_MAGIC_NAME_69	烟雾弹
MSG_MAGIC_NAME_70	影缚
MSG_MAGIC_NAME_71	分身
MSG_MAGIC_NAME_72	魔法箭
MSG_MAGIC_NAME_73	群疗
MSG_MAGIC_NAME_74	医治
MSG_MAGIC_NAME_75	解毒
MSG_MAGIC_NAME_76	舞者匕首
MSG_MAGIC_NAME_77	哥布林拳
MSG_MAGIC_NAME_78	自爆
MSG_MAGIC_NAME_79	石化吐息
MSG_MAGIC_NAME_80	精神冲击
MSG_MAGIC_NAME_81	陆行鸟踢
MSG_MAGIC_NAME_82	钻石星尘
MSG_MAGIC_NAME_83	制裁之雷
MSG_MAGIC_NAME_84	地狱之火炎
MSG_MAGIC_NAME_85	大地之怒
MSG_MAGIC_NAME_86	迷雾吐息
MSG_MAGIC_NAME_87	风之细语
MSG_MAGIC_NAME_88	斩铁剑
MSG_MAGIC_NAME_89	海啸
MSG_MAGIC_NAME_90	阿修罗
MSG_MAGIC_NAME_91	百万核爆
MSG_MON_ATK_01	视线
MSG_MON_ATK_02	冲击波
MSG_MON_ATK_03	打耳光
MSG_MON_ATK_04	燐粉
MSG_MON_ATK_05	魅惑之瞳
MSG_MON_ATK_06	诱惑
MSG_MON_ATK_07	舌击
MSG_MON_ATK_08	诅咒
MSG_MON_ATK_09	指尖射线
MSG_MON_ATK_10	死亡宣告
MSG_MON_ATK_11	鸟喙
MSG_MON_ATK_12	石化凝视
MSG_MON_ATK_13	精神冲击
MSG_MON_ATK_14	拥抱
MSG_MON_ATK_15	臭气
MSG_MON_ATK_16	耳语
MSG_MON_ATK_17	缠绕
MSG_MON_ATK_18	旋流
MSG_MON_ATK_19	次元扭转
MSG_MON_ATK_20	冷雾
MSG_MON_ATK_21	大爆炸
MSG_MON_ATK_22	诅咒之歌
MSG_MON_ATK_23	咒缚寒气
MSG_MON_ATK_24	睡眠瓦斯
MSG_MON_ATK_25	毒瓦斯
MSG_MON_ATK_26	穿射激光
MSG_MON_ATK_27	黑牙
MSG_MON_ATK_28	黑洞
MSG_MON_ATK_29	公主之歌
MSG_MON_ATK_30	九次元空间
MSG_MON_ATK_31	大漩涡
MSG_MON_ATK_32	电磁场
MSG_MON_ATK_33	连锁爆炸
MSG_MON_ATK_34	孵化
MSG_MON_ATK_35	恢复
MSG_MON_ATK_36	吸收
MSG_MON_ATK_37	治疗
MSG_MON_ATK_38	大爆炸
MSG_MON_ATK_39	吸血
MSG_MON_ATK_40	消化液
MSG_MON_ATK_41	花粉
MSG_MON_ATK_42	压杀
MSG_MON_ATK_43	警报
MSG_MON_ATK_44	召唤
MSG_MON_ATK_45	锁定目标
MSG_MON_ATK_46	核爆发
MSG_MON_ATK_47	撤退
MSG_MON_ATK_48	射线
MSG_MON_ATK_49	重压１９９
MSG_MON_ATK_50	火遁
MSG_MON_ATK_51	冰焰
MSG_MON_ATK_52	雷迅
MSG_MON_ATK_53	天雷
MSG_MON_ATK_54	暗黑吐息
MSG_MON_ATK_55	大海浪
MSG_MON_ATK_56	吹雪
MSG_MON_ATK_57	海啸
MSG_MON_ATK_58	龙卷风
MSG_MON_ATK_59	激光
MSG_MON_ATK_60	自爆
MSG_MON_ATK_61	地震
MSG_MON_ATK_62	火炎放射
MSG_MON_ATK_63	热射线
MSG_MON_ATK_64	火焰流
MSG_MON_ATK_65	斩铁剑
MSG_MON_ATK_66	百万核爆
MSG_MON_ATK_67	针刺
MSG_MON_ATK_68	反击之角
MSG_MON_ATK_69	再生
MSG_MON_ATK_71	双重陨石
MSG_MAG_INF_01	进入麻痹状态
MSG_MAG_INF_02	进入沉默状态
MSG_MAG_INF_03	进入混乱状态
MSG_MAG_INF_04	制造迷惑敌人视线的分身
MSG_MAG_INF_05	张开提高防御力的魔法屏障
MSG_MAG_INF_06	张开提高魔法防御力的魔法屏障
MSG_MAG_INF_07	减慢时间流逝
MSG_MAG_INF_08	加快时间流逝
MSG_MAG_INF_09	进入狂战士状态
MSG_MAG_INF_10	制造可以反弹魔法的屏障
MSG_MAG_INF_11	圣属性的攻击魔法
MSG_MAG_INF_12	解除身上的魔法效果
MSG_MAG_INF_13	调查ＨＰ、ＭＰ及弱点
MSG_MAG_INF_14	恢复ＨＰ
MSG_MAG_INF_15	恢复ＨＰ
MSG_MAG_INF_16	恢复ＨＰ
MSG_MAG_INF_17	恢复ＨＰ
MSG_MAG_INF_18	解除无法战斗状态之外的所有异常状态
MSG_MAG_INF_19	从无法战斗状态中复活
MSG_MAG_INF_20	从无法战斗状态中复活并恢复所有ＨＰ
MSG_MAG_INF_21	进入小人状态或恢复原样
MSG_MAG_INF_22	从迷宫或战斗中脱离
MSG_MAG_INF_23	查看地图详情
MSG_MAG_INF_24	进入漂浮状态
MSG_MAG_INF_25	进入青蛙状态或恢复原样
MSG_MAG_INF_26	进入猪状态或恢复原样
MSG_MAG_INF_27	返回上一层迷宫
MSG_MAG_INF_28	进入中毒状态
MSG_MAG_INF_29	发出火属性攻击
MSG_MAG_INF_30	发出火属性攻击
MSG_MAG_INF_31	发出火属性攻击
MSG_MAG_INF_32	发出冰属性攻击
MSG_MAG_INF_33	发出冰属性攻击
MSG_MAG_INF_34	发出冰属性攻击
MSG_MAG_INF_35	发出雷属性攻击
MSG_MAG_INF_36	发出雷属性攻击
MSG_MAG_INF_37	发出雷属性攻击
MSG_MAG_INF_38	发出细菌攻击，给予失血伤害
MSG_MAG_INF_39	发出龙卷风攻击，令敌人陷入濒死状态
MSG_MAG_INF_40	引发地震对全体敌人进行攻击
MSG_MAG_INF_41	进入睡眠状态
MSG_MAG_INF_42	进入石化状态
MSG_MAG_INF_43	停止目标的生命活动，使其陷入无法战斗状态
MSG_MAG_INF_44	停止时间的流逝，令目标无法行动
MSG_MAG_INF_45	吸收ＨＰ
MSG_MAG_INF_46	吸收ＭＰ
MSG_MAG_INF_47	召唤陨石对全体敌人进行攻击
MSG_MAG_INF_48	引起核爆炸进行攻击
MSG_MAG_INF_49	释放哥布林拳\n攻击单体敌人
MSG_MAG_INF_50	释放自爆\n对单体敌人造成与当前ＨＰ对应的伤害
MSG_MAG_INF_51	释放石化吐息\n令单体敌人进入石化状态
MSG_MAG_INF_52	释放精神冲击\n对单体敌人施加失血效果，使其进入麻痹状态
MSG_MAG_INF_53	释放陆行鸟踢\n攻击单体敌人
MSG_MAG_INF_54	释放钻石星尘\n对全体敌人发动冰属性攻击
MSG_MAG_INF_55	释放制裁之雷\n对全体敌人发动雷属性攻击
MSG_MAG_INF_56	释放地狱之火炎\n对全体敌人发动火属性攻击
MSG_MAG_INF_57	释放大地之怒\n引发地震对全体敌人进行攻击
MSG_MAG_INF_58	释放迷雾吐息\n对全体敌人造成与当前ＨＰ对应的伤害
MSG_MAG_INF_59	释放风之细语\n吸收单体敌人的ＨＰ并恢复我方全体成员的ＨＰ
MSG_MAG_INF_60	释放斩铁剑\n令全体敌人即死
MSG_MAG_INF_61	释放海啸\n给与全体敌人巨大伤害
MSG_MAG_INF_62	发动康疗、护盾、复活中的任意一个
MSG_MAG_INF_63	释放百万核爆\n使全体敌人遭到高热能量的巨大伤害
MSG_MAG_INF_64	引发大火攻击全体敌人
MSG_MAG_INF_65	引发大浪攻击全体敌人
MSG_MAG_INF_66	引发落雷攻击全体敌人
MSG_MAG_INF_67	扔出烟雾弹干扰敌人视线并从战斗中逃脱
MSG_MAG_INF_68	限制敌人的行动
MSG_MAG_INF_69	对自己制造迷惑敌人视线的分身
MSG_WEAPON_NAME_01	<IC_CLW>烈焰爪
MSG_WEAPON_NAME_02	<IC_CLW>寒冰爪
MSG_WEAPON_NAME_03	<IC_CLW>闪雷爪
MSG_WEAPON_NAME_04	<IC_CLW>妖精爪
MSG_WEAPON_NAME_05	<IC_CLW>地狱爪
MSG_WEAPON_NAME_06	<IC_CLW>猫爪
MSG_WEAPON_NAME_07	<IC_ROD>魔棒
MSG_WEAPON_NAME_08	<IC_ROD>玄冰棒
MSG_WEAPON_NAME_09	<IC_ROD>火焰棒
MSG_WEAPON_NAME_10	<IC_ROD>闪雷棒
MSG_WEAPON_NAME_11	<IC_ROD>变化棒
MSG_WEAPON_NAME_12	<IC_ROD>妖精棒
MSG_WEAPON_NAME_13	<IC_ROD>星尘棒
MSG_WEAPON_NAME_14	<IC_ROD>莉莉丝棒
MSG_WEAPON_NAME_15	<IC_WND>手杖
MSG_WEAPON_NAME_16	<IC_WND>治愈之杖
MSG_WEAPON_NAME_17	<IC_WND>秘银杖
MSG_WEAPON_NAME_18	<IC_WND>力量之杖
MSG_WEAPON_NAME_19	<IC_WND>波动之杖
MSG_WEAPON_NAME_20	<IC_WND>贤者之杖
MSG_WEAPON_NAME_21	<IC_WND>符文之杖
MSG_WEAPON_NAME_22	<IC_DSRD>暗黑剑
MSG_WEAPON_NAME_23	<IC_DSRD>暗影剑
MSG_WEAPON_NAME_24	<IC_DSRD>死亡使者
MSG_WEAPON_NAME_25	<IC_NSRD>传说之剑
MSG_WEAPON_NAME_26	<IC_NSRD>光之剑
MSG_WEAPON_NAME_27	<IC_NSRD>王者之剑
MSG_WEAPON_NAME_28	<IC_NSRD>诸神之黄昏
MSG_WEAPON_NAME_29	<IC_SRD>火焰剑
MSG_WEAPON_NAME_30	<IC_SRD>冰印剑
MSG_WEAPON_NAME_31	<IC_SRD>守护者
MSG_WEAPON_NAME_32	<IC_SRD>嗜血剑
MSG_WEAPON_NAME_33	<IC_SRD>古代剑
MSG_WEAPON_NAME_34	<IC_SRD>沉睡之剑
MSG_WEAPON_NAME_35	<IC_SRD>石化剑
MSG_WEAPON_NAME_36	<IC_SRD>秘银剑
MSG_WEAPON_NAME_37	<IC_SRD>复仇者
MSG_WEAPON_NAME_38	<IC_SPR>长枪
MSG_WEAPON_NAME_39	<IC_SPR>疾风枪
MSG_WEAPON_NAME_40	<IC_SPR>火尖枪
MSG_WEAPON_NAME_41	<IC_SPR>玄冰枪
MSG_WEAPON_NAME_42	<IC_SPR>飞龙之枪
MSG_WEAPON_NAME_43	<IC_SPR>圣枪
MSG_WEAPON_NAME_44	<IC_SPR>嗜血枪
MSG_WEAPON_NAME_45	<IC_SPR>神枪昆古尼尔
MSG_WEAPON_NAME_46	<IC_KTN>苦无
MSG_WEAPON_NAME_47	<IC_KTN>阿修罗
MSG_WEAPON_NAME_48	<IC_KTN>虎彻
MSG_WEAPON_NAME_49	<IC_KTN>菊一文字
MSG_WEAPON_NAME_50	<IC_KTN>村雨
MSG_WEAPON_NAME_51	<IC_KTN>正宗
MSG_WEAPON_NAME_52	<IC_NIF>封魔之刃
MSG_WEAPON_NAME_53	<IC_NIF>秘银匕首
MSG_WEAPON_NAME_54	<IC_NIF>舞者匕首
MSG_WEAPON_NAME_55	<IC_NIF>菜刀
MSG_WEAPON_NAME_56	<IC_WHP>长鞭
MSG_WEAPON_NAME_57	<IC_WHP>锁链鞭
MSG_WEAPON_NAME_58	<IC_WHP>电击鞭
MSG_WEAPON_NAME_59	<IC_WHP>烈焰鞭
MSG_WEAPON_NAME_60	<IC_WHP>龙须
MSG_WEAPON_NAME_61	<IC_AX>矮人之斧
MSG_WEAPON_NAME_62	<IC_AX>屠魔斧
MSG_WEAPON_NAME_63	<IC_AX>淬毒斧
MSG_WEAPON_NAME_64	<IC_AX>符文之斧
MSG_WEAPON_NAME_65	<IC_SRK>手里剑
MSG_WEAPON_NAME_66	<IC_SRK>风魔手里剑
MSG_WEAPON_NAME_67	<IC_TRW>回旋镖
MSG_WEAPON_NAME_68	<IC_TRW>圆月轮
MSG_WEAPON_NAME_69	<IC_HRP>美梦竖琴
MSG_WEAPON_NAME_70	<IC_HRP>拉米亚竖琴
MSG_WEAPON_NAME_71	<IC_HMR>木槌
MSG_WEAPON_NAME_72	<IC_HMR>秘银锤
MSG_WEAPON_NAME_73	<IC_HMR>大地之锤
MSG_WEAPON_NAME_74	<IC_BOW>短弓
MSG_WEAPON_NAME_75	<IC_BOW>十字弓
MSG_WEAPON_NAME_76	<IC_BOW>强弓
MSG_WEAPON_NAME_77	<IC_BOW>杀手弓
MSG_WEAPON_NAME_78	<IC_BOW>精灵之弓
MSG_WEAPON_NAME_79	<IC_BOW>与一之弓
MSG_WEAPON_NAME_80	<IC_BOW>月神之弓
MSG_WEAPON_NAME_81	<IC_ARW>铁箭
MSG_WEAPON_NAME_82	<IC_ARW>圣箭
MSG_WEAPON_NAME_83	<IC_ARW>烈火箭
MSG_WEAPON_NAME_84	<IC_ARW>寒冰箭
MSG_WEAPON_NAME_85	<IC_ARW>闪雷箭
MSG_WEAPON_NAME_86	<IC_ARW>黑暗箭
MSG_WEAPON_NAME_87	<IC_ARW>毒箭
MSG_WEAPON_NAME_88	<IC_ARW>失语箭
MSG_WEAPON_NAME_89	<IC_ARW>天使之箭
MSG_WEAPON_NAME_90	<IC_ARW>与一之箭
MSG_WEAPON_NAME_91	<IC_ARW>美杜莎之箭
MSG_WEAPON_NAME_92	<IC_ARW>月神之箭
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>铁盾
MSG_ARMOR_NAME_02	<IC_SHIELD>暗黑盾
MSG_ARMOR_NAME_03	<IC_SHIELD>恶魔之盾
MSG_ARMOR_NAME_04	<IC_SHIELD>光之盾
MSG_ARMOR_NAME_05	<IC_SHIELD>秘银盾
MSG_ARMOR_NAME_06	<IC_SHIELD>烈焰盾
MSG_ARMOR_NAME_07	<IC_SHIELD>寒冰盾
MSG_ARMOR_NAME_08	<IC_SHIELD>钻石盾
MSG_ARMOR_NAME_09	<IC_SHIELD>圣盾
MSG_ARMOR_NAME_10	<IC_SHIELD>源氏之盾
MSG_ARMOR_NAME_11	<IC_SHIELD>龙盾
MSG_ARMOR_NAME_12	<IC_SHIELD>水晶盾
MSG_ARMOR_NAME_13	<IC_HEAD>铁盔
MSG_ARMOR_NAME_14	<IC_HEAD>暗黑头盔
MSG_ARMOR_NAME_15	<IC_HEAD>冥王头盔
MSG_ARMOR_NAME_16	<IC_HEAD>恶魔头盔
MSG_ARMOR_NAME_17	<IC_HEAD>光之头盔
MSG_ARMOR_NAME_18	<IC_HEAD>秘银头盔
MSG_ARMOR_NAME_19	<IC_HEAD>钻石头盔
MSG_ARMOR_NAME_20	<IC_HEAD>源氏之盔
MSG_ARMOR_NAME_21	<IC_HEAD>龙盔
MSG_ARMOR_NAME_22	<IC_HEAD>水晶盔
MSG_ARMOR_NAME_23	<IC_HEAD>皮帽
MSG_ARMOR_NAME_24	<IC_HEAD>羽饰帽子
MSG_ARMOR_NAME_25	<IC_HEAD>三角帽子
MSG_ARMOR_NAME_26	<IC_HEAD>祭司帽子
MSG_ARMOR_NAME_27	<IC_HEAD>黄金发饰
MSG_ARMOR_NAME_28	<IC_HEAD>缎带
MSG_ARMOR_NAME_29	<IC_HEAD>缠头带
MSG_ARMOR_NAME_30	<IC_HEAD>绿色贝雷帽
MSG_ARMOR_NAME_31	<IC_HEAD>黑头巾
MSG_ARMOR_NAME_32	<IC_HEAD>玻璃面具
MSG_ARMOR_NAME_33	<IC_ARMOR>铁铠
MSG_ARMOR_NAME_34	<IC_ARMOR>暗黑铠
MSG_ARMOR_NAME_35	<IC_ARMOR>冥王铠
MSG_ARMOR_NAME_36	<IC_ARMOR>恶魔之铠
MSG_ARMOR_NAME_37	<IC_ARMOR>骑士铠
MSG_ARMOR_NAME_38	<IC_ARMOR>秘银铠
MSG_ARMOR_NAME_39	<IC_ARMOR>烈焰甲
MSG_ARMOR_NAME_40	<IC_ARMOR>寒冰铠
MSG_ARMOR_NAME_41	<IC_ARMOR>钻石铠
MSG_ARMOR_NAME_42	<IC_ARMOR>源氏之铠
MSG_ARMOR_NAME_43	<IC_ARMOR>龙甲
MSG_ARMOR_NAME_44	<IC_ARMOR>水晶甲
MSG_ARMOR_NAME_45	<IC_CLTH>布衣
MSG_ARMOR_NAME_46	<IC_CLTH>皮衣
MSG_ARMOR_NAME_47	<IC_CLTH>大地之衣
MSG_ARMOR_NAME_48	<IC_CLTH>祭司法袍
MSG_ARMOR_NAME_49	<IC_CLTH>黑法袍
MSG_ARMOR_NAME_50	<IC_CLTH>光之法袍
MSG_ARMOR_NAME_51	<IC_CLTH>白法袍
MSG_ARMOR_NAME_52	<IC_CLTH>力量束衣带
MSG_ARMOR_NAME_53	<IC_CLTH>战女神胸衣
MSG_ARMOR_NAME_54	<IC_CLTH>囚服
MSG_ARMOR_NAME_55	<IC_CLTH>诗人短袍
MSG_ARMOR_NAME_56	<IC_CLTH>功夫装
MSG_ARMOR_NAME_57	<IC_CLTH>黑带装
MSG_ARMOR_NAME_58	<IC_ARMOR>精金铠
MSG_ARMOR_NAME_59	<IC_CLTH>黑装束
MSG_ARMOR_NAME_60	<IC_GLOV>铁护手
MSG_ARMOR_NAME_61	<IC_GLOV>暗黑护手
MSG_ARMOR_NAME_62	<IC_GLOV>冥王护手
MSG_ARMOR_NAME_63	<IC_GLOV>恶魔护手
MSG_ARMOR_NAME_64	<IC_GLOV>臂甲
MSG_ARMOR_NAME_65	<IC_GLOV>秘银护手
MSG_ARMOR_NAME_66	<IC_GLOV>钻石护手
MSG_ARMOR_NAME_67	<IC_GLOV>巨人护手
MSG_ARMOR_NAME_68	<IC_GLOV>源氏之护手
MSG_ARMOR_NAME_69	<IC_GLOV>龙护手
MSG_ARMOR_NAME_70	<IC_GLOV>水晶护手
MSG_ARMOR_NAME_71	<IC_GLOV>铁手镯
MSG_ARMOR_NAME_72	<IC_GLOV>红宝石戒指
MSG_ARMOR_NAME_73	<IC_GLOV>银手镯
MSG_ARMOR_NAME_74	<IC_GLOV>力量护臂
MSG_ARMOR_NAME_75	<IC_GLOV>符文手镯
MSG_ARMOR_NAME_76	<IC_GLOV>水晶指环
MSG_ARMOR_NAME_77	<IC_GLOV>钻石手镯
MSG_ARMOR_NAME_78	<IC_GLOV>守护戒指
MSG_ARMOR_NAME_79	<IC_GLOV>诅咒戒指
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
MSG_ARMOR_NAME_100	<IC_HEAD>Red Cap
MSG_ARMOR_NAME_101	<IC_HEAD>Rabbit-Ear Hood
MSG_ARMOR_NAME_102	<IC_HEAD>Augustine Tiara
MSG_ARMOR_NAME_103	<IC_HEAD>Star of Kami Kazari
MSG_ARMOR_NAME_104	<IC_HEAD>Royal Crown
MSG_ARMOR_NAME_105	<IC_HEAD>Dual Mask
MSG_ARMOR_NAME_106	<IC_HEAD>Demon Hat
MSG_ARMOR_NAME_107	<IC_HEAD>Philosopher's Hat
MSG_ARMOR_NAME_108	<IC_HEAD>Grand Helm
MSG_ARMOR_NAME_109	<IC_HEAD>Caesar Helm
MSG_ARMOR_NAME_110	<IC_HEAD>Dragoon Helm
MSG_ARMOR_NAME_111	<IC_HEAD>Edge Demon Helm
MSG_ARMOR_NAME_112	<IC_HEAD>Safety Met
MSG_ARMOR_NAME_113	<IC_ARMOR>Erdrick's Armor
MSG_ARMOR_NAME_114	<IC_SHIELD>Silver Shield
MSG_ITEM_NAME_01	<IC_BAG>爆弹碎片
MSG_ITEM_NAME_02	<IC_BAG>爆弹右臂
MSG_ITEM_NAME_03	<IC_BAG>南极之风
MSG_ITEM_NAME_04	<IC_BAG>北极之风
MSG_ITEM_NAME_05	<IC_BAG>宙斯之怒
MSG_ITEM_NAME_06	<IC_BAG>众神之怒
