MSG_CHAR_NAME_01	Cecil
MSG_MON_ATK_67	Needle
MSG_MON_ATK_68	Counter Horn
MSG_MON_ATK_69	Regenerate
MSG_MON_ATK_71	Double Meteor
MSG_MAG_INF_01	Causes paralysis.
MSG_MAG_INF_02	Causes silence.
MSG_MAG_INF_03	Causes confusion.
MSG_MAG_INF_04	Creates illusions of oneself to trick the enemy.
MSG_MAG_INF_05	Reduces physical damage received.
MSG_MAG_INF_06	Reduces magic damage received.
MSG_MAG_INF_07	Slows the passing of time.
MSG_MAG_INF_08	Hastens the passing of time.
MSG_MAG_INF_09	Causes berserk.
MSG_MAG_INF_10	Creates a barrier that reflects magic back at the caster.
MSG_MAG_INF_11	Attack with holy power.
MSG_MAG_INF_12	Removes magic effects.
MSG_MAG_INF_13	Determines the target's HP and weaknesses.
MSG_MAG_INF_14	Restores HP.
MSG_MAG_INF_15	Restores HP.
MSG_MAG_INF_16	Restores HP.
MSG_MAG_INF_17	Restores HP.
MSG_MAG_INF_18	Cures all status effects except KO.
MSG_MAG_INF_19	Revives a single target.
MSG_MAG_INF_20	Revives and restores full HP to a single target.
MSG_MAG_INF_21	Shrinks the target or restores normal state.
MSG_MAG_INF_22	Warps the party out of a dungeon or battle.
MSG_MAG_INF_23	Displays a detailed map.
MSG_MAG_INF_24	Levitates the target.
MSG_MAG_INF_25	Turns the target into a frog or restores normal state.
MSG_MAG_INF_26	Turns the target into a pig or restores normal state.
MSG_MAG_INF_27	Warps the party back to the previous floor.
MSG_MAG_INF_28	Causes poison.
MSG_MAG_INF_29	Deals fire damage.
MSG_MAG_INF_30	Deals fire damage.
MSG_MAG_INF_31	Deals fire damage.
MSG_MAG_INF_32	Deals ice damage.
MSG_MAG_INF_33	Deals ice damage.
MSG_MAG_INF_34	Deals ice damage.
MSG_MAG_INF_35	Deals lightning damage.
MSG_MAG_INF_36	Deals lightning damage.
MSG_MAG_INF_37	Deals lightning damage.
MSG_MAG_INF_38	Releases a virus that saps health to deal damage.
MSG_MAG_INF_39	Creates a tornado that deals heavy damage.
MSG_MAG_INF_40	Causes an earthquake that deals damage to all enemies.
MSG_MAG_INF_41	Causes sleep.
MSG_MAG_INF_42	Causes petrification.
MSG_MAG_INF_43	Causes instant death.
MSG_MAG_INF_44	Causes time to stop, halting the target's actions.
MSG_MAG_INF_45	Absorbs HP.
MSG_MAG_INF_46	Absorbs MP.
MSG_MAG_INF_47	Calls forth a meteor that deals damage to all enemies.
MSG_MAG_INF_48	Deals damage by combustion.
MSG_MAG_INF_49	Casts Goblin Punch, which attacks one enemy.
MSG_MAG_INF_50	Casts Self-Destruct, which deals damage based on the caster's HP to one enemy.
MSG_MAG_INF_51	Casts Petrifying Beak, which petrifies one enemy.
MSG_MAG_INF_52	Casts Mind Blast, which saps health and paralyses one enemy.
MSG_MAG_INF_53	Casts Chocobo Kick, which attacks one enemy.
MSG_MAG_INF_54	Casts Diamond Dust, which deals ice damage to all enemies.
MSG_MAG_INF_55	Casts Bolt of Judgment, which deals lightning damage to all enemies.
MSG_MAG_INF_56	Casts Hellfire, which deals fire damage to all enemies.
MSG_MAG_INF_57	Casts Gaia's Wrath, which causes an earthquake that damages all enemies.
MSG_MAG_INF_58	Casts Mist Breath, which deals damage based on the caster's HP to one enemy.
MSG_MAG_INF_59	Casts Whisperwind, which absorbs an enemy's HP to heal all allies.
MSG_MAG_INF_60	Casts Zantetsuken, which inflicts instant death on all enemies.
MSG_MAG_INF_61	Casts Tsunami, which deals major damage to all enemies.
MSG_MAG_INF_62	Casts one of three randomized spells; Curaga, Protect, or Life.
MSG_MAG_INF_63	Casts Mega Flare, which deals major damage to all enemies with a blast of heat.
MSG_MAG_INF_64	Attacks all enemies with a fire attack.
MSG_MAG_INF_65	Attacks all enemies with a tsunami.
MSG_MAG_INF_66	Attacks all enemies with a lightning attack.
MSG_MAG_INF_67	Creates a veil of smoke to help allies flee from battle.
MSG_MAG_INF_68	Temporarily incapacitates a target, preventing it from taking any action.
MSG_MAG_INF_69	Creates illusions of oneself to trick the enemy.
MSG_WEAPON_NAME_01	<IC_CLW>Fire Claw
MSG_WEAPON_NAME_02	<IC_CLW>Ice Claw
MSG_WEAPON_NAME_03	<IC_CLW>Thunder Claw
MSG_WEAPON_NAME_04	<IC_CLW>Fairy Claw
MSG_WEAPON_NAME_05	<IC_CLW>Hell Claw
MSG_WEAPON_NAME_06	<IC_CLW>Cat Claw
MSG_WEAPON_NAME_07	<IC_ROD>Rod
MSG_WEAPON_NAME_08	<IC_ROD>Ice Rod
MSG_WEAPON_NAME_09	<IC_ROD>Flame Rod
MSG_WEAPON_NAME_10	<IC_ROD>Thunder Rod
MSG_WEAPON_NAME_11	<IC_ROD>Rod of Change
MSG_WEAPON_NAME_12	<IC_ROD>Fairy Rod
MSG_WEAPON_NAME_13	<IC_ROD>Stardust Rod
MSG_WEAPON_NAME_14	<IC_ROD>Lilith Rod
MSG_WEAPON_NAME_15	<IC_WND>Staff
MSG_WEAPON_NAME_16	<IC_WND>Healing Staff
MSG_WEAPON_NAME_17	<IC_WND>Mythril Staff
MSG_WEAPON_NAME_18	<IC_WND>Power Staff
MSG_WEAPON_NAME_19	<IC_WND>Kinesis Staff
MSG_WEAPON_NAME_20	<IC_WND>Sage's Staff
MSG_WEAPON_NAME_21	<IC_WND>Rune Staff
MSG_WEAPON_NAME_22	<IC_DSRD>Dark Sword
MSG_WEAPON_NAME_23	<IC_DSRD>Shadowblade
MSG_WEAPON_NAME_24	<IC_DSRD>Deathbringer
MSG_WEAPON_NAME_25	<IC_NSRD>Sword of Legend
MSG_WEAPON_NAME_26	<IC_NSRD>Light Sword
MSG_WEAPON_NAME_27	<IC_NSRD>Excalibur
MSG_WEAPON_NAME_28	<IC_NSRD>Ragnarok
MSG_WEAPON_NAME_29	<IC_SRD>Flame Sword
MSG_WEAPON_NAME_30	<IC_SRD>Icebrand
MSG_WEAPON_NAME_31	<IC_SRD>Defender
MSG_WEAPON_NAME_32	<IC_SRD>Blood Sword
MSG_WEAPON_NAME_33	<IC_SRD>Ancient Sword
MSG_WEAPON_NAME_34	<IC_SRD>Sleep Blade
MSG_WEAPON_NAME_35	<IC_SRD>Gorgon Blade
MSG_WEAPON_NAME_36	<IC_SRD>Mythril Sword
MSG_WEAPON_NAME_37	<IC_SRD>Avenger
MSG_WEAPON_NAME_38	<IC_SPR>Spear
MSG_WEAPON_NAME_39	<IC_SPR>Wind Spear
MSG_WEAPON_NAME_40	<IC_SPR>Fire Lance
MSG_WEAPON_NAME_41	<IC_SPR>Ice Lance
MSG_WEAPON_NAME_42	<IC_SPR>Wyvern Lance
MSG_WEAPON_NAME_43	<IC_SPR>Holy Lance
MSG_WEAPON_NAME_44	<IC_SPR>Blood Lance
MSG_WEAPON_NAME_45	<IC_SPR>Gungnir
MSG_WEAPON_NAME_46	<IC_KTN>Kunai
MSG_WEAPON_NAME_47	<IC_KTN>Ashura
MSG_WEAPON_NAME_48	<IC_KTN>Kotetsu
MSG_WEAPON_NAME_49	<IC_KTN>Kikuichimonji
MSG_WEAPON_NAME_50	<IC_KTN>Murasame
MSG_WEAPON_NAME_51	<IC_KTN>Masamune
MSG_WEAPON_NAME_52	<IC_NIF>Mage Masher
MSG_WEAPON_NAME_53	<IC_NIF>Mythril Knife
MSG_WEAPON_NAME_54	<IC_NIF>Dancing Dagger
MSG_WEAPON_NAME_55	<IC_NIF>Knife
MSG_WEAPON_NAME_56	<IC_WHP>Whip
MSG_WEAPON_NAME_57	<IC_WHP>Chain Whip
MSG_WEAPON_NAME_58	<IC_WHP>Blitz Whip
MSG_WEAPON_NAME_59	<IC_WHP>Flame Whip
MSG_WEAPON_NAME_60	<IC_WHP>Dragon's Whisker
MSG_WEAPON_NAME_61	<IC_AX>Dwarven Axe
MSG_WEAPON_NAME_62	<IC_AX>Ogrekiller
MSG_WEAPON_NAME_63	<IC_AX>Poison Axe
MSG_WEAPON_NAME_64	<IC_AX>Rune Axe
MSG_WEAPON_NAME_65	<IC_SRK>Shuriken
MSG_WEAPON_NAME_66	<IC_SRK>Fuma Shuriken
MSG_WEAPON_NAME_67	<IC_TRW>Boomerang
MSG_WEAPON_NAME_68	<IC_TRW>Moonring Blade
MSG_WEAPON_NAME_69	<IC_HRP>Dreamer's Harp
MSG_WEAPON_NAME_70	<IC_HRP>Lamia's Harp
MSG_WEAPON_NAME_71	<IC_HMR>Wooden Hammer
MSG_WEAPON_NAME_72	<IC_HMR>Mythril Hammer
MSG_WEAPON_NAME_73	<IC_HMR>Gaia Hammer
MSG_WEAPON_NAME_74	<IC_BOW>Bow
MSG_WEAPON_NAME_75	<IC_BOW>Crossbow
MSG_WEAPON_NAME_76	<IC_BOW>Great Bow
MSG_WEAPON_NAME_77	<IC_BOW>Killer Bow
MSG_WEAPON_NAME_78	<IC_BOW>Elven Bow
MSG_WEAPON_NAME_79	<IC_BOW>Yoichi's Bow
MSG_WEAPON_NAME_80	<IC_BOW>Artemis's Bow
MSG_WEAPON_NAME_81	<IC_ARW>Iron Arrow
MSG_WEAPON_NAME_82	<IC_ARW>Holy Arrow
MSG_WEAPON_NAME_83	<IC_ARW>Fire Arrow
MSG_WEAPON_NAME_84	<IC_ARW>Ice Arrow
MSG_WEAPON_NAME_85	<IC_ARW>Thunder Arrow
MSG_WEAPON_NAME_86	<IC_ARW>Blinding Arrow
MSG_WEAPON_NAME_87	<IC_ARW>Poison Arrow
MSG_WEAPON_NAME_88	<IC_ARW>Mute Arrow
MSG_WEAPON_NAME_89	<IC_ARW>Angel Arrow
MSG_WEAPON_NAME_90	<IC_ARW>Yoichi Arrow
MSG_WEAPON_NAME_91	<IC_ARW>Medusa Arrow
MSG_WEAPON_NAME_92	<IC_ARW>Artemis Arrow
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>Iron Shield
MSG_ARMOR_NAME_02	<IC_SHIELD>Dark Shield
MSG_ARMOR_NAME_03	<IC_SHIELD>Demon Shield
MSG_ARMOR_NAME_04	<IC_SHIELD>Light Shield
MSG_ARMOR_NAME_05	<IC_SHIELD>Mythril Shield
MSG_ARMOR_NAME_06	<IC_SHIELD>Flame Shield
MSG_ARMOR_NAME_07	<IC_SHIELD>Ice Shield
MSG_ARMOR_NAME_08	<IC_SHIELD>Diamond Shield
MSG_ARMOR_NAME_09	<IC_SHIELD>Aegis Shield
MSG_ARMOR_NAME_10	<IC_SHIELD>Genji Shield
MSG_ARMOR_NAME_11	<IC_SHIELD>Dragon Shield
MSG_ARMOR_NAME_12	<IC_SHIELD>Crystal Shield
MSG_ARMOR_NAME_13	<IC_HEAD>Iron Helm
MSG_ARMOR_NAME_14	<IC_HEAD>Dark Helm
MSG_ARMOR_NAME_15	<IC_HEAD>Hades Helm
MSG_ARMOR_NAME_16	<IC_HEAD>Demon Helm
MSG_ARMOR_NAME_17	<IC_HEAD>Light Helm
MSG_ARMOR_NAME_18	<IC_HEAD>Mythril Helm
MSG_ARMOR_NAME_19	<IC_HEAD>Diamond Helm
MSG_ARMOR_NAME_20	<IC_HEAD>Genji Helm
MSG_ARMOR_NAME_21	<IC_HEAD>Dragon Helm
MSG_ARMOR_NAME_22	<IC_HEAD>Crystal Helm
MSG_ARMOR_NAME_23	<IC_HEAD>Leather Cap
MSG_ARMOR_NAME_24	<IC_HEAD>Feathered Cap
MSG_ARMOR_NAME_25	<IC_HEAD>Wizard's Hat
MSG_ARMOR_NAME_26	<IC_HEAD>Sage's Miter
MSG_ARMOR_NAME_27	<IC_HEAD>Gold Hairpin
MSG_ARMOR_NAME_28	<IC_HEAD>Ribbon
MSG_ARMOR_NAME_29	<IC_HEAD>Headband
MSG_ARMOR_NAME_30	<IC_HEAD>Green Beret
MSG_ARMOR_NAME_31	<IC_HEAD>Black Cowl
MSG_ARMOR_NAME_32	<IC_HEAD>Glass Mask
MSG_ARMOR_NAME_33	<IC_ARMOR>Iron Armor
MSG_ARMOR_NAME_34	<IC_ARMOR>Dark Armor
MSG_ARMOR_NAME_35	<IC_ARMOR>Hades Armor
MSG_ARMOR_NAME_36	<IC_ARMOR>Demon Armor
MSG_ARMOR_NAME_37	<IC_ARMOR>Knight's Armor
MSG_ARMOR_NAME_38	<IC_ARMOR>Mythril Armor
MSG_ARMOR_NAME_39	<IC_ARMOR>Flame Mail
MSG_ARMOR_NAME_40	<IC_ARMOR>Ice Armor
MSG_ARMOR_NAME_41	<IC_ARMOR>Diamond Armor
MSG_ARMOR_NAME_42	<IC_ARMOR>Genji Armor
MSG_ARMOR_NAME_43	<IC_ARMOR>Dragon Mail
MSG_ARMOR_NAME_44	<IC_ARMOR>Crystal Mail
MSG_ARMOR_NAME_45	<IC_CLTH>Clothes
MSG_ARMOR_NAME_46	<IC_CLTH>Leather Garb
MSG_ARMOR_NAME_47	<IC_CLTH>Gaia Gear
MSG_ARMOR_NAME_48	<IC_CLTH>Sage's Surplice
MSG_ARMOR_NAME_49	<IC_CLTH>Black Robe
MSG_ARMOR_NAME_50	<IC_CLTH>Light Robe
MSG_ARMOR_NAME_51	<IC_CLTH>White Robe
MSG_ARMOR_NAME_52	<IC_CLTH>Power Sash
MSG_ARMOR_NAME_53	<IC_CLTH>Minerva Bustier
MSG_ARMOR_NAME_54	<IC_CLTH>Prisoners' Wear
MSG_ARMOR_NAME_55	<IC_CLTH>Bard's Tunic
MSG_ARMOR_NAME_56	<IC_CLTH>Kenpo Gi
MSG_ARMOR_NAME_57	<IC_CLTH>Black Belt Gi
MSG_ARMOR_NAME_58	<IC_ARMOR>Adamant Armor
MSG_ARMOR_NAME_59	<IC_CLTH>Black Garb
MSG_ARMOR_NAME_60	<IC_GLOV>Iron Gloves
MSG_ARMOR_NAME_61	<IC_GLOV>Dark Gloves
MSG_ARMOR_NAME_62	<IC_GLOV>Hades Gloves
MSG_ARMOR_NAME_63	<IC_GLOV>Demon Gloves
MSG_ARMOR_NAME_64	<IC_GLOV>Gauntlets
MSG_ARMOR_NAME_65	<IC_GLOV>Mythril Gloves
MSG_ARMOR_NAME_66	<IC_GLOV>Diamond Gloves
MSG_ARMOR_NAME_67	<IC_GLOV>Giant's Gloves
MSG_ARMOR_NAME_68	<IC_GLOV>Genji Gloves
MSG_ARMOR_NAME_69	<IC_GLOV>Dragon Gloves
MSG_ARMOR_NAME_70	<IC_GLOV>Crystal Gloves
MSG_ARMOR_NAME_71	<IC_GLOV>Iron Armlet
MSG_ARMOR_NAME_72	<IC_GLOV>Ruby Ring
MSG_ARMOR_NAME_73	<IC_GLOV>Silver Armlet
MSG_ARMOR_NAME_74	<IC_GLOV>Power Armlet
MSG_ARMOR_NAME_75	<IC_GLOV>Rune Armlet
MSG_ARMOR_NAME_76	<IC_GLOV>Crystal Ring
MSG_ARMOR_NAME_77	<IC_GLOV>Diamond Armlet
MSG_ARMOR_NAME_78	<IC_GLOV>Protect Ring
MSG_ARMOR_NAME_79	<IC_GLOV>Cursed Ring
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
MSG_ARMOR_NAME_100	<IC_HEAD>Red Cap
MSG_ARMOR_NAME_101	<IC_HEAD>Rabbit-Ear Hood
MSG_ARMOR_NAME_102	<IC_HEAD>Augustine Tiara
MSG_ARMOR_NAME_103	<IC_HEAD>Star of Kami Kazari
MSG_ARMOR_NAME_104	<IC_HEAD>Royal Crown
MSG_ARMOR_NAME_105	<IC_HEAD>Dual Mask
MSG_ARMOR_NAME_106	<IC_HEAD>Demon Hat
MSG_ARMOR_NAME_107	<IC_HEAD>Philosopher's Hat
MSG_ARMOR_NAME_108	<IC_HEAD>Grand Helm
MSG_ARMOR_NAME_109	<IC_HEAD>Caesar Helm
MSG_ARMOR_NAME_110	<IC_HEAD>Dragoon Helm
MSG_ARMOR_NAME_111	<IC_HEAD>Edge Demon Helm
MSG_ARMOR_NAME_112	<IC_HEAD>Safety Met
