MSG_CHAR_NAME_01	세실
MSG_MAG_INF_18	'전투 불능'을 제외한 상태 이상을 회복한다.
MSG_MAG_INF_19	'전투 불능' 상태를 회복한다.
MSG_MAG_INF_20	'전투 불능' 상태를 회복하고 HP를 완전히 회복한다.
MSG_MAG_INF_21	'소인' 상태를 부여하거나 해제한다.
MSG_MAG_INF_22	던전이나 전투에서 탈출한다.
MSG_MAG_INF_23	상세한 지도를 연다.
MSG_MAG_INF_24	몸을 띄운다.
MSG_MAG_INF_25	'개구리' 상태를 부여하거나 해제한다.
MSG_MAG_INF_26	'돼지' 상태를 부여하거나 해제한다.
MSG_MAG_INF_27	한 층 전으로 돌아간다.
MSG_MAG_INF_28	'중독' 상태로 만든다.
MSG_MAG_INF_29	화염으로 공격한다.
MSG_MAG_INF_30	화염으로 공격한다.
MSG_MAG_INF_31	화염으로 공격한다.
MSG_MAG_INF_32	냉기로 공격한다.
MSG_MAG_INF_33	냉기로 공격한다.
MSG_MAG_INF_34	냉기로 공격한다.
MSG_MAG_INF_35	번개로 공격한다.
MSG_MAG_INF_36	번개로 공격한다.
MSG_MAG_INF_37	번개로 공격한다.
MSG_MAG_INF_38	세균으로 공격하여 출혈 피해를 준다.
MSG_MAG_INF_39	회오리바람으로 심각한 피해를 준다.
MSG_MAG_INF_40	지진으로 적 전체에게 피해를 준다.
MSG_MAG_INF_41	'수면' 상태로 만든다.
MSG_MAG_INF_42	'석화' 상태로 만든다.
MSG_MAG_INF_43	생명 활동을 멈추어 '전투 불능'으로 만든다.
MSG_MAG_INF_44	시간의 흐름을 멈추어 행동할 수 없게 한다.
MSG_MAG_INF_45	HP를 흡수한다.
MSG_MAG_INF_46	MP를 흡수한다.
MSG_MAG_INF_47	운석 낙하로 적 전체에게 피해를 준다.
MSG_MAG_INF_48	열 에너지 폭발로 피해를 준다.
MSG_MAG_INF_49	적 한 체를 공격하는\n'고블린 펀치'를 사용한다.
MSG_MAG_INF_50	적 한 체에게 자신의 현재 HP에 따른 피해를 주는\n'자폭'을 사용한다.
MSG_MAG_INF_51	적 한 체를 '석화' 상태로 만드는\n'석화 부리'를 사용한다.
MSG_MAG_INF_52	적 한 체에게 출혈 피해를 주고 '마비' 상태로 만드는\n'마인드 블래스트'를 사용한다.
MSG_MAG_INF_53	적 한 체를 공격하는\n'초코보 킥'을 사용한다.
MSG_MAG_INF_54	적 전체를 냉기로 공격하는\n'눈보라'를 사용한다.
MSG_MAG_INF_55	적 전체를 번개로 공격하는\n'심판의 번개'를 사용한다.
MSG_MAG_INF_56	적 전체를 화염으로 공격하는\n'지옥의 화염'을 사용한다.
MSG_MAG_INF_57	적 전체에게 지진으로 피해를 주는\n'대지의 분노'를 사용한다.
MSG_MAG_INF_58	적 전체에게 자신의 현재 HP에 따른 피해를 주는\n'안개 브레스'를 사용한다.
MSG_MAG_INF_59	적 한 체의 HP를 흡수하여 아군 전원을 회복하는\n'바람의 속삭임'을 사용한다.
MSG_MAG_INF_60	적 전체를 즉사시키는\n'참철검'을 사용한다.
MSG_MAG_INF_61	적 전체에게 큰 피해를 주는\n'쓰나미'를 사용한다.
MSG_MAG_INF_62	'케알다', '프로테스', '레이즈' 중\n하나를 사용한다.
MSG_MAG_INF_63	적 전체에게 고열 에너지로 큰 피해를 주는\n'메가 플레어'를 사용한다.
MSG_MAG_INF_64	화염을 일으켜서 적 전체를 공격한다.
MSG_MAG_INF_65	쓰나미를 일으켜서 적 전체를 공격한다.
MSG_MAG_INF_66	번개를 일으켜서 적 전체를 공격한다.
MSG_MAG_INF_67	연막으로 적의 눈을 속이며 전투에서 탈출한다.
MSG_MAG_INF_68	적의 움직임을 멈추어 행동할 수 없게 한다.
MSG_MAG_INF_69	적의 눈을 속일 수 있는 자신의 분신을 만든다.
MSG_WEAPON_NAME_01	<IC_CLW>화염의 발톱
MSG_WEAPON_NAME_02	<IC_CLW>얼음의 발톱
MSG_WEAPON_NAME_03	<IC_CLW>번개의 발톱
MSG_WEAPON_NAME_04	<IC_CLW>요정의 발톱
MSG_WEAPON_NAME_05	<IC_CLW>지옥의 발톱
MSG_WEAPON_NAME_06	<IC_CLW>고양이 발톱
MSG_WEAPON_NAME_07	<IC_ROD>로드
MSG_WEAPON_NAME_08	<IC_ROD>아이스 로드
MSG_WEAPON_NAME_09	<IC_ROD>플레임 로드
MSG_WEAPON_NAME_10	<IC_ROD>선더 로드
MSG_WEAPON_NAME_11	<IC_ROD>변화의 로드
MSG_WEAPON_NAME_12	<IC_ROD>요정의 로드
MSG_WEAPON_NAME_13	<IC_ROD>별조각 로드
MSG_WEAPON_NAME_14	<IC_ROD>릴리스의 로드
MSG_WEAPON_NAME_15	<IC_WND>지팡이
MSG_WEAPON_NAME_16	<IC_WND>치유의 지팡이
MSG_WEAPON_NAME_17	<IC_WND>미스릴 지팡이
MSG_WEAPON_NAME_18	<IC_WND>힘의 지팡이
MSG_WEAPON_NAME_19	<IC_WND>파동의 지팡이
MSG_WEAPON_NAME_20	<IC_WND>현자의 지팡이
MSG_WEAPON_NAME_21	<IC_WND>룬의 지팡이
MSG_WEAPON_NAME_22	<IC_DSRD>암흑의 검
MSG_WEAPON_NAME_23	<IC_DSRD>섀도 블레이드
MSG_WEAPON_NAME_24	<IC_DSRD>데스브링어
MSG_WEAPON_NAME_25	<IC_NSRD>전설의 검
MSG_WEAPON_NAME_26	<IC_NSRD>빛의 검
MSG_WEAPON_NAME_27	<IC_NSRD>엑스칼리버
MSG_WEAPON_NAME_28	<IC_NSRD>라그나로크
MSG_WEAPON_NAME_29	<IC_SRD>플레임 소드
MSG_WEAPON_NAME_30	<IC_SRD>아이스 브랜드
MSG_WEAPON_NAME_31	<IC_SRD>디펜더
MSG_WEAPON_NAME_32	<IC_SRD>블러드 소드
MSG_WEAPON_NAME_33	<IC_SRD>고대의 검
MSG_WEAPON_NAME_34	<IC_SRD>수면의 검
MSG_WEAPON_NAME_35	<IC_SRD>브레이크 블레이드
MSG_WEAPON_NAME_36	<IC_SRD>미스릴 소드
MSG_WEAPON_NAME_37	<IC_SRD>어벤저
MSG_WEAPON_NAME_38	<IC_SPR>스피어
MSG_WEAPON_NAME_39	<IC_SPR>윈드 스피어
MSG_WEAPON_NAME_40	<IC_SPR>화염의 창
MSG_WEAPON_NAME_41	<IC_SPR>얼음의 창
MSG_WEAPON_NAME_42	<IC_SPR>비룡의 창
MSG_WEAPON_NAME_43	<IC_SPR>홀리 랜스
MSG_WEAPON_NAME_44	<IC_SPR>블러드 랜스
MSG_WEAPON_NAME_45	<IC_SPR>궁니르
MSG_WEAPON_NAME_46	<IC_KTN>쿠나이
MSG_WEAPON_NAME_47	<IC_KTN>아수라
MSG_WEAPON_NAME_48	<IC_KTN>코테츠
MSG_WEAPON_NAME_49	<IC_KTN>키쿠이치몬지
MSG_WEAPON_NAME_50	<IC_KTN>무라사메
MSG_WEAPON_NAME_51	<IC_KTN>마사무네
MSG_WEAPON_NAME_52	<IC_NIF>메이지 매셔
MSG_WEAPON_NAME_53	<IC_NIF>미스릴 나이프
MSG_WEAPON_NAME_54	<IC_NIF>댄싱 대거
MSG_WEAPON_NAME_55	<IC_NIF>식칼
MSG_WEAPON_NAME_56	<IC_WHP>채찍
MSG_WEAPON_NAME_57	<IC_WHP>사슬 채찍
MSG_WEAPON_NAME_58	<IC_WHP>번개 채찍
MSG_WEAPON_NAME_59	<IC_WHP>파이어 뷰트
MSG_WEAPON_NAME_60	<IC_WHP>용의 수염
MSG_WEAPON_NAME_61	<IC_AX>드워프의 도끼
MSG_WEAPON_NAME_62	<IC_AX>오거 킬러
MSG_WEAPON_NAME_63	<IC_AX>포이즌 액스
MSG_WEAPON_NAME_64	<IC_AX>룬 액스
MSG_WEAPON_NAME_65	<IC_SRK>수리검
MSG_WEAPON_NAME_66	<IC_SRK>풍마의 수리검
MSG_WEAPON_NAME_67	<IC_TRW>부메랑
MSG_WEAPON_NAME_68	<IC_TRW>원월륜
MSG_WEAPON_NAME_69	<IC_HRP>꿈의 하프
MSG_WEAPON_NAME_70	<IC_HRP>라미아의 하프
MSG_WEAPON_NAME_71	<IC_HMR>나무 망치
MSG_WEAPON_NAME_72	<IC_HMR>미스릴 해머
MSG_WEAPON_NAME_73	<IC_HMR>대지의 해머
MSG_WEAPON_NAME_74	<IC_BOW>활
MSG_WEAPON_NAME_75	<IC_BOW>석궁
MSG_WEAPON_NAME_76	<IC_BOW>그레이트 보우
MSG_WEAPON_NAME_77	<IC_BOW>킬러 보우
MSG_WEAPON_NAME_78	<IC_BOW>엘핀 보우
MSG_WEAPON_NAME_79	<IC_BOW>요이치의 활
MSG_WEAPON_NAME_80	<IC_BOW>아르테미스의 활
MSG_WEAPON_NAME_81	<IC_ARW>철 화살
MSG_WEAPON_NAME_82	<IC_ARW>성스러운 화살
MSG_WEAPON_NAME_83	<IC_ARW>화염의 화살
MSG_WEAPON_NAME_84	<IC_ARW>얼음의 화살
MSG_WEAPON_NAME_85	<IC_ARW>번개의 화살
MSG_WEAPON_NAME_86	<IC_ARW>실명의 화살
MSG_WEAPON_NAME_87	<IC_ARW>독화살
MSG_WEAPON_NAME_88	<IC_ARW>침묵의 화살
MSG_WEAPON_NAME_89	<IC_ARW>천사의 화살
MSG_WEAPON_NAME_90	<IC_ARW>요이치의 화살
MSG_WEAPON_NAME_91	<IC_ARW>메두사의 화살
MSG_WEAPON_NAME_92	<IC_ARW>아르테미스의 화살
MSG_WEAPON_NAME_99	<IC_NSRD>Excalipoor
MSG_WEAPON_NAME_100	<IC_NSRD>Flandango
MSG_WEAPON_NAME_101	<IC_NSRD>Lightbringer
MSG_WEAPON_NAME_102	<IC_SRD>Piggy Stick
MSG_WEAPON_NAME_103	<IC_SPR>Abel's Lance
MSG_WEAPON_NAME_104	<IC_AX>Gigant Axe
MSG_WEAPON_NAME_105	<IC_BOW>Perseus Bow
MSG_WEAPON_NAME_106	<IC_ARW>Perseus Arrow
MSG_WEAPON_NAME_107	<IC_WHP>Mystic Whip
MSG_WEAPON_NAME_108	<IC_NIF>Triton's Dagger
MSG_WEAPON_NAME_109	<IC_NIF>Assassin's Dagger
MSG_WEAPON_NAME_110	<IC_KTN>Sasuke's Katana
MSG_WEAPON_NAME_111	<IC_KTN>Mutsunokami
MSG_WEAPON_NAME_112	<IC_SRK>Scrap Metal
MSG_WEAPON_NAME_113	<IC_TRW>Rising Sun
MSG_WEAPON_NAME_114	<IC_CLW>Tiger Fangs
MSG_WEAPON_NAME_115	<IC_CLW>Dragon Claws
MSG_WEAPON_NAME_116	<IC_CLW>Godhand
MSG_WEAPON_NAME_117	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_118	<IC_HMR>Fiery Hammer
MSG_WEAPON_NAME_119	<IC_ROD>Asura's Rod
MSG_WEAPON_NAME_120	<IC_WND>Seraphim's Mace
MSG_WEAPON_NAME_121	<IC_WND>Nirvana
MSG_WEAPON_NAME_122	<IC_HRP>Apollo's Harp
MSG_WEAPON_NAME_123	<IC_HRP>Requiem Harp
MSG_WEAPON_NAME_124	<IC_HRP>Loki's Harp
MSG_WEAPON_NAME_125	<IC_DSRD>Blood Dark Sword
MSG_WEAPON_NAME_126	<IC_DSRD>Golbez's Sword
MSG_WEAPON_NAME_127	<IC_DSRD>Vampire Sword
MSG_WEAPON_NAME_128	<IC_DSRD>Megido Sword
MSG_WEAPON_NAME_129	<IC_SRD>Erdrick's Sword
MSG_WEAPON_NAME_130	<IC_SPR>Vampire Spear
MSG_WEAPON_NAME_131	<IC_ROD>Super Anger Rod
MSG_WEAPON_NAME_132	<IC_ROD>Mop
MSG_ARMOR_NAME_01	<IC_SHIELD>아이언 실드
MSG_ARMOR_NAME_02	<IC_SHIELD>암흑의 방패
MSG_ARMOR_NAME_03	<IC_SHIELD>데몬즈 실드
MSG_ARMOR_NAME_04	<IC_SHIELD>빛의 방패
MSG_ARMOR_NAME_05	<IC_SHIELD>미스릴 실드
MSG_ARMOR_NAME_06	<IC_SHIELD>플레임 실드
MSG_ARMOR_NAME_07	<IC_SHIELD>아이스 실드
MSG_ARMOR_NAME_08	<IC_SHIELD>다이아몬드 실드
MSG_ARMOR_NAME_09	<IC_SHIELD>이지스의 방패
MSG_ARMOR_NAME_10	<IC_SHIELD>겐지의 방패
MSG_ARMOR_NAME_11	<IC_SHIELD>드래곤 실드
MSG_ARMOR_NAME_12	<IC_SHIELD>크리스탈 방패
MSG_ARMOR_NAME_13	<IC_HEAD>아이언 헬름
MSG_ARMOR_NAME_14	<IC_HEAD>암흑의 투구
MSG_ARMOR_NAME_15	<IC_HEAD>하데스의 투구
MSG_ARMOR_NAME_16	<IC_HEAD>데몬즈 헬름
MSG_ARMOR_NAME_17	<IC_HEAD>빛의 투구
MSG_ARMOR_NAME_18	<IC_HEAD>미스릴 헬름
MSG_ARMOR_NAME_19	<IC_HEAD>다이아몬드 투구
MSG_ARMOR_NAME_20	<IC_HEAD>겐지의 투구
MSG_ARMOR_NAME_21	<IC_HEAD>드래곤 헬름
MSG_ARMOR_NAME_22	<IC_HEAD>크리스탈 헬름
MSG_ARMOR_NAME_23	<IC_HEAD>가죽 모자
MSG_ARMOR_NAME_24	<IC_HEAD>깃털 장식 모자
MSG_ARMOR_NAME_25	<IC_HEAD>삼각 모자
MSG_ARMOR_NAME_26	<IC_HEAD>사제의 모자
MSG_ARMOR_NAME_27	<IC_HEAD>금 머리 장식
MSG_ARMOR_NAME_28	<IC_HEAD>리본
MSG_ARMOR_NAME_29	<IC_HEAD>꼬아 만든 머리띠
MSG_ARMOR_NAME_30	<IC_HEAD>그린베레
MSG_ARMOR_NAME_31	<IC_HEAD>검은 두건
MSG_ARMOR_NAME_32	<IC_HEAD>유리 가면
MSG_ARMOR_NAME_33	<IC_ARMOR>아이언 아머
MSG_ARMOR_NAME_34	<IC_ARMOR>암흑의 갑옷
MSG_ARMOR_NAME_35	<IC_ARMOR>하데스의 갑옷
MSG_ARMOR_NAME_36	<IC_ARMOR>데몬즈 아머
MSG_ARMOR_NAME_37	<IC_ARMOR>나이트 갑옷
MSG_ARMOR_NAME_38	<IC_ARMOR>미스릴 아머
MSG_ARMOR_NAME_39	<IC_ARMOR>플레임 메일
MSG_ARMOR_NAME_40	<IC_ARMOR>아이스 아머
MSG_ARMOR_NAME_41	<IC_ARMOR>다이아몬드 아머
MSG_ARMOR_NAME_42	<IC_ARMOR>겐지의 갑옷
MSG_ARMOR_NAME_43	<IC_ARMOR>드래곤 메일
MSG_ARMOR_NAME_44	<IC_ARMOR>크리스탈 메일
MSG_ARMOR_NAME_45	<IC_CLTH>옷
MSG_ARMOR_NAME_46	<IC_CLTH>가죽옷
MSG_ARMOR_NAME_47	<IC_CLTH>대지의 옷
MSG_ARMOR_NAME_48	<IC_CLTH>사제의 로브
MSG_ARMOR_NAME_49	<IC_CLTH>검은 로브
MSG_ARMOR_NAME_50	<IC_CLTH>빛의 로브
MSG_ARMOR_NAME_51	<IC_CLTH>흰 로브
MSG_ARMOR_NAME_52	<IC_CLTH>힘의 어깨띠
MSG_ARMOR_NAME_53	<IC_CLTH>미네르바 뷔스티에
MSG_ARMOR_NAME_54	<IC_CLTH>죄수복
MSG_ARMOR_NAME_55	<IC_CLTH>시인의 옷
MSG_ARMOR_NAME_56	<IC_CLTH>권법 도복
MSG_ARMOR_NAME_57	<IC_CLTH>검은띠 도복
MSG_ARMOR_NAME_58	<IC_ARMOR>아다만 아머
MSG_ARMOR_NAME_59	<IC_CLTH>검은 옷
MSG_ARMOR_NAME_60	<IC_GLOV>철 팔 보호대
MSG_ARMOR_NAME_61	<IC_GLOV>암흑의 팔 보호대
MSG_ARMOR_NAME_62	<IC_GLOV>하데스의 팔 보호대
MSG_ARMOR_NAME_63	<IC_GLOV>악마의 팔 보호대
MSG_ARMOR_NAME_64	<IC_GLOV>건틀릿
MSG_ARMOR_NAME_65	<IC_GLOV>미스릴 팔 보호대
MSG_ARMOR_NAME_66	<IC_GLOV>다이아몬드 팔 보호대
MSG_ARMOR_NAME_67	<IC_GLOV>거인의 팔 보호대
MSG_ARMOR_NAME_68	<IC_GLOV>겐지의 팔 보호대
MSG_ARMOR_NAME_69	<IC_GLOV>드래곤 팔 보호대
MSG_ARMOR_NAME_70	<IC_GLOV>크리스탈 팔 보호대
MSG_ARMOR_NAME_71	<IC_GLOV>철 팔찌
MSG_ARMOR_NAME_72	<IC_GLOV>루비 반지
MSG_ARMOR_NAME_73	<IC_GLOV>은 팔찌
MSG_ARMOR_NAME_74	<IC_GLOV>파워 리스트
MSG_ARMOR_NAME_75	<IC_GLOV>룬의 팔찌
MSG_ARMOR_NAME_76	<IC_GLOV>크리스탈 링
MSG_ARMOR_NAME_77	<IC_GLOV>다이아몬드 팔찌
MSG_ARMOR_NAME_78	<IC_GLOV>수호의 반지
MSG_ARMOR_NAME_79	<IC_GLOV>저주의 반지
MSG_ARMOR_NAME_80	<IC_ARMOR>Grand Armor
MSG_ARMOR_NAME_81	<IC_ARMOR>Dragoon Plate
MSG_ARMOR_NAME_82	<IC_ARMOR>Caesar's Plate
MSG_ARMOR_NAME_83	<IC_ARMOR>Maximillian
MSG_ARMOR_NAME_84	<IC_CLTH>Red Jacket
MSG_ARMOR_NAME_85	<IC_CLTH>Brave Suit
MSG_ARMOR_NAME_86	<IC_CLTH>Chocobo Suit
MSG_ARMOR_NAME_87	<IC_CLTH>Tabby Suit
MSG_ARMOR_NAME_88	<IC_CLTH>Battle Gear
MSG_ARMOR_NAME_89	<IC_CLTH>Assassin's Vest
MSG_ARMOR_NAME_90	<IC_CLTH>Vishnu Vest
MSG_ARMOR_NAME_91	<IC_CLTH>Sage's Robe
MSG_ARMOR_NAME_92	<IC_CLTH>Robe Of Lords
MSG_ARMOR_NAME_93	<IC_CLTH>Rainbow Robe
MSG_ARMOR_NAME_94	<IC_CLTH>White Dress
MSG_ARMOR_NAME_95	<IC_SHIELD>Hero's Shield
MSG_ARMOR_NAME_96	<IC_SHIELD>Chocobo Shield
MSG_ARMOR_NAME_97	<IC_HEAD>Hypnocrown
MSG_ARMOR_NAME_98	<IC_HEAD>Cat-Ear Hood
MSG_ARMOR_NAME_99	<IC_HEAD>White Tiger Mask
MSG_ARMOR_NAME_100	<IC_HEAD>Red Cap
MSG_ARMOR_NAME_101	<IC_HEAD>Rabbit-Ear Hood
