id,group_id,condition_id,type_id,invocation_rate
488,83,59,1,0
490,84,6,1,0
491,84,9,1,0
492,84,13,1,0
493,84,14,1,0
494,84,15,1,0
495,84,22,1,0
496,84,57,1,0
497,84,58,1,0
498,84,59,1,0
499,85,7,1,0
500,85,8,1,0
501,85,12,1,0
502,86,40,1,0
503,86,80,1,0
504,87,19,1,0
505,87,21,1,0
506,87,22,1,0
507,87,23,1,0
508,87,25,1,0
509,87,26,1,0
510,87,27,1,0
511,87,28,1,0
512,87,29,1,0
513,87,30,1,0
514,88,5,1,50
515,88,8,1,50
516,89,7,1,0
517,89,8,1,0
518,89,12,1,0
519,89,22,1,0
520,90,6,1,0
521,90,13,1,0
522,90,14,1,0
523,90,15,1,0
524,90,57,1,0
525,90,58,1,0
526,90,59,1,0
527,91,6,1,0
528,91,14,1,0
529,91,58,1,0
530,92,6,1,0
531,92,15,1,0
532,92,59,1,0
533,93,6,1,0
534,93,14,1,0
535,93,15,1,0
536,93,58,1,0
537,93,59,1,0
538,94,13,1,0
539,94,14,1,0
540,94,15,1,0
541,94,21,1,0
542,94,57,1,0
543,94,58,1,0
544,94,59,1,0
545,95,32,1,0
546,96,6,1,0
547,96,32,1,0
548,97,13,1,0
549,97,14,1,0
550,97,15,1,0
551,97,34,1,0
552,97,57,1,0
553,97,58,1,0
554,97,59,1,0
555,98,7,1,33
556,98,8,1,33
557,98,12,1,33
558,99,45,1,0
560,100,6,1,0
561,100,7,1,0
562,100,8,1,0
563,100,9,1,0
564,100,10,1,0
565,100,11,1,0
566,100,12,1,0
567,100,13,1,0
568,100,14,1,0
569,100,15,1,0
570,100,17,1,0
571,100,18,1,0
572,100,22,1,0
573,100,25,1,0
574,100,29,1,0
575,100,47,1,0
576,100,57,1,0
577,100,58,1,0
578,100,59,1,0
579,101,50,1,0
580,101,85,1,0
581,102,48,1,0
582,103,54,1,0
583,104,62,1,0
584,105,64,1,0
585,105,65,1,0
586,105,66,1,0
587,105,67,1,0
588,105,68,1,0
589,105,73,1,0
590,106,70,1,0
591,107,71,1,0
592,108,70,1,0
593,108,71,1,0
594,109,55,1,0
595,109,56,1,0
596,110,55,1,0
597,111,5,1,0
598,111,6,1,0
599,111,7,1,0
600,111,8,1,0
601,111,9,1,0
602,111,10,1,0
603,111,11,1,0
604,111,12,1,0
605,111,13,1,0
606,111,14,1,0
607,111,15,1,0
608,111,17,1,0
609,111,18,1,0
610,111,21,1,0
611,111,22,1,0
612,111,30,1,0
613,111,42,1,0
614,111,43,1,0
615,111,44,1,0
616,111,57,1,0
617,111,58,1,0
618,111,59,1,0
620,112,60,1,0
621,112,61,1,0
622,113,61,1,0
623,114,72,1,0
624,115,51,1,0
625,115,52,1,0
626,115,53,1,0
627,116,52,1,0
628,117,5,1,0
629,117,6,1,0
630,117,7,1,0
631,117,8,1,0
632,117,9,1,0
633,117,10,1,0
634,117,11,1,0
635,117,12,1,0
636,117,13,1,0
637,117,14,1,0
638,117,15,1,0
639,117,16,1,0
640,117,17,1,0
641,117,18,1,0
642,117,21,1,0
643,117,22,1,0
644,117,30,1,0
645,117,42,1,0
646,117,43,1,0
647,117,44,1,0
648,117,57,1,0
649,117,58,1,0
650,117,59,1,0
651,118,5,1,0
652,118,6,1,0
653,118,7,1,0
654,118,8,1,0
655,118,9,1,0
656,118,10,1,0
657,118,11,1,0
658,118,12,1,0
659,118,13,1,0
660,118,14,1,0
661,118,15,1,0
662,118,16,1,0
663,118,17,1,0
664,118,18,1,0
665,118,21,1,0
666,118,22,1,0
667,118,29,1,0
668,118,30,1,0
669,118,42,1,0
670,118,43,1,0
671,118,44,1,0
672,118,57,1,0
673,118,58,1,0
674,118,59,1,0
676,119,74,1,0
677,120,75,1,0
678,121,76,1,0
679,122,77,1,0
680,123,78,1,0
681,124,79,1,0
682,125,81,1,0
683,126,45,1,0
684,126,82,1,0
685,127,45,1,0
686,127,83,1,0
687,128,84,1,0
690,131,5,0,0
691,132,16,1,0
692,132,21,1,0
693,132,13,1,0
694,132,57,1,0
695,132,14,1,0
696,132,58,1,0
697,132,15,1,0
698,132,59,1,0
699,133,12,0,0
700,134,4,1,0
701,134,5,1,0
702,134,6,1,0
703,134,9,1,0
704,134,10,1,0
705,134,11,1,0
706,134,13,1,0
707,134,14,1,0
708,134,15,1,0
709,134,21,1,0
710,134,57,1,0
711,134,58,1,0
712,134,59,1,0
713,134,69,1,0
714,134,20,1,0
715,135,73,1,0
716,136,6,1,0
717,136,7,1,0
718,136,8,1,0
719,136,9,1,0
720,136,10,1,0
721,136,11,1,0
722,136,12,1,0
723,136,13,1,0
724,136,14,1,0
725,136,15,1,0
726,136,17,1,0
727,136,18,1,0
728,136,57,1,0
729,136,58,1,0
730,136,59,1,0
731,136,29,1,0
732,137,5,0,0
733,138,88,0,0
734,139,7,1,0
735,139,8,1,0
736,139,12,1,0
737,139,18,1,0
738,139,22,1,0
739,140,8,1,0
740,140,10,1,0
741,140,11,1,0
742,141,6,1,0
743,142,6,1,0
744,142,22,1,0
745,143,12,1,0
746,144,13,1,0
747,144,14,1,0
748,144,15,1,0
749,145,11,1,0
750,145,12,1,0
751,145,13,1,0
752,145,14,1,0
753,145,15,1,0
754,146,6,1,0
755,146,7,1,0
756,146,12,1,0
757,146,13,1,0
758,147,6,1,0
759,147,12,1,0
760,147,13,1,0
761,148,6,1,0
762,148,10,1,0
763,148,11,1,0
764,148,12,1,0
765,149,13,1,0
766,149,14,1,0
767,149,15,1,0
768,150,21,1,0
769,151,25,1,0
770,151,26,1,0
771,151,27,1,0
772,152,18,1,0
773,153,10,1,0
774,154,14,1,0
775,154,15,1,0
776,154,18,1,0
