id,sort_id,type_id,category_type,attribute_id,attribute_group_id,equip_job_group_id,parts_group_id,attack,weight,accuracy_rate,evasion_rate,ability_disturbed_rate,destroy_rate,magnetic_force,throw_flag,back_flag,two_handed_flag,invalid_reflection,trigger_ability_id,wear_function_group_id,wear_condition_group_id,weak_attribute,effective_species,additional_condition_group_id,strength,vitality,agility,intelligence,spirit,magic,critical_rate,max_hp_up,max_mp_up,battle_equipment_asset_id,battle_effect_asset_id,guard_icon,buy,sell,sales_not_possible,process_prog
28,91,1,6,0,0,21,1,99,2,80,0,0,0,1,1,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,69,152,0,200,100,0,None
29,95,1,6,5,105,21,1,109,2,80,0,0,0,1,1,0,0,0,23,0,0,41,3,0,0,0,0,0,0,0,0,0,0,66,148,0,1480,740,0,None
30,48,1,5,0,0,18,1,20,1,99,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,61,0,120,60,0,None
31,50,1,5,0,0,18,1,28,1,94,10,0,0,1,1,0,0,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,0,200,100,0,None
32,56,1,5,0,0,18,1,35,1,75,0,0,0,1,1,0,0,0,0,0,0,0,1,6,0,0,0,5,0,0,0,0,0,4,61,0,520,260,0,None
33,98,1,5,0,0,38,1,255,0,99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,400,200,0,None
34,36,1,16,0,0,33,1,8,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,77,240,0,19,9,0,None
35,43,1,16,0,0,33,1,18,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,78,241,0,48,24,0,None
36,3,1,18,1,101,34,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,70,144,0,14,7,0,None
37,4,1,18,2,102,34,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,71,141,0,18,9,0,None
38,5,1,18,3,103,34,1,0,1,80,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,72,142,0,22,11,0,None
39,2,1,18,0,0,34,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,3,0,0,0,0,0,0,73,143,0,24,12,0,None
40,6,1,18,0,0,34,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,74,145,0,26,13,0,None
41,7,1,18,0,0,34,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0,0,0,0,0,0,75,144,0,28,14,0,None
42,66,1,9,0,0,35,1,45,3,75,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,136,0,3,1,0,None
43,72,1,9,0,0,35,1,55,3,75,0,0,0,1,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,75,0,320,160,0,None
44,78,1,9,1,101,35,1,65,3,75,0,0,0,1,0,0,1,1,52,0,0,33,8,0,5,0,0,0,0,0,0,0,0,6,76,0,480,240,0,None
45,77,1,8,0,0,12,1,62,3,69,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,5,-5,-5,-5,0,0,0,0,51,237,0,600,300,0,None
46,85,1,8,0,0,12,1,80,3,69,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52,60,0,1800,900,0,None
47,90,1,8,0,0,12,1,95,3,60,0,0,0,1,0,0,1,0,43,0,0,0,5,10,0,0,0,0,0,0,0,0,0,53,61,0,3760,1880,0,None
48,93,1,8,0,0,12,1,100,3,60,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,64,0,4920,2460,0,None
49,49,1,4,0,0,36,1,25,1,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,138,0,160,80,0,None
50,55,1,4,0,0,36,1,32,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,138,0,280,140,0,None
51,61,1,4,0,0,36,1,40,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,82,0,440,220,0,None
52,68,1,4,0,0,36,1,48,1,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,22,82,0,720,360,0,None
53,76,1,4,0,0,36,1,55,1,90,0,0,0,1,1,0,0,0,17,0,0,0,0,0,5,5,-5,5,-5,0,0,0,0,23,138,0,880,440,0,None
54,80,1,4,0,0,36,1,65,1,99,0,0,0,1,1,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,81,0,920,460,0,None
55,28,1,11,0,0,30,1,3,1,40,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134,0,4,2,0,None
56,34,1,11,1,101,30,1,7,1,45,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,3,0,0,0,0,0,11,71,0,15,7,0,None
57,30,1,11,2,102,30,1,5,1,45,0,0,0,0,0,0,0,0,36,0,0,34,2,0,0,0,0,0,0,0,0,0,0,10,69,0,8,4,0,None
58,38,1,11,3,103,30,1,10,1,50,0,0,0,0,0,0,0,0,39,0,0,35,0,0,0,0,0,3,0,0,0,0,0,12,134,0,28,14,0,None
59,41,1,11,0,0,30,1,13,1,10,0,0,0,0,0,0,0,0,47,186,0,0,0,0,0,0,0,5,0,0,0,0,0,16,70,0,44,22,0,None
60,42,1,11,0,0,30,1,15,1,50,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,134,0,50,25,0,None
61,51,1,11,0,0,30,1,30,1,55,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,134,0,200,100,0,None
62,65,1,11,0,0,30,1,45,1,60,0,0,0,0,0,0,0,1,449,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,135,0,440,220,0,None
63,29,1,10,0,0,23,1,4,1,45,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,134,0,6,3,0,None
64,35,1,10,0,0,23,1,8,1,50,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,69,0,19,9,0,None
65,40,1,10,0,0,23,1,12,1,55,0,0,0,1,0,0,0,0,212,0,0,0,4,0,0,0,0,0,3,0,0,0,0,57,134,0,160,80,0,None
66,54,1,10,0,0,24,1,30,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,58,134,0,80,40,0,None
67,58,1,10,0,0,24,1,36,1,60,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,59,134,0,280,140,0,None
68,67,1,10,0,0,24,1,48,1,65,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,60,134,0,880,440,0,None
69,71,1,10,0,0,24,1,52,1,60,0,0,0,0,0,0,0,0,14,0,0,0,1,6,0,0,0,0,10,0,0,0,0,61,134,0,600,300,0,None
70,21,1,12,0,0,22,6,10,1,75,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,37,249,0,8,4,0,None
72,23,1,12,0,0,22,6,30,1,75,0,0,0,0,0,1,0,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,39,249,0,80,40,0,None
73,24,1,12,0,0,22,6,40,1,75,0,0,0,0,0,1,0,0,0,0,0,38,0,0,5,0,0,0,0,0,0,0,0,40,249,0,120,60,0,None
74,25,1,12,0,0,22,6,50,1,75,0,0,0,0,0,1,0,0,18,0,0,38,1,0,0,0,0,5,0,0,0,0,0,41,249,0,200,100,0,None
75,26,1,12,0,0,22,6,60,1,100,0,0,0,0,0,1,0,0,0,0,0,38,0,0,10,0,0,0,0,0,0,0,0,42,249,0,440,220,0,None
76,27,1,12,0,0,22,6,80,1,90,0,0,0,0,0,1,0,0,0,0,0,38,0,0,10,10,10,-10,-10,0,0,0,0,43,249,0,760,380,0,None
77,9,1,13,0,0,22,6,1,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,44,60,0,1,1,0,None
78,10,1,13,0,0,22,6,5,0,80,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60,0,2,1,0,None
79,11,1,13,5,105,22,6,10,0,80,0,0,0,0,0,1,0,0,0,0,0,37,17,0,0,0,0,0,0,0,0,0,0,44,60,0,20,10,0,None
80,12,1,13,1,101,22,6,15,0,80,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,44,60,0,20,10,0,None
81,13,1,13,2,102,22,6,15,0,80,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,44,60,0,20,10,0,None
82,14,1,13,3,103,22,6,15,0,80,0,0,0,0,0,1,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,44,60,0,20,10,0,None
83,15,1,13,0,0,22,6,20,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,44,60,0,40,20,0,None
84,16,1,13,0,0,22,6,30,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,44,60,0,40,20,0,None
85,17,1,13,0,0,22,6,35,0,80,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,44,60,0,40,20,0,None
86,18,1,13,0,0,22,6,40,0,80,0,0,0,0,0,1,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,44,60,0,80,40,0,None
87,19,1,13,0,0,22,6,50,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60,0,1200,600,0,None
88,20,1,13,0,0,22,6,75,0,90,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44,60,0,1,400,0,None
89,44,1,19,0,0,32,1,20,1,50,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,80,61,0,120,60,0,None
90,52,1,19,0,0,32,1,30,1,55,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,81,61,0,240,120,0,None
91,59,1,19,3,103,32,1,40,1,60,0,0,0,0,0,1,0,0,0,0,0,35,0,8,0,0,0,0,0,0,0,0,0,82,63,0,400,200,0,None
92,69,1,19,1,101,32,1,50,1,65,0,0,0,0,0,1,0,0,0,0,0,33,0,8,5,5,5,-5,-5,0,0,0,0,83,58,0,640,320,0,None
93,73,1,19,0,0,32,1,55,1,75,0,0,0,0,0,1,0,0,0,0,0,0,6,8,5,5,5,-5,-5,0,0,0,0,84,64,0,1240,620,0,None
94,46,1,14,0,0,36,1,20,1,80,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,17,238,0,120,60,0,None
95,60,1,14,0,0,36,1,40,1,85,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,18,239,0,360,180,0,None
96,63,1,15,0,0,38,1,40,0,99,0,0,0,1,1,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,19,60,0,800,400,0,None
97,87,1,15,0,0,38,1,80,0,99,0,0,0,1,1,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,19,60,0,2000,1000,0,None
98,22,1,12,0,0,22,6,20,1,75,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,38,249,0,28,14,0,None
99,99,1,3,0,0,5,1,1,2,99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,66,0,2,1,0,None
100,100,1,3,0,0,5,1,60,2,99,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,66,0,400,200,0,None
101,101,1,3,5,105,5,1,255,2,99,0,0,0,1,0,0,0,0,0,0,0,0,4,23,15,15,15,0,0,0,0,0,0,30,66,0,10000,5000,0,None
102,102,1,1,0,0,11,1,150,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,33,61,0,5000,2500,0,None
103,103,1,6,3,103,21,1,230,2,85,0,0,0,1,0,0,0,0,0,0,0,0,0,49,15,15,15,0,0,0,0,0,0,69,152,0,8000,4000,0,None
104,104,1,8,0,0,12,1,200,3,75,0,0,0,1,0,0,1,0,0,0,0,0,5,10,15,0,0,0,0,0,0,0,0,53,61,0,7000,3500,0,None
105,105,1,12,0,0,45,6,110,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,43,249,0,3000,1500,0,None
106,106,1,13,0,0,45,6,95,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,44,60,0,2000,1000,0,None
107,107,1,19,5,105,32,1,100,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,84,64,0,3000,1500,0,None
108,108,1,5,0,0,48,1,62,1,90,0,0,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,61,0,1600,800,0,None
109,109,1,5,0,0,18,1,130,1,99,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,15,0,0,0,0,0,0,1,61,0,4000,2000,0,None
110,110,1,4,0,0,36,1,95,1,99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,23,138,0,2500,1250,0,None
111,111,1,4,0,0,36,1,100,1,99,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,10,10,0,0,0,0,0,0,24,81,0,3000,1500,0,None
112,112,1,15,0,0,38,1,4,0,99,0,0,0,1,1,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,19,60,0,80,40,0,None
113,113,1,14,0,0,36,1,85,1,95,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,10,0,0,0,0,0,0,18,239,0,3600,1800,0,None
114,114,1,18,0,0,34,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,10,0,0,0,0,0,0,73,143,0,2000,1000,0,None
115,115,1,18,5,105,34,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,10,0,0,0,0,74,145,0,3000,1500,0,None
116,116,1,18,5,105,34,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,75,144,0,4000,2000,0,None
117,117,1,9,3,103,35,1,190,3,80,0,0,0,1,0,0,1,0,87,0,0,0,8,0,15,0,0,0,0,0,0,0,0,5,75,0,3000,1500,0,None
118,118,1,9,1,101,35,1,241,3,85,0,0,0,1,0,0,1,0,55,0,0,0,8,0,15,15,0,15,15,0,0,0,0,6,76,0,6000,3000,0,None
119,119,1,11,5,105,48,1,75,1,75,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,15,15,0,0,0,0,15,135,0,2400,1200,0,None
120,120,1,10,0,0,47,1,50,1,70,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,60,134,0,2400,1200,0,None
121,121,1,10,0,0,47,1,80,1,90,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,15,0,0,15,0,0,0,0,60,134,0,4000,2000,0,None
122,122,1,16,1,101,33,1,98,0,90,0,0,0,0,0,0,1,0,0,0,0,0,6,0,15,0,15,0,15,0,0,0,0,77,240,0,800,400,0,None
123,123,1,16,0,0,33,1,130,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,241,0,1600,800,0,None
124,124,1,16,0,0,33,1,150,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,77,240,0,4000,2000,0,None
